x,y,z,timestamp
0.16615535,0.17715092,0.3005457,1784
0.33169982,0.20647246,0.36468655,6809
0.4373795,0.21074851,0.41538838,11794
0.5296202,0.20097467,0.4801401,16799
0.6224717,0.20647246,0.54611355,21773
0.7110472,0.22357668,0.6096435,26797
0.79168135,0.24862215,0.67073005,31783
0.86926126,0.27977628,0.72509706,36788
0.9407325,0.31642818,0.7819075,41793
1.0048733,0.37934732,0.8313876,46817
1.0616838,0.47158796,0.874759,51772
1.1117748,0.5833763,0.9120218,56777
1.1673635,0.7806858,0.95478237,61782
1.1893547,0.9431759,0.9718866,66806
1.1997393,1.1239921,0.9828822,71792
1.1936307,1.3151928,0.9822713,76796
1.1691961,1.5222762,0.9669997,81801
1.1209377,1.7354681,0.929126,86795
1.0598512,1.9346102,0.9053023,91781
0.98532563,2.1142046,0.90285885,96785
0.9138544,2.261423,0.9242391,101790
0.8368854,2.3793201,0.9663888,106814
0.7086037,2.4904976,1.0488557,111800
0.61941737,2.5173757,1.1148291,116774
0.53023106,2.510656,1.1777482,121779
0.44959682,2.485,1.2388347,126803
0.38056904,2.4715607,1.2846496,131789
0.32375857,2.4611762,1.3017539,136794
0.27855456,2.443461,1.2913691,141799
0.24556783,2.411696,1.2443326,146821
0.22357668,2.3780985,1.151481,151778
0.2125811,2.3371704,1.0231993,156783
0.21685717,2.288912,0.7849618,161788
0.24129178,2.243097,0.62980205,166812
0.2846632,2.162463,0.50335294,171798
0.3494149,2.0561724,0.41355577,176772
0.42149702,1.9425515,0.34880406,181777
0.49357912,1.8307631,0.30848694,186801
0.55833083,1.7330247,0.2828306,191787
0.60903263,1.645671,0.26083946,196792
0.6389651,1.5858061,0.23640485,201796
0.65057147,1.5577064,0.2144137,206821
0.6462954,1.5503759,0.18997909,211776
0.6261369,1.5479325,0.1863139,216780
0.59498274,1.5381587,0.1863139,221785
0.5516113,1.5161675,0.18753563,226812
0.5015204,1.4874569,0.1881465,231795
0.4447099,1.4630222,0.1966986,236800
0.39400807,1.4514158,0.20891592,241774
0.35063666,1.4526376,0.22602014,246801
0.31581733,1.4618006,0.23640485,251784
0.2968805,1.4825699,0.24495697,256789
0.3042109,1.5106697,0.24801129,261794
0.32803464,1.5344934,0.24923302,266820
0.36468655,1.5668694,0.26267207,271773
0.4007276,1.5949692,0.28527406,276778
0.43066,1.6236799,0.3182608,281783
0.45937067,1.6426166,0.35308012,286809
0.48563787,1.6530013,0.38362336,291793
0.5186246,1.6523905,0.4129449,296797
0.5552765,1.6420058,0.4343252,301772
0.5882632,1.6077974,0.44715336,306798
0.6133087,1.5534303,0.44959682,311782
0.63713247,1.4428637,0.4428773,316787
