x,y,z,timestamp
0.6646214,0.6462954,0.33536503,840
0.84971356,0.72326446,0.44043383,5825
0.9798279,0.7476991,0.5290093,10830
1.1136073,0.7690793,0.62980205,15835
1.2431108,0.81122905,0.7495316,20828
1.3603969,0.89552844,0.86315256,25814
1.4654657,1.0005972,0.9596693,30819
1.5509869,1.1539245,1.0415252,35824
1.5931365,1.3836098,1.1154399,40848
1.632232,1.559539,1.1765264,45833
1.6572775,1.7171422,1.2284501,50808
1.6609426,1.8466456,1.2724323,55813
1.6334536,1.9847012,1.3298537,60837
1.5906931,2.0641136,1.3677273,65823
1.5271631,2.108096,1.4025466,70827
1.4385877,2.081218,1.4068227,75832
1.323745,2.0665572,1.3640621,80829
1.174083,2.122146,1.2791518,85811
1.0122037,2.1673498,1.1594223,90816
0.8503244,2.2021692,1.024421,95821
0.711658,2.2473733,0.893085,100848
0.59498274,2.3096814,0.77640975,105831
0.46303585,2.4397957,0.6151413,110805
0.3915646,2.5082128,0.4990769,115810
0.32742378,2.5454755,0.37568212,120837
0.27550024,2.5711317,0.24862215,125820
0.24007004,2.58396,0.13316862,130825
0.21319197,2.6047294,0.031154128,135830
0.19730948,2.6181684,-0.054367006,140854
0.19486602,2.5992317,-0.12522738,145809
0.21074851,2.605951,-0.19853121,150814
0.25473082,2.6499333,-0.24190263,155819
0.3371976,2.7568347,-0.2773328,160843
0.36651915,2.705522,-0.27183503,165828
0.37812558,2.538756,-0.26267207,170833
0.4007276,2.3518312,-0.24740042,175808
0.45265114,2.2088888,-0.23701571,180832
0.52290064,2.0885482,-0.22724187,185818
0.602924,1.981036,-0.22113322,190823
0.6627888,1.8643607,-0.21930063,195827
0.6969972,1.7489072,-0.21319197,200856
0.6994407,1.641395,-0.19058995,205807
0.6585127,1.5063937,-0.14538592,210812
0.6188065,1.4440855,-0.11301007,215816
0.57360244,1.4019357,-0.08002335,220843
0.52839845,1.3775011,-0.047036625,225826
0.47647488,1.359786,-0.015882496,230831
0.42271876,1.3481796,0.008552114,235805
0.376293,1.3585643,0.031154128,240832
0.3378085,1.3976597,0.05009095,245815
