x,y,z,timestamp
0.7984009,0.3811799,0.2950479,1402
0.92485,0.2919936,0.3463606,6407
1.0396926,0.20952678,0.39095375,11382
1.1386528,0.13805555,0.4343252,16406
1.219287,0.077579886,0.4728097,21391
1.2974777,0.03176499,0.5216789,26396
1.3286319,0.034208454,0.5564982,31401
1.3457361,0.052534413,0.59620446,36425
1.3524556,0.09773844,0.6389651,41411
1.3481796,0.17898351,0.6817256,46385
1.3329079,0.2950479,0.72204274,51390
1.3035865,0.4147775,0.75136423,56414
1.2681563,0.53023106,0.77213365,61400
1.2260065,0.66828656,0.784351,66405
1.1771374,0.84238315,0.7855727,71410
1.10139,1.1441506,0.7715228,76405
1.0384709,1.3921618,0.72509706,81389
0.96761054,1.6707164,0.66706485,86394
0.906524,1.9181169,0.61758476,91399
0.84849185,2.1013765,0.5852089,96425
0.784351,2.2107213,0.5644395,101409
0.7263188,2.21683,0.55771995,106383
0.6921103,2.0983222,0.54000485,111388
0.66339964,2.1343632,0.52290064,116412
0.6646214,2.20278,0.5174029,121397
0.7110472,2.270586,0.56016344,126402
0.76052725,2.2870796,0.6078109,131407
0.80573124,2.2840252,0.6560693,136403
0.84421575,2.2375994,0.68844515,141387
0.8753699,2.1539109,0.70066243,146391
0.90224797,2.0115793,0.6805039,151396
0.9401216,1.8442022,0.64568454,156422
0.99265605,1.7128662,0.6078109,161406
1.0665708,1.6157386,0.57604593,166411
1.1527027,1.5650368,0.5558874,171385
1.2223413,1.5662584,0.5326745,176412
1.2773192,1.5766432,0.49357912,181395
1.2651019,1.5754215,0.45937067,186400
1.2070698,1.582141,0.4269948,191405
1.1148291,1.6029104,0.38973203,196431
1.0012082,1.645671,0.35918877,201384
0.8735373,1.7061466,0.3371976,206389
0.743423,1.7898352,0.31031954,211394
0.61086524,1.9107865,0.28160888,216418
0.48991394,2.0073032,0.2602286,221404
0.37995818,2.0744984,0.25228736,226408
0.24617869,2.112372,0.24678956,231383
0.17531833,2.0867157,0.24923302,236411
0.11911872,2.0152445,0.258396,241393
0.07513642,1.89918,0.27183503,246397
0.044593163,1.736079,0.27977628,251402
-0.005497787,1.527774,0.27977628,256429
-0.08002335,1.2089024,0.28221974,261382
-0.1282817,0.77518797,0.2919936,266386
-0.12767084,0.3042109,0.2919936,271391
-0.09590584,-0.13561209,0.2724459,276418
-0.01038471,-0.62980205,0.22113322,281401
0.05375614,-0.8356637,0.19730948,286406
0.108123146,-0.9773844,0.1826487,291411
0.15210545,-1.0812315,0.15943582,296407
0.17898351,-1.1704178,0.1160644,301390
0.1863139,-1.269378,0.059864793,306395
0.16676621,-1.3524556,-0.016493361,311400
0.12156218,-1.4019357,-0.10445796,316426
0.04642576,-1.4196508,-0.18936823,321410
-0.06047566,-1.4013249,-0.27183503,326415
-0.27183503,-1.3377949,-0.38423425,331389
-0.43860126,-1.2901474,-0.453262,336413
-0.6169739,-1.2516629,-0.51923543,341399
-0.8020661,-1.2211196,-0.5852089,346403
-0.9786061,-1.2241739,-0.6462954,351408
-1.1343768,-1.2950343,-0.698219,356402
-1.2473868,-1.4556919,-0.7538077,361388
-1.3066407,-1.6688838,-0.8026769,366393
-1.3048081,-1.8851302,-0.8454375,371397
-1.2492194,-2.0867157,-0.87781334,376424
-1.0916162,-2.257147,-0.90408057,381407
-0.9651671,-2.4733934,-0.9401216,386382
-0.8332202,-2.588236,-0.9651671,391386
-0.7031059,-2.6841419,-0.9932669,396411
-0.58459806,-2.7507262,-1.0225884,401396
-0.48075095,-2.7885997,-1.0482447,406401
-0.39522982,-2.792265,-1.0604621,411406
-0.32436943,-2.7733283,-1.0500773,416432
-0.26633725,-2.819754,-1.0054842,421385
-0.23151793,-2.874121,-0.9944886,426390
-0.22174409,-2.860682,-1.0097603,431395
-0.31031954,-2.606562,-1.0873401,436421
-0.4269948,-2.3768766,-1.1478158,441405
-0.5876524,-2.1380284,-1.1948525,446410
-0.7684685,-1.9376645,-1.2253957,451384
-0.95539325,-1.7916678,-1.2266175,456410
