x,y,z,timestamp
1.17897,0.004886922,0.3659083,4603
1.2455542,-0.069027774,0.39522982,9596
1.2858714,-0.13194689,0.42149702,14582
1.3048081,-0.1777618,0.44593164,19587
1.2986995,-0.21319197,0.4654793,24592
1.2834278,-0.2003638,0.4886922,29616
1.2541064,-0.15393804,0.4972443,34602
1.2131784,-0.084910266,0.49968776,39607
1.1624765,-0.014660766,0.49602258,44581
1.105666,0.069027774,0.48991394,49605
1.0464121,0.1704314,0.47891834,54591
0.9822713,0.2706133,0.46609017,59595
0.92179567,0.37507126,0.4538729,64600
0.86559606,0.47647488,0.44409904,69624
0.8179486,0.5717699,0.43310347,74580
0.7678576,0.6908886,0.4166101,79584
0.7556403,0.7666359,0.4092797,84589
0.75625116,0.84482664,0.40011674,89614
0.7733554,0.94134337,0.39461896,94599
0.7996226,1.0439687,0.3866777,99604
0.838718,1.1239921,0.38362336,104579
0.8888089,1.1905763,0.38240165,109603
0.9401216,1.2571607,0.3866777,114588
0.99204516,1.3151928,0.398895,119593
1.0403035,1.3316863,0.42088616,124598
1.1117748,1.2938126,0.46670106,129622
1.1527027,1.2657127,0.5021312,134577
1.1844677,1.2528846,0.54000485,139582
1.210735,1.2327261,0.57604593,144587
1.2400564,1.1881329,0.6096435,149611
1.2571607,1.1472049,0.6291912,154597
1.2669345,1.1246029,0.6291912,159602
1.260215,1.1343768,0.6084218,164637
1.2400564,1.1453724,0.5852089,169602
1.2064588,1.1429288,0.5626069,174586
1.1270463,1.105666,0.52595496,179591
1.061073,1.0580186,0.5002986,184596
0.98654735,0.99265605,0.46670106,189622
0.915687,0.9254609,0.43188173,194605
0.8503244,0.88086766,0.3866777,199580
0.7959574,0.8735373,0.33964106,204584
0.7458665,0.90041536,0.2883284,209611
0.70249504,0.929126,0.23945917,214594
0.6591236,0.9560041,0.2003638,219599
0.6151413,0.9859365,0.16982053,224604
0.54550266,1.0366384,0.13988814,229600
0.48563787,1.1068878,0.1301143,234583
0.40561453,1.1264355,0.13255776,239588
0.3213151,1.0091494,0.1386664,244593
0.25045475,0.79901177,0.14966199,249619
0.19303341,0.59681535,0.15943582,254603
0.14844026,0.45204028,0.1685988,259577
0.118507855,0.3494149,0.16982053,264582
0.10567969,0.25778514,0.16982053,269608
0.10323623,0.17287487,0.16554448,274592
0.108123146,0.099571034,0.16371189,279597
0.10140363,0.0067195175,0.16554448,284602
0.08246681,-0.04337143,0.15760323,289628
0.047647487,-0.092240654,0.1386664,294581
-0.0061086523,-0.14905111,0.106901415,299586
-0.07574729,-0.2125811,0.06719518,304591
-0.1600467,-0.28893927,0.023823744,309617
-0.25900686,-0.36713,-0.022602014,314600
-0.36957347,-0.4251622,-0.06658431,319605
-0.4905248,-0.45081854,-0.10751228,324580
-0.6133087,-0.4465425,-0.1423316,329606
-0.79412484,-0.41905355,-0.18325958,334589
