x,y,z,timestamp
1.1557571,0.46853364,0.68844515,1648
1.3200798,0.408058,0.75319684,6603
1.4862351,0.33841935,0.79534656,11608
1.6340646,0.28710666,0.8142834,16613
1.781283,0.21991149,0.8393288,21637
1.9150625,0.1423316,0.893085,26623
2.0665572,0.08552113,0.97249746,31628
2.1233675,0.09773844,0.9584476,36602
2.134974,0.12217305,0.91446525,41627
2.1184807,0.17959438,0.86742866,46612
2.0873265,0.28405234,0.83199847,51617
2.0390682,0.39584067,0.82772243,56622
1.9608774,0.49541172,0.85154617,61646
1.8551978,0.5681047,0.88514376,66601
1.7232509,0.6017023,0.9120218,71606
1.5845845,0.61086524,0.9114109,76611
1.3677273,0.8332202,0.8564331,81636
1.2370021,1.042747,0.7996226,86620
1.1178834,1.282817,0.74097955,91625
1.0030408,1.5088371,0.6805039,96630
0.88025683,1.709201,0.6096435,101625
0.75747293,1.9022343,0.5271767,106609
0.6389651,2.1025982,0.43860126,111614
0.5296202,2.329229,0.3494149,116619
0.4343252,2.5466971,0.2706133,121644
0.35124752,2.733622,0.19853121,126629
0.28588495,2.8686233,0.14172074,131603
0.24007004,3.005457,0.08979719,136608
0.24678956,3.1093042,0.05131268,141633
0.27122417,3.086702,0.0421497,146618
0.312763,2.9553661,0.08307768,151623
0.37384954,2.8185322,0.14966199,156628
0.453262,2.6762006,0.20830505,161621
0.54428095,2.5094345,0.23518312,166607
0.64873886,2.3225098,0.22479841,171612
0.7654142,2.1227567,0.18325958,176617
0.88270026,1.9071213,0.119729586,181641
1.03786,1.5234979,0.010995574,186626
1.1184943,1.2779301,-0.0580322,191601
1.1722504,1.0989466,-0.118507855,196606
1.1991285,0.9859365,-0.16371189,201632
1.1924089,0.91751957,-0.19303341,206616
1.1582005,0.883922,-0.21135938,211620
1.102001,0.88697636,-0.21685717,216625
1.0464121,0.87109387,-0.20586158,221652
1.0054842,0.97005403,-0.20647246,226604
0.95417154,1.2144,-0.23335053,231609
0.83199847,1.627345,-0.26939157,236614
0.7318166,1.8484782,-0.27000242,241643
0.6365216,2.0677788,-0.26511553,246624
0.56077427,2.2834144,-0.2687807,251629
0.5021312,2.4587326,-0.27672195,256603
0.4605924,2.5680776,-0.28710666,261632
0.44348818,2.6028967,-0.29810223,266613
0.44715336,2.5900686,-0.31642818,271618
0.47586402,2.565634,-0.34880406,276623
0.5155703,2.5002716,-0.38240165,281652
0.5815437,2.3231206,-0.4098906,286602
0.6249151,2.2058344,-0.42821655,291607
0.657291,2.0567832,-0.44226643,296612
0.6780604,1.8759671,-0.45448375,301641
0.68844515,1.7012597,-0.46670106,306622
0.68966687,1.5406022,-0.47891834,311626
0.6603453,1.3451253,-0.48502702,316601
0.5271767,1.0091494,-0.46975538,321627
0.32498032,0.6395759,-0.43371433,326611
0.1423316,0.35185838,-0.38789943,331616
-0.08368854,-0.043982297,-0.31398472,336620
-0.19058995,-0.24007004,-0.25473082,341647
-0.24862215,-0.3494149,-0.17531833,346630
-0.27488935,-0.40744713,-0.09712757,351604
-0.27977628,-0.47158796,-0.03604105,356609
-0.2706133,-0.5729916,-0.0061086523,361638
-0.26206118,-0.7153232,0.005497787,366619
-0.2565634,-0.8912524,0.0061086523,371624
-0.258396,-1.0824533,-0.002443461,376629
-0.2706133,-1.2779301,-0.015882496,381625
-0.30543262,-1.4672983,-0.03970624,386608
-0.3866777,-1.7507398,-0.089186326,391613
-0.4569272,-1.953547,-0.12461651,396618
-0.5375614,-2.1618521,-0.16432275,401644
-0.6230826,-2.371379,-0.2144137,406628
-0.7171558,-2.5638015,-0.2706133,411602
-0.8142834,-2.7763824,-0.3036,416607
-0.89736104,-3.0812044,-0.31031954,421633
-0.98715824,-3.4171803,-0.31948254,426617
-1.0891727,-3.7384953,-0.34147367,431621
-1.2052372,-4.006665,-0.37690386,436626
-1.4037683,-4.257731,-0.44532076,441624
-1.5296066,-4.3182063,-0.5021312,446606
-1.6261233,-4.3689084,-0.55955255,451611
-1.6707164,-4.425719,-0.6102544,456616
-1.67316,-4.4617596,-0.6658431,461640
-1.6395624,-4.4416013,-0.71776664,466625
-1.5827519,-4.370741,-0.77457714,471630
-1.5106697,-4.2449026,-0.8393288,476604
-1.464244,-4.1734314,-0.9034697,481629
-1.4556919,-4.147775,-0.9468411,486614
-1.4727961,-4.0457606,-1.0054842,491619
-1.4892895,-3.9217548,-1.0543534,496624
-1.496009,-3.794084,-1.1166617,501649
-1.4953982,-3.6413677,-1.1979067,506603
-1.4899004,-3.4037411,-1.3096951,511608
-1.4813483,-3.0457742,-1.4556919,516613
-1.4544702,-2.6279423,-1.632232,521639
-1.4092661,-2.2088888,-1.8283197,526623
-1.3481796,-1.7916678,-2.012801,531628
-1.282817,-1.3982705,-2.1502457,536602
-1.1746938,-0.9462303,-2.2052236,541628
-1.119716,-0.7110472,-2.1209242,546612
-1.073901,-0.52534413,-1.949271,551617
-1.0183123,-0.398895,-1.6664404,556621
-0.95294976,-0.22785273,-1.318858,561648
-0.8741482,-0.02321288,-0.9425651,566601
-0.7812967,0.15332718,-0.5699373,571606
-0.6743952,0.27916542,-0.23151793,576611
-0.5552765,0.33536503,0.04153884,581635
-0.43004912,0.34208453,0.24007004,586620
-0.30482176,0.32436943,0.3848451,591625
-0.119729586,0.26816985,0.5308419,596630
-0.0012217305,0.21135938,0.5858198,601624
0.103847094,0.15149458,0.6053675,606609
0.1863139,0.1160644,0.59559363,611614
0.25045475,0.13133603,0.58276546,616619
0.30665436,0.0720821,0.5546656,621644
0.3390302,0.0030543262,0.49968776,626629
0.33658674,-0.04337143,0.43066,631603
0.29749137,-0.087964594,0.3866777,636608
0.23640485,-0.16432275,0.38728857,641633
0.12156218,-0.21563543,0.45142943,646618
0.03970624,-0.19608775,0.50701815,651623
-0.004276057,-0.1459968,0.5516113,656628
0.06047566,-0.07819075,0.5674938,661622
0.09040806,-0.049480084,0.5308419,666607
0.05009095,-0.09468412,0.48197266,671612
-0.02076942,-0.13500121,0.42394048,676617
-0.10445796,-0.1337795,0.36163223,681641
-0.19853121,-0.1423316,0.3023783,686626
-0.29138273,-0.1863139,0.24495697,691601
-0.39767328,-0.25717425,0.1563815,696606
-0.43860126,-0.27672195,0.09101892,701631
-0.4642576,-0.27305678,0.02321288,706616
-0.4801401,-0.26450464,-0.04520403,711620
-0.4868596,-0.25900686,-0.10140363,716625
-0.47647488,-0.25411993,-0.14538592,721650
-0.4392121,-0.24617869,-0.17287487,726604
-0.3811799,-0.23762658,-0.17654006,731609
-0.30298916,-0.24373524,-0.1563815,736614
-0.22357668,-0.26083946,-0.11728613,741639
-0.115453534,-0.25961772,-0.017104227,746624
-0.05375614,-0.25411993,0.08735373,751629
0.0061086523,-0.31215215,0.18936823,756603
