x,y,z,timestamp
0.5174029,0.14660765,0.25228736,351
0.6395759,0.11362094,0.29016098,5356
0.76052725,0.06780604,0.32803464,10350
0.8784242,0.021380283,0.36835176,15335
0.9896017,-0.018936822,0.40317106,20340
1.0916162,-0.054367006,0.43799037,25345
1.2290609,-0.07147124,0.48502702,30369
1.3151928,-0.06047566,0.5161811,35355
1.3946054,-0.026267206,0.5479461,40329
1.4697418,0.012217305,0.58276546,45334
1.5485435,0.05009095,0.6218608,50358
1.6316211,0.10262536,0.6640105,55344
1.7159204,0.17348573,0.70554936,60349
1.7989981,0.25411993,0.7440339,65354
1.8808541,0.3475823,0.77946407,70347
1.954158,0.45753807,0.8008443,75333
2.0103576,0.58032197,0.81000733,80338
2.0427334,0.75319684,0.8008443,85343
2.0103576,0.84421575,0.7874053,90367
1.9394971,0.9126327,0.77213365,95352
1.8295414,0.9596693,0.75319684,100357
1.690875,0.9822713,0.73548174,105332
1.5351044,0.9963212,0.71593404,110358
1.3665055,1.0213667,0.6976081,115341
1.2027937,1.0506883,0.6762278,120346
1.0488557,1.0830641,0.6469063,125351
0.91690874,1.110553,0.6096435,130377
0.7635816,1.1814134,0.5412266,135330
0.6963864,1.2260065,0.5009095,140335
0.64934975,1.2596041,0.4654793,145340
0.62858033,1.2504412,0.44165558,150366
0.63285637,1.2156218,0.4288274,155350
0.6597345,1.1704178,0.42271876,160355
0.70188415,1.1410962,0.4269948,165329
0.75869465,1.1172725,0.4373795,170353
0.8197812,1.1001683,0.44348818,175339
0.88453287,1.0861185,0.45020768,180344
0.9841039,1.0231993,0.46303585,185349
1.0458013,0.960891,0.47036624,190373
1.0952814,0.9193522,0.46975538,195328
1.133155,0.90285885,0.46486846,200333
1.1557571,0.89919364,0.45937067,205338
1.1612549,0.89369583,0.44898596,210364
1.1459832,0.8881981,0.43799037,215347
1.10139,0.883922,0.4202753,220352
1.0256428,0.89552844,0.40011674,225357
0.9260717,0.9095783,0.37934732,230353
0.75869465,0.89369583,0.36163223,235336
0.63713247,0.86376345,0.35124752,240341
0.5155703,0.8167268,0.33536503,245346
0.398895,0.75808376,0.31398472,250372
0.28160888,0.75136423,0.2742785,255356
0.16187929,0.7666359,0.2321288,260330
0.04520403,0.68416905,0.19486602,265335
-0.054367006,0.50885075,0.15882497,270362
-0.12705997,0.31948254,0.11911872,275345
-0.1777618,0.16676621,0.07819075,280350
-0.22174409,0.032986723,0.017104227,285355
-0.23945917,-0.019547688,-0.02321288,290351
-0.26511553,-0.06658431,-0.061086524,295334
-0.29993483,-0.13683382,-0.100792766,300339
-0.35613444,-0.2321288,-0.13744467,305344
-0.42455134,-0.34513888,-0.17348573,310370
-0.51007247,-0.45570546,-0.21013765,315354
-0.61391956,-0.5534439,-0.24617869,320328
-0.73548174,-0.63163465,-0.2846632,325333
-0.87598073,-0.6988298,-0.31948254,330357
-1.0348058,-0.7666359,-0.34880406,335343
-1.2718215,-0.8881981,-0.3830125,340347
-1.4092661,-0.9755518,-0.398895,345352
-1.518611,-1.0690142,-0.4129449,350379
-1.5900823,-1.146594,-0.4251622,355332
-1.6218473,-1.187522,-0.44104472,360336
-1.6157386,-1.201572,-0.45875978,365341
-1.5748106,-1.2113458,-0.47403142,370365
-1.5082263,-1.2217305,-0.48808134,375351
-1.4172074,-1.2278391,-0.4972443,380356
-1.3023647,-1.2351695,-0.49480084,385331
-1.1191051,-1.2370021,-0.4978552,390355
-1.0207558,-1.1881329,-0.52656585,395340
-0.94134337,-1.0897835,-0.56688297,400345
-0.8698721,-0.960891,-0.60231316,405350
-0.8051204,-0.84482664,-0.61941737,410374
-0.7464773,-0.77457714,-0.60903263,415329
-0.7098254,-0.73975784,-0.5900958,420334
-0.7049385,-0.72204274,-0.5833763,425339
-0.7281514,-0.7128797,-0.5876524,430363
-0.7703011,-0.7293731,-0.5992588,435349
-0.85154617,-0.8179486,-0.6133087,440354
-0.92057395,-0.90224797,-0.62858033,445328
-0.9944886,-0.97249746,-0.64934975,450352
-1.070236,-1.0122037,-0.6750061,455338
-1.1441506,-1.0256428,-0.70005155,460343
-1.210735,-1.0415252,-0.72021013,465348
-1.2626585,-1.0598512,-0.7348709,470372
-1.3072516,-1.0818423,-0.7452556,475357
-1.3384057,-1.0891727,-0.752586,480332
-1.3579534,-1.0647382,-0.75625116,485336
-1.3591752,-0.96944314,-0.75686204,490361
-1.3353515,-0.8717047,-0.7501425,495346
-1.2852604,-0.75991637,-0.73364913,500351
-1.2027937,-0.66339964,-0.70432764,505356
-1.0842859,-0.6010914,-0.6646214,510350
-0.93523467,-0.5503896,-0.61636305,515335
-0.7690793,-0.47891834,-0.56321776,520340
-0.60231316,-0.38606682,-0.50579643,525345
-0.44593164,-0.29016098,-0.44532076,530369
-0.30726522,-0.20586158,-0.3811799,535355
-0.18448131,-0.14110987,-0.32070425,540329
-0.048258353,-0.08368854,-0.23579398,545334
0.0012217305,-0.056199603,-0.18875736,550358
0.021380283,-0.050701816,-0.14172074,555344
0.012217305,-0.055588737,-0.09896017,560349
-0.02076942,-0.05009095,-0.07147124,565354
-0.06780604,-0.028710667,-0.055588737,570347
-0.10934488,0.014660766,-0.042760566,575333
-0.1423316,0.0720821,-0.034208454,580338
-0.16065755,0.11301007,-0.02443461,585343
-0.12705997,0.13194689,-0.0067195175,590367
0.076358154,0.048258353,-0.004886922,595352
