x,y,z,timestamp
-2.3247697,5.470751,9.433155,121
-2.231396,5.506664,9.284714,5096
-2.0638018,5.4779334,9.074024,10627
-1.9608512,5.45878,8.9758625,15106
-1.8746599,5.449203,8.832211,20111
-1.9033904,5.463568,8.702923,25115
-1.9800048,5.427655,8.671799,30120
-2.0829554,5.3318872,8.6813755,35095
-2.0087352,5.243302,8.702923,40099
-1.9369092,5.1116204,8.580819,45104
-1.8411411,5.1020436,8.3868885,50473
-1.7549498,5.1475334,8.137892,55114
-1.5993267,5.171476,7.7907324,60119
-1.4891934,5.197812,7.261614,65124
-1.7645266,5.3366756,7.335834,70098
-2.1547816,5.4204726,7.398083,75103
-2.5067291,5.434838,7.4842744,80108
-2.834735,5.3845596,7.5561004,85113
-3.095703,5.2887917,7.551312,90834
-3.2369606,5.1762643,7.4483614,95123
-3.2680852,5.130774,7.4004774,100097
-2.873042,5.341464,7.539341,105102
-2.4013844,5.145139,7.6470804,110107
-2.123657,4.9464207,7.00304,115112
-2.3008277,5.149928,7.28795,120117
-2.4229321,5.7604494,7.1969705,125121
-2.5330653,6.3230867,7.2209125,130459
-2.585738,6.6367273,7.275979,135131
-2.5450363,6.6893997,7.275979,140106
-2.516306,6.603208,7.2951326,145111
-2.5881321,6.5505357,7.381324,150115
-2.7461493,6.5840545,7.419631,155120
-2.896984,6.631939,7.3525934,160095
-3.107674,6.730101,7.2664022,165100
-3.2848446,6.7085533,7.03177,170528
-3.4165258,6.658275,6.83784,175109
-3.5745432,6.5744777,6.655881,180114
-3.6966474,6.564901,6.4619503,185119
-3.7325604,6.5984197,6.303933,190124
-3.8187518,6.655881,6.157887,195098
-3.9264908,6.7372837,5.9639564,200103
-4.0581717,6.8162923,5.7724204,205108
-4.2521024,6.8426285,5.7628436,210548
-4.309563,6.8162923,5.813122,215118
-4.2640734,6.766014,5.8681884,220123
-4.1946416,6.7588315,5.9041014,225097
-4.098873,6.7851677,5.839458,230102
-4.012682,6.777985,5.793968,235107
-3.833117,6.703765,5.7484784,240112
-3.928885,6.873753,5.865794,245117
-4.0533834,7.2065473,5.8945246,250929
