x,y,z,timestamp
-2.5617957,4.0557775,10.15381,4075
-2.492364,4.039018,10.33098,9080
-2.3702598,4.098873,10.474632,14054
-2.1906946,4.1299977,10.5440645,19059
-1.9656396,4.1706996,10.524911,24064
-1.6567876,4.197036,10.350134,29069
-1.3359646,4.24492,10.141838,34074
-0.9504981,4.4220905,10.081984,39079
-0.7469909,4.498705,9.92636,44053
-0.79008657,4.5154643,9.720459,49058
-0.866701,4.5154643,9.428367,54063
-1.0702082,4.462792,8.918402,59068
-1.3431472,4.4603977,8.513782,64073
-1.6591818,4.4963107,8.169016,69078
-1.8698715,4.441244,7.7667904,74082
-2.0039468,4.414908,7.577648,79057
-2.2960393,4.6830587,7.369353,84062
-2.396596,4.7884035,7.28795,89066
-2.4492683,4.793192,7.345411,94071
-2.4229321,4.7405195,7.5345526,99076
-2.3295584,4.711789,7.78355,104081
-2.2840683,4.6686935,8.0445175,109055
-2.2840683,4.6782703,8.240842,114060
-2.315193,4.6806645,8.516175,119065
-2.327164,4.697424,8.813056,124070
-2.3702598,4.711789,9.200917,129075
-2.4349031,4.7022123,9.600749,134080
-2.4995465,4.6830587,9.85214,139054
-2.5450363,4.6255975,9.9550905,144059
-2.5187001,4.5872903,9.947908,149064
-2.6862943,4.321534,9.665392,154069
-2.9975405,4.211401,9.495404,159074
-2.7605145,4.000711,9.129091,164079
-2.315193,3.8474822,8.860941,169053
-2.0853498,4.096479,8.499416,174058
-2.207454,4.4436383,8.078036,179063
-2.3702598,4.781221,7.627927,184068
-2.5689783,5.109226,7.1083846,189073
-2.825158,5.183447,6.727707,194078
-3.0095115,5.1690817,6.459556,199082
-3.0669725,5.0781016,6.1866174,204057
-2.992752,4.9823337,5.9064956,209062
-2.9352913,4.865018,5.473145,214066
-2.8921957,4.8099513,5.197812,219071
-2.834735,4.721366,5.011064,224076
-2.7461493,4.596867,4.8219223,229081
-2.8323407,4.7070007,4.9224787,234055
-3.4931402,5.221754,5.1379566,239060
-3.8426938,5.602432,5.425261,244065
