x,y,z,timestamp
-1.2425907,5.78918,8.6813755,1571
-1.1827357,5.805939,8.585608,6546
-1.1133038,5.8562174,8.497022,11551
-0.9864111,5.932832,8.401254,16555
-0.89303726,6.0597243,8.355764,21560
-0.78769237,6.1890116,8.221688,26565
-0.6727707,6.279991,7.979874,31570
-0.60094464,6.3302693,7.678205,36575
-0.5722142,6.303933,7.299921,41549
-0.82360536,6.191406,6.8067155,46554
-0.6727707,6.145916,6.423643,51559
-0.7134721,6.169858,6.021417,56564
-0.61052144,6.2129536,5.793968,61569
-0.533907,6.2129536,5.805939,66574
-0.5650316,6.145916,6.0836663,71548
-0.60094464,6.114791,6.1985884,76553
-0.5243302,6.066907,6.1866174,81558
-0.21787235,5.7365074,6.0764837,86563
-0.19632454,5.865794,6.157887,91568
0.89543146,5.3366756,6.4739213,96572
3.3806129,3.6152446,6.730101,101547
2.4875755,4.39336,6.873753,106552
2.7150247,3.58412,6.217742,111557
1.7908629,3.9025488,6.066907,116561
0.19393034,5.130774,5.9759274,121566
-1.1827357,6.373365,6.3111157,126571
-2.4372973,7.290344,6.83784,131546
-3.4356794,7.943961,7.302315,136551
-4.1419687,8.082825,7.5920134,141555
-4.43885,7.654263,7.831434,146560
-4.3143516,7.1873937,8.209718,151565
-3.9935284,6.8330517,8.7125,156570
-3.5673606,6.5146227,9.059659,161575
-3.0214825,6.205771,9.064447,166549
-2.5306711,5.865794,8.7292595,171554
-2.552219,5.8083334,8.3390045,176559
-2.6791117,5.8681884,7.8793178,181564
-2.719813,5.9759274,7.5944076,186569
-2.5809495,5.9878983,7.4004774,191574
-2.2936451,5.9783216,7.2472486,196548
-1.982399,5.722142,7.345411,201553
-1.5586253,5.473145,7.606379,206558
-1.541866,5.41329,7.8290396,211563
-1.8148049,5.5042696,8.018182,216568
-1.9991584,5.6120086,8.267179,221573
-2.1308396,5.827487,8.3868885,226547
-2.3870192,5.9998693,8.3868885,231552
-2.789245,6.2752028,8.293514,236557
-3.2321723,6.5744777,8.224083,241561
-3.8163576,6.9599442,7.929596,246566
-4.3502645,7.28795,7.563283,251571
-4.7381253,7.3885064,7.026982,256546
-5.0421886,7.443573,6.4308257,261551
-5.2145715,7.469909,5.877765,266556
-5.556942,7.5824366,5.291186,271560
-5.9998693,7.824251,4.6112323,276565
-6.078878,7.8984714,4.2784386,281570
-6.191406,7.97748,4.0821137,286575
-6.2368956,8.02297,3.9959226,291549
-6.1650696,7.97748,4.0581717,296554
-5.949591,7.81228,4.3047748,301559
-5.6646814,7.61835,4.429273,306564
-5.398925,7.467515,4.4244847,311569
-5.094861,7.3310456,4.5872903,316574
-4.8386817,7.1945763,4.6662993,321548
-4.606444,7.1586633,4.8841715,326553
-4.4819455,7.1347213,5.1571107,331558
-4.3718123,7.1131735,5.427655,336563
-4.3526587,7.1107793,5.5976434,341568
-4.4556093,7.1395097,5.650316,346573
-4.582502,7.156269,5.6670756,351547
-4.5681367,7.1514807,5.616797,356552
-4.4436383,7.1754227,5.315128,361557
-4.3358994,7.2424603,4.948815,366561
-4.1802764,7.302315,4.572925,371566
-3.9839516,7.417237,4.19943,376571
-3.8522706,7.4627266,3.928885,381546
-3.6846764,7.503428,2.8778305,386551
-3.8762126,7.73806,1.8698715,391556
-4.003105,7.8649526,1.5705963,396560
-3.7852328,7.893683,2.2888567,401565
-3.5577838,7.8793178,3.1986535,406570
-3.550601,7.8745294,3.9839516,411575
-3.7684734,7.8050976,4.3263226,416549
-4.1036615,7.726089,4.292804,421554
-4.498705,7.668628,4.000711,426559
-4.489128,7.589619,3.7134068,431564
-4.259285,7.5106106,3.3806129,436569
-4.0414124,7.5106106,3.064578,441574
-4.003105,7.6231384,2.815581,446548
-4.1371803,7.8386164,2.7629087,451553
-4.537012,8.1402855,2.89459,456558
-4.8458643,8.298303,3.0573955,461563
-4.987122,8.319851,3.1747115,466568
-4.9943047,8.279149,3.311181,471573
-4.903325,8.1642275,3.4811692,476547
-4.6279917,8.090008,3.6343982,481552
-4.3406878,7.9942393,3.7588966,486557
-4.0773253,7.929596,3.86903,491561
-3.8235402,7.8529816,3.9600096,496566
-3.6846764,7.788338,3.9145198,501571
-3.7325604,7.680599,3.86903,506546
-3.787627,7.5465236,3.7253778,511551
-3.8618474,7.347805,3.5242648,516555
-3.9384618,7.1059904,3.2872388,521560
-4.096479,6.7253127,3.0693667,526565
-3.53863,6.4380083,2.6623523,531570
-3.0502129,6.2847795,2.918532,536575
-2.5929205,6.145916,3.7062242,541549
-2.219425,6.033388,4.584896,546554
-2.0638018,6.030994,5.2887917,551559
-2.147599,6.0836663,5.779603,556564
-2.3056161,6.157887,5.9687448,561569
-2.5761611,6.203377,6.1123967,566574
-2.8682537,6.181829,6.2009826,571548
-3.1316159,6.105214,6.3302693,576553
-3.3063924,5.9064956,6.505046,581558
-3.5913026,5.8681884,6.7348895,586563
-3.9025488,5.9064956,7.0605006,591568
-3.9025488,5.717354,7.3765354,596572
-3.7325604,5.4659624,7.6470804,601547
-3.6990416,5.463568,7.908048,606552
-3.5577838,5.499481,8.154651,611557
-3.229778,5.2241483,7.9942393,616562
-2.5306711,4.7548847,5.2385135,621566
-2.9712043,5.08289,8.267179,626571
-3.1316159,4.9943047,9.600749,631546
-2.7724855,4.522647,9.660604,636551
-2.6192567,4.5753193,10.228029,641555
-2.6240451,4.7165775,10.620679,646560
-2.6384103,4.7381253,10.656591,651565
-2.6791117,4.7285485,10.522516,656570
-2.9831753,4.793192,10.383653,661575
-3.4356794,5.0062757,10.206482,666549
-3.8594532,5.2121773,10.070012,671554
-4.2281604,5.386954,9.995792,676559
-4.465186,5.4899044,9.85214,681564
-4.402937,5.4899044,9.445126,686569
-4.307169,5.437232,9.181764,691574
-4.173094,5.3103395,8.9998045,696548
-4.0222588,5.1571107,8.920795,701553
-3.8019924,5.0996494,8.887277,706558
-3.4332852,5.245696,8.700529,711563
-3.2345665,5.401319,8.506598,716568
-3.0142999,5.475539,8.394072,721573
-2.815581,5.506664,9.172187,726547
-2.908955,5.683835,8.746018,731552
-3.2920272,5.887342,7.9463553,736557
-2.885013,5.707777,7.493851,741562
-2.4827871,5.535394,7.089231,746566
-2.528277,5.4922986,7.1490865,751571
-2.6910827,5.45878,7.4507556,756546
-2.825158,5.3342814,7.773973,761551
-2.918532,5.243302,7.9942393,766556
-3.0502129,5.209783,8.161834,771560
-3.193865,5.1666875,8.11395,776565
-3.3375173,5.195418,8.075643,781570
-3.430891,5.2289367,8.161834,786575
-3.5410242,5.2480903,8.231265,791549
-3.7205894,5.281609,8.224083,796554
-3.9504328,5.3007627,8.166622,801559
-4.0557775,5.353435,8.080431,806564
