x,y,z,timestamp
-1.7405846,3.3782187,10.884041,1833
-1.8124107,3.3159695,11.068395,6838
-1.8890251,3.277662,11.293449,11843
-1.9369092,3.2944214,11.511322,16847
-2.0374656,3.3542767,11.6908865,21852
-2.1068976,3.4404678,11.743559,26857
-2.0805612,3.5338416,11.657368,31832
-1.8555063,3.5625722,11.547235,36836
-1.4053963,3.5314474,11.504139,41841
-1.2018893,3.550601,11.271901,46846
-1.4891934,3.7612908,11.068395,51851
-1.6256629,3.7588966,10.953473,56856
-1.5849615,3.6367924,10.589554,61861
-1.0821792,3.1507695,10.144233,66835
-0.92176765,2.9975405,9.631873,71840
-1.0342951,3.0573955,9.114726,76845
-1.0390835,3.0621839,8.437167,81850
-1.2521675,3.4356794,7.93199,86855
-1.7310078,3.7660792,7.7548194,91860
-1.9536686,3.976769,7.4842744,96834
-2.042254,4.1252093,7.1131735,101839
-1.9800048,4.2999864,6.727707,106844
-1.946486,4.5058875,6.6846113,111849
-1.8746599,4.711789,6.691794,116853
-1.70946,4.876989,6.4547677,121858
-1.4796166,5.00867,6.2105594,126833
-1.1779473,5.104438,6.054936,131838
-0.9576807,5.1930237,5.9807158,136843
-0.7469909,5.133168,5.813122,141847
-0.7015011,5.106832,5.734113,146852
-0.91458505,5.032612,5.9926867,151857
-1.1707647,5.011064,6.411672,156832
-1.3359646,5.035006,6.921637,161836
-0.81402856,5.231331,7.773973,166841
-0.93373865,5.0182467,7.762002,171846
-1.3575124,5.0254292,8.073248,176851
-2.1763294,5.1571107,9.344569,181856
-2.6192567,5.257667,9.346964,186861
-3.145981,5.3366756,9.552865,191835
-3.4859576,5.291186,9.813833,196840
-3.679888,5.171476,9.7563715,201845
-3.9001546,5.020641,9.509769,206850
-4.146757,4.9081135,9.275137,211855
-4.4963107,4.8362875,8.9998045,216860
-4.8267107,4.8267107,8.748413,221834
-5.085284,4.9200845,8.4587145,226839
-5.29358,5.0757074,8.157045,231844
-5.3462524,5.1930237,7.7572136,236849
-5.3606176,5.29358,7.314286,241853
-5.3007627,5.317522,7.065289,246858
-5.1571107,5.353435,6.8785415,251833
-5.056554,5.4061074,6.8210807,256838
-5.011064,5.485116,6.9168487,261842
-4.984728,5.5258174,7.0485296,266847
-4.927267,5.5497594,7.1706343,271852
-4.793192,5.602432,7.3047094,276857
-4.6471453,5.66947,7.417237,281832
-4.4915223,5.7987566,7.4603324,286836
-4.369418,5.9064956,7.419631,291841
-4.3622355,5.9663506,7.314286,296846
-4.343082,5.9807158,7.2113357,301851
