x,y,z,timestamp
-1.982399,4.247314,9.904813,4508
-1.922544,4.211401,9.969456,9513
-1.9153614,4.209007,9.957485,14488
-1.8938135,4.177882,9.825804,19492
-1.6567876,4.1395745,9.7563715,24497
-1.496376,4.1371803,9.667787,29502
-1.3982137,4.146757,9.634268,34507
-1.3742718,4.213795,9.540894,39512
-1.3383588,4.271256,9.43076,44486
-1.3239936,4.2904096,9.277532,49491
-1.3239936,4.3119574,9.11712,54496
-1.3215994,4.345476,8.949526,59501
-1.3144168,4.369418,8.765172,64506
-1.2856863,4.402937,8.506598,69511
-1.2210429,4.4556093,8.291121,74516
-1.1947067,4.5058875,8.082825,79490
-1.1875241,4.5513773,7.8888946,84495
-1.2162545,4.5801077,7.7069354,89500
-1.2186487,4.594473,7.515399,94505
-1.2425907,4.6016555,7.321469,99510
-1.2761095,4.5920787,7.2927384,104515
-1.3144168,4.5753193,7.326257,109489
-1.3670892,4.5872903,7.4268136,114494
-1.4101849,4.5681367,7.6015906,119499
-1.4580688,4.6040497,7.821857,124503
-1.5251064,4.5681367,7.9846625,129508
-1.5705963,4.525041,8.161834,134513
-1.6041151,4.477157,8.37013,139488
-1.6711528,4.4580035,8.571242,144492
-1.7381904,4.453215,8.746018,149497
-1.8028339,4.4364557,8.868123,154502
-1.8028339,4.4364557,8.992621,159507
-1.8171991,4.4244847,9.054871,164512
-1.8004397,4.417302,9.038112,169486
-1.8291701,4.450821,8.963891,174491
-1.8579005,4.4819455,8.887277,179496
-1.8722657,4.5034933,8.820239,184501
-1.8555063,4.51307,8.7532015,189506
-1.8171991,4.5298295,8.686164,194511
-1.7836803,4.5418005,8.616732,199516
-1.7812861,4.548983,8.6095495,204490
-1.7549498,4.55856,8.573636,209495
-1.7597382,4.55856,8.542512,214500
-1.7645266,4.5872903,8.468291,219505
-1.745373,4.5992613,8.350976,224510
-1.7501614,4.6040497,8.346188,229515
-1.7764976,4.606444,8.348581,234489
-1.7645266,4.6016555,8.341399,239494
-1.7597382,4.6112323,8.322245,244499
-1.7262194,4.6471453,8.248025,249503
-1.7022774,4.663905,8.207323,254508
-1.6879122,4.687847,8.176199,259513
-1.6376339,4.6902413,8.204929,264488
-1.5394717,4.6950297,8.221688,269492
-1.5610195,4.6830587,8.23366,274497
-1.6304513,4.711789,8.224083,279502
-1.7166426,4.735731,8.161834,284507
-1.7357962,4.7548847,8.070854,289512
-1.6950948,4.7261543,8.025364,294486
-1.5993267,4.7070007,8.015787,299491
-1.5346833,4.7022123,8.030152,304496
-1.4987702,4.709395,8.073248,309501
-1.5035586,4.759673,8.082825,314506
-1.5610195,4.7548847,8.104373,319511
-1.6496049,4.7309427,8.161834,324516
-1.7812861,4.7261543,8.26239,329490
-1.9153614,4.6950297,8.346188,334495
-2.042254,4.6806645,8.406042,339500
-2.1212628,4.675876,8.453926,344505
-2.171541,4.6686935,8.561666,349510
