x,y,z,timestamp
-2.3558946,5.2002063,9.785102,3879
-2.3199813,5.197812,9.579201,8884
-2.2002714,5.133168,9.320627,13889
-2.1188686,5.092467,9.0429,18894
-2.0446482,5.0876784,8.805874,23868
-1.9393034,5.092467,8.604761,28873
-1.8291701,5.1235914,8.379706,33878
-1.7932571,5.161899,8.128315,38883
-1.769315,5.209783,7.7811556,43888
-1.7788919,5.281609,7.599196,48892
-1.8650831,5.3438582,7.45315,53867
-1.9728222,5.391742,7.3166804,58872
-2.054225,5.451597,7.1849995,63877
-2.1523874,5.511452,7.03177,68881
-2.1739352,5.5617304,6.9527617,73886
-2.1691468,5.616797,6.919243,78891
-2.1763294,5.674258,6.9144545,83896
-2.1739352,5.695806,6.9719152,88871
-2.1404164,5.7269306,7.089231,93875
-2.1332338,5.7125654,7.1730285,98880
-2.111686,5.719748,7.374141,103885
-2.1380222,5.707777,7.5680714,108890
-2.1883004,5.695806,7.7691846,113895
-2.3127987,5.6215854,8.003817,118869
-2.3415294,5.5641246,8.157045,123874
-2.3654714,5.556942,8.200141,128879
-2.4516625,5.5258174,8.173804,133884
-2.5953147,5.5018754,8.128315,138889
-2.7150247,5.475539,8.066066,143894
-2.8443117,5.449203,7.9128366,148868
-2.918532,5.5042696,7.740454,153873
-2.9616275,5.5641246,7.4986396,158878
-2.9376855,5.6431336,7.1634517,163883
-2.834735,5.7365074,6.7133417,168888
-2.7030537,5.7867856,6.4643445,173892
-2.5378537,5.8442464,6.301539,178867
-2.3870192,5.851429,6.1866174,183872
-2.3247697,5.8562174,6.126762,188877
-2.2529438,5.8705826,6.1195793,193881
-2.2218192,5.827487,5.7508726,198886
-2.4540567,6.042965,5.7005944,203891
-2.5187001,6.208165,6.265626,208896
-2.5689783,6.2392898,6.5936313,213871
-2.3894134,6.265626,6.6774287,218875
-2.1140802,6.232107,6.600814,223880
-1.9560628,6.1770406,6.588843,228885
-1.9512744,6.1004257,6.7109475,233890
-1.99437,6.069301,6.897695,238895
-2.0254946,6.0381765,7.117962,243869
-2.0254946,6.0740895,7.180211,248874
-2.0374656,6.1004257,7.165846,253879
-2.0566192,6.145916,7.1490865,258884
-2.1045034,6.1746464,7.2304893,263889
-2.018312,6.232107,7.3549876,268894
-1.8746599,6.3206925,7.445967,273868
-1.7238252,6.3446345,7.4603324,278873
-1.6328455,6.325481,7.4866686,283878
-1.6472107,6.3446345,7.5225816,288883
-1.8315643,6.3350577,7.6255326,293888
-2.042254,6.4140663,7.6949644,298892
-2.231396,6.481104,7.8290396,303867
-2.2744915,6.5337763,7.867347,308872
