x,y,z,timestamp
-2.327164,4.853047,10.0508585,181
-2.4851813,4.841076,10.201694,5186
-2.540248,4.8578353,10.371682,10191
-2.5234885,4.8841715,10.584765,15196
-2.4133554,4.8602295,10.809821,20200
-2.2481554,4.841076,10.903194,25205
-2.0207062,4.8147397,10.860099,30180
-1.7549498,4.7907977,10.647015,35184
-1.4700398,4.759673,10.307038,40189
-1.1013328,4.72376,9.888053,45194
-0.81163436,4.7668557,9.490616,50199
-0.58897364,4.8602295,9.078813,55204
-0.41180268,4.9775453,8.767567,60179
-0.29688102,5.1379566,8.480263,65183
-0.1340753,5.317522,8.1402855,70188
-0.01436521,5.5138464,7.735666,75193
0.11252748,5.571307,7.323863,80198
0.260968,5.485116,6.823475,85203
0.016759412,5.662287,6.885724,90177
-0.36391866,5.803545,6.921637,95182
-0.878672,6.069301,6.979098,100187
-1.2497733,6.301539,6.9767036,105192
-1.5251064,6.4547677,6.9767036,110197
-1.6807296,6.5026517,7.1849995,115202
-1.6567876,6.5146227,7.541735,120207
-1.4772224,6.4164605,7.8625584,125181
-1.3838485,6.3087215,7.953538,130186
-1.388637,6.227319,8.034941,135191
-1.5251064,6.181829,8.252813,140196
-1.7262194,6.229713,8.571242,145200
-2.0614076,6.3182983,8.844181,150205
-2.3774424,6.4164605,8.908825,155180
-2.7126305,6.4427967,8.872911,160184
-3.0023289,6.4619503,8.63828,165189
-3.2441432,6.4619503,8.286332,170194
-3.383007,6.409278,7.7691846,175199
-3.1507695,6.7229185,7.541735,180204
-3.0669725,6.622362,7.3166804,185179
-3.3638535,6.576872,6.1530986,190183
-3.763685,6.6295447,6.136339,195188
-4.074931,6.6870055,6.2584434,200193
-3.9576154,6.715736,5.74369,205198
-3.7325604,6.7205243,5.2624555,210203
-3.560178,6.775591,5.0254292,215177
-3.466804,6.8402343,4.9057193,220182
-3.4500446,6.933608,4.8003745,225187
-3.4261026,6.9886746,4.6782703,230192
-3.371036,6.981492,4.450821,235197
-2.8802247,6.9240313,2.7748797,240202
-3.4476504,7.6351094,-0.9504981,245207
-4.2640734,7.6111674,1.2904748,250181
-3.8163576,7.07726,2.741361,255186
-3.3901896,6.921637,2.9113493,260191
-3.2920272,7.0461354,3.2585084,265196
-3.2034419,7.302315,3.6990416,270200
-3.1723173,7.4507556,4.177882,275205
-3.2249897,7.321469,4.450821,280180
-3.311181,7.101202,4.5681367,285184
-3.4141316,6.991069,4.55856,290189
-3.3877954,7.0341644,4.5034933,295194
-3.2465374,7.00304,4.295198,300199
-3.1483753,6.7827735,4.048595,305204
-3.169923,6.691794,3.857059,310179
-3.3087866,6.6630635,3.8139634,315183
-3.5098996,6.7253127,3.8043866,320188
-3.6822822,6.811504,3.8379054,325193
-3.7828386,6.909666,3.9815574,330198
-3.7708676,6.9527617,4.084508,335203
-3.727772,7.038953,4.1371803,340177
-3.667917,7.0581064,4.237737,345182
-3.6846764,7.089231,4.3119574,350187
-3.6894648,7.098808,4.489128,355192
-3.691859,7.0964136,4.63278,360197
-3.6870706,7.089231,4.84347,365202
-3.6343982,7.03177,5.140351,370207
-3.5218706,6.9264255,5.533,375181
-3.4476504,6.8761473,6.129156,380186
-3.4021606,6.83784,6.646304,385191
-3.4165258,6.8545995,7.228095,390196
-3.41892,6.847417,7.726089,395200
-3.406949,6.83784,8.056489,400205
-3.3901896,6.789956,8.135497,405180
-3.3877954,6.730101,8.020576,410185
-3.4404678,6.6654577,7.845799,415189
-3.5673606,6.6271505,7.639898,420194
-3.6727054,6.588843,7.410054,425199
-3.6822822,6.50744,7.1395097,430204
-3.6655228,6.4499793,7.017405,435179
-3.667917,6.38773,7.007828,440183
-3.6463692,6.339846,7.089231,445188
-3.655946,6.31351,7.290344,450193
-3.58412,6.26802,7.3909006,455198
-3.5242648,6.253655,7.302315,460203
-3.478775,6.208165,7.101202,465177
-3.4763808,6.172252,6.919243,470182
-3.4356794,6.167464,6.655881,475187
-3.3782187,6.117185,6.3589997,480192
-3.608062,5.801151,5.425261,485197
-3.667917,6.615179,5.5282116,490202
-3.7900212,6.8306575,5.719748,495207
-3.775656,6.885724,5.7005944,500181
-3.3758245,7.0102224,5.4683566,505186
-3.028665,7.2089415,5.461174,510191
-2.7006595,7.323863,5.7029886,515196
-2.3463178,7.275979,5.973533,520200
-1.9752164,7.153875,6.265626,525205
-1.5969325,7.015011,6.4906807,530180
-1.4628572,6.9144545,6.5864487,535184
-1.4293385,6.931214,6.5265937,540189
-1.4796166,6.979098,6.351817,545194
-1.5682021,6.9719152,6.126762,550199
-1.7645266,6.873753,5.8466406,555204
-2.0278888,6.7708025,5.626374,560179
-2.3894134,6.706159,5.5976434,565183
-2.7605145,6.6870055,5.638345,570188
-3.0502129,6.670246,5.755661,575193
-3.2393548,6.658275,5.872977,580198
-3.3183637,6.71813,5.961562,585203
-3.217807,6.6606693,6.05733,590177
-3.0885203,6.5696893,6.2009826,595182
-2.9783869,6.4643445,6.4044895,600187
-2.885013,6.3949127,6.591237,605192
-2.753332,6.3542113,6.8043213,610197
-2.6024973,6.315904,7.0006456,615202
-2.4372973,6.2991447,7.3047094,620207
-2.2409728,6.31351,7.831434,625181
-1.9416976,6.303933,8.377312,630186
-1.5705963,6.2967505,8.714894,635191
-1.3551182,6.26802,8.7771435,640196
-1.1994951,6.2225304,8.724471,645200
-1.1468226,6.1507044,8.7292595,650205
-1.1659763,6.0621185,8.7292595,655180
-1.2976574,5.9878983,8.645462,660184
-1.4772224,5.9448028,8.48984,665189
-1.7118542,5.9280434,8.252813,670194
-1.946486,5.932832,7.9511437,675199
-2.1260512,5.9543796,7.620744,680204
-2.243367,5.9567738,7.156269,685179
-2.2601264,5.947197,6.801927,690183
-2.2577322,5.9687448,6.4140663,695188
-2.2744915,5.9783216,6.0238113,700193
-2.327164,5.985504,5.74369,705198
-2.3558946,5.9519854,5.451597,710203
-2.3295584,5.899313,5.3606176,715177
