x,y,z,timestamp
-2.0566192,4.8865657,10.354922,648
-1.9081788,4.867412,10.244789,5653
-1.7262194,4.829105,9.825804,10658
-1.5729905,4.6351743,9.208099,15663
-1.496376,4.381389,8.441956,20668
-1.5035586,4.4077253,8.394072,25673
-1.6017209,4.489128,8.212111,30678
-1.6472107,4.6806645,8.008605,35652
-1.5801731,4.867412,7.9104424,40657
-1.6232687,4.900931,7.728483,45662
-1.7166426,4.912902,7.505822,50667
-1.685518,5.023035,7.2544312,55672
-1.5035586,5.12838,6.8569937,60677
-1.316811,5.2720323,6.955156,65651
-1.4580688,5.257667,6.6726403,70656
-1.6065093,5.1810527,6.327875,75661
-1.6184803,5.073313,6.4044895,80665
-1.5777789,4.9536033,6.471527,85670
-1.3551182,4.759673,6.6247563,90675
-1.1204864,4.6710877,6.8210807,95650
-0.94092125,4.6806645,7.0485296,100655
-0.8690952,4.8123455,7.2328835,105659
-0.866701,5.0062757,7.431602,110664
-0.89303726,5.33907,7.7811556,115669
-0.9672575,5.544971,8.061277,120674
-1.13964,5.746084,8.307879,125648
-1.3982137,5.887342,8.559271,130653
-1.6448165,5.961562,8.913613,135658
-1.9536686,6.030994,9.361329,140663
-2.1140802,6.105214,9.662998,145668
-2.2625206,6.2129536,9.928755,150673
-2.360683,6.38773,10.19451,155678
-2.4013844,6.5744777,10.460267,160652
-2.5234885,6.8091097,10.728417,165657
-2.6384103,6.991069,10.817003,170662
-2.7581203,7.117962,10.579977,175667
-2.906561,7.1873937,9.933543,180672
-3.0190883,7.1586633,9.141062,185677
-3.122039,7.0221934,8.24563,190651
-3.3087866,6.9383965,7.52737,195656
-3.596091,6.8545995,6.873753,200661
-3.940856,6.71813,6.423643,205665
-4.285621,6.5601125,6.220136,210670
-4.465186,6.421249,6.129156,215675
-4.110844,6.447585,6.1938,220650
-4.1802764,6.2105594,6.4547677,225655
-4.5633483,6.1770406,6.55293,230659
-4.5681367,6.2129536,6.3230867,235664
-4.249708,6.3326635,6.227319,240669
-4.321534,6.241684,6.4284315,245674
-4.663905,6.1195793,6.787562,250648
-4.7884035,6.0621185,7.369353,255653
-4.8027687,5.923255,8.185776,260658
-5.0302176,5.758055,8.791509,265663
-5.1020436,5.729325,9.083601,270668
-5.233725,5.671864,9.303867,275673
-5.3941364,5.705383,9.323022,280678
-5.3582234,5.7508726,9.0237465,285652
-5.3725886,5.770026,8.4826565,290657
-5.29358,5.901707,8.054094,295662
-5.0996494,6.033388,7.7452426,300667
-4.972757,6.203377,7.467515,305672
-4.8147397,6.4787097,7.062895,310677
-4.5801077,6.730101,6.5720835,315651
-4.3742065,6.9048777,6.2392898,320656
-4.0581717,7.3525934,5.7389016,325661
-4.098873,7.4603324,5.0397944,330665
-4.0462008,7.5345526,4.3766007,335670
-4.675876,8.010999,2.9017725,340675
-4.3861775,7.7189064,2.6024973,345650
-4.1012673,7.477092,2.0350714,350655
-3.9863458,7.4124484,1.532289,355660
-3.940856,7.347805,1.2617443,360664
-3.9312792,7.2951326,1.2425907,365669
-3.9240966,7.3669586,1.3335704,370674
-3.964798,7.5201874,1.4820108,375648
-3.976769,7.7093296,1.6424223,380653
-3.976769,7.929596,1.7190368,385658
-3.809175,7.9726915,1.922544,390663
-3.5625722,7.869741,2.2816741,395668
-3.430891,7.8266454,0.7565677,400673
-3.8546648,8.178593,-1.2904748,405678
-3.9480386,8.341399,-1.5370775,410652
-3.6224272,8.192958,-0.2873042,415657
-3.4644098,8.085219,1.5562311,420662
-3.4332852,8.094796,2.789245,425667
-3.2465374,7.965509,4.209007,430672
-3.0789435,7.824251,5.66947,435677
-3.074155,7.833828,6.26802,440651
-3.3973722,7.9942393,6.10282,445656
-3.7325604,8.051701,5.5138464,450661
-4.096479,8.037335,4.8722005,455665
-4.3646297,7.9750857,4.146757,460670
-4.5872903,7.9463553,3.3518825,465675
-4.8003745,7.93199,2.4827871,470650
-4.759673,7.953538,1.8818425,475655
-4.537012,8.008605,1.3479356,480660
-3.9815574,8.0924015,0.7398083,485664
-3.7588966,8.130709,0.22984336,490669
-3.739743,8.202535,-0.19153613,495674
-3.763685,8.334216,-0.2753332,500648
-3.7325604,8.463503,-0.19871874,505653
-3.5817258,8.559271,0.016759412,510658
-3.3207579,8.623915,0.31124622,515663
