x,y,z,timestamp
-1.7932571,4.5657425,9.797073,1744
-1.7645266,4.522647,9.758766,6749
-1.7381904,4.5034933,9.694122,11754
-1.673547,4.5058875,9.61272,16759
-1.6112977,4.510676,9.390059,21764
-1.5682021,4.5561657,9.172187,26768
-1.5586253,4.596867,8.99741,31743
-1.5370775,4.642357,8.836999,36748
-1.5298948,4.6902413,8.616732,41752
-1.5466543,4.7285485,8.324639,46757
-1.4915876,4.7620673,8.063671,51762
-1.3838485,4.793192,7.8266454,56767
-1.2976574,4.829105,7.632715,61741
-1.2401965,4.8865657,7.479486,66746
-1.1923125,4.9224787,7.398083,71751
-1.1923125,4.9559975,7.395689,76756
-1.2282255,4.9679685,7.443573,81761
-1.2090719,4.9655743,7.539341,86766
-1.2210429,4.939238,7.608773,91771
-1.2761095,4.8865657,7.7452426,96745
-1.3623008,4.8698063,7.9104424,101750
-1.4389153,4.867412,8.101978,106755
-1.532289,4.8458643,8.26239,111760
-1.6089035,4.8338933,8.3868885,116765
-1.7166426,4.7788267,8.511387,121769
-1.8148049,4.7548847,8.607155,126744
-1.8890251,4.699818,8.662222,131749
-1.9081788,4.6375685,8.671799,136754
-1.9297266,4.620809,8.643068,141759
-1.9800048,4.608838,8.461109,146764
-1.9847932,4.642357,8.3390045,151768
-1.946486,4.687847,8.310274,156743
-1.8195933,4.644751,8.252813,161748
-1.769315,4.6375685,8.159439,166752
-1.8794483,4.6782703,7.9607205,171757
-1.922544,4.7285485,7.7332716,176762
-1.9153614,4.7907977,7.513005,181767
-1.8435353,4.7860093,7.3310456,186741
-1.7477672,4.747702,7.237672,191746
-1.6639702,4.7309427,7.2687964,196751
-1.6496049,4.747702,7.386112,201756
-1.661576,4.805163,7.48188,206761
-1.6591818,4.819528,7.565677,211766
-1.6519991,4.819528,7.6734166,216771
-1.7118542,4.8578353,7.833828,221745
-1.757344,4.8626237,8.027759,226750
-1.8291701,4.876989,8.1402855,231755
-1.8914193,4.8506527,8.3390045,236760
-1.9273324,4.8267107,8.554482,241765
-1.9632454,4.781221,8.767567,246769
-1.99437,4.7668557,9.074024,251744
-1.9536686,4.7500963,9.303867,256749
-1.8674773,4.7165775,9.476251,261754
-1.769315,4.7165775,9.648633,266759
-1.6831238,4.6710877,9.758766,271764
-1.5993267,4.7046065,9.842564,276768
-1.5801731,4.6950297,9.904813,281743
-1.5490485,4.6926355,9.85214,286748
-1.5705963,4.7189717,9.689334,291752
-1.6041151,4.7309427,9.485827,296757
-1.6376339,4.7668557,9.284714,301762
-1.6543933,4.793192,9.165004,306767
-1.6376339,4.8099513,8.985439,311741
