x,y,z,timestamp
-1.769315,5.4180784,9.325416,1359
-1.7764976,5.5018754,9.509769,6334
-1.7142484,5.547365,9.615114,11339
-1.4915876,5.542577,9.607931,16344
-1.3000516,5.556942,9.634268,21348
-1.0965444,5.57849,9.64145,26353
-0.91697925,5.6120086,9.600749,31358
-0.7110779,5.638345,9.483433,36332
-0.60573304,5.657499,9.241618,41337
-0.49559975,5.7269306,8.825027,46342
-0.45489833,5.770026,8.468291,51347
-0.41180268,5.841852,8.1163435,56352
-0.4213795,5.9304376,7.797915,61357
-0.51714754,6.0166287,7.4986396,66331
-0.6584055,6.129156,7.019799,71336
-0.79248077,6.1770406,6.682217,76341
-0.9888053,6.1938,6.3685765,81346
-1.8171991,6.069301,5.93762,86351
-2.80361,5.9424086,5.437232,91356
-3.0382419,5.837064,5.118803,96330
-2.8538885,5.899313,4.927267,101335
-2.6479871,6.007052,4.8147397,106340
-2.5594015,6.0597243,4.8961425,111345
-2.5306711,6.030994,5.0278234,116350
-2.3702598,5.841852,5.1690817,121355
-2.4133554,5.434838,5.329493,126359
-2.3774424,5.257667,5.741296,131334
-2.3654714,5.291186,6.241684,136339
-2.2625206,5.566519,6.9288197,141343
-1.9776106,5.959168,7.5345526,146348
-1.6304513,6.241684,7.785944,151353
-1.5921441,6.5146227,7.9846625,156358
-0.80684596,6.588843,8.137892,161332
-0.2896984,6.4882865,8.418014,166337
-0.22266077,6.375759,8.566454,171342
-0.56982,6.4858923,8.540117,176347
-1.1803415,6.6415157,8.475474,181352
-1.7956513,6.742072,8.439561,186357
-2.3199813,6.6630635,8.322245,191331
-2.8802247,6.4763155,8.11395,196336
-3.347094,6.2871737,7.9152308,201341
-3.787627,6.1123967,7.651869,206346
-4.175488,5.9519854,7.548918,211351
-4.5298295,5.8203044,7.501034,216356
-4.807557,5.7269306,7.7931266,221330
-4.9105077,5.6215854,8.0684595,226335
-4.936844,5.523423,8.020576,231340
-4.8985367,5.437232,7.8410106,236345
-4.793192,5.425261,7.630321,241350
-4.489128,5.4659624,7.1490865,246355
-4.280833,5.619191,6.7468605,251359
-4.1826706,5.7149596,6.2584434,256334
-4.209007,5.619191,5.6790466,261339
-4.3502645,5.7604494,5.4539914,266343
-4.1635165,5.9543796,5.6239796,271348
-4.158728,6.4523735,5.8562174,276353
-4.5418005,6.7372837,5.9519854,281358
-4.6136265,6.7851677,5.961562,286332
-4.0533834,6.6726403,5.544971,291337
-3.4500446,6.5840545,5.4061074,296342
-3.1435869,6.5601125,5.475539,301347
-3.2728736,6.4284315,5.5138464,306352
-3.4261026,6.3111157,5.8586116,311357
-3.41892,6.2584434,6.3326635,316331
-3.335123,6.179435,6.555324,321336
-3.2944214,6.114791,6.4739213,326341
-3.4021606,6.145916,6.50744,331346
-3.6655228,6.203377,6.615179,336351
-3.9480386,6.3063273,6.631939,341356
-4.256891,6.3709707,6.667852,346330
-4.5633483,6.375759,6.751649,351335
-4.7022123,6.3302693,7.03177,356340
-4.7309427,6.277597,7.395689,361345
-4.6830587,6.2464724,7.654263,366350
-4.5418005,6.169858,7.716512,371355
-4.333505,6.160281,7.5465236,376359
-4.197036,6.172252,7.350199,381334
-4.036624,6.220136,7.192182,386339
-3.8379054,6.2584434,7.1155677,391344
-3.5889084,6.3470287,6.9886746,396348
-3.1866825,6.4188547,6.8186865,401353
-2.8395233,6.4858923,6.7109475,406358
-2.5617957,6.5744777,6.6534867,411332
-2.3870192,6.619968,6.799533,416337
-2.2936451,6.6271505,6.9982514,421342
-2.2457612,6.619968,7.089231,426347
-2.2577322,6.6295447,7.062895,431352
-2.3654714,6.5936313,6.955156,436357
-2.5115175,6.6510925,6.7324953,441331
-2.657564,6.727707,6.4643445,446336
-2.89459,6.8186865,6.160281,451341
-2.992752,6.8522053,5.93762,456346
-3.004723,6.8665705,5.7484784,461351
-2.9951463,6.8689647,5.595249,466356
-2.9281087,6.849811,5.485116,471330
-2.7700913,6.849811,5.4899044,476335
-2.633622,6.8306575,5.535394,481340
-2.6910827,6.9503675,5.473145,486345
-2.918532,7.043741,5.547365,491350
-2.96881,6.9982514,5.5880666,496355
-2.6791117,6.8210807,5.439626,501359
-2.5139117,6.739678,5.434838,506334
-2.528277,6.6893997,5.4324436,511339
-2.56419,6.646304,5.4444146,516343
-2.5833437,6.5816603,5.616797,521348
-2.456451,6.564901,5.8825536,526353
-2.384625,6.6103907,5.971139,531358
-2.3798366,6.6606693,6.009446,536332
-2.4732103,6.7013707,6.0621185,541337
-2.5617957,6.739678,6.126762,546342
-2.7006595,6.801927,6.160281,551347
-2.885013,6.8569937,6.181829,556352
-3.0214825,6.9383965,6.054936,561357
-2.9400797,7.0126166,5.8801594,566331
-2.942474,7.0102224,5.6910176,571336
-3.0765493,6.9479733,5.511452,576341
-3.3327289,6.835446,5.327099,581346
-3.5458126,6.799533,5.233725,586351
-3.7588966,6.777985,5.1906295,591356
-3.8426938,6.7253127,5.140351,596330
-3.8474822,6.6654577,5.2026005,601335
-3.7588966,6.543353,5.437232,606340
-3.5697548,6.435614,5.753267,611345
-3.3997664,6.351817,6.1626754,616350
-3.1986535,6.2704144,6.6750345,621355
-2.966416,6.1746464,7.1706343,626359
-2.767697,6.045359,7.711724,631334
-2.6408045,5.997475,8.137892,636339
-2.5354595,5.973533,8.444349,641344
-2.408567,5.9878983,8.556877,646348
-2.3127987,6.0142345,8.544906,651353
-2.2649148,6.0956373,8.441956,656358
-2.3127987,6.1650696,8.274361,661332
-2.2864625,6.2512608,8.147469,666337
-2.2984335,6.2249246,7.776367,671342
-2.3104045,6.1530986,7.326257,676347
-2.3439236,6.0956373,7.1107793,681352
-2.3942018,6.019023,6.8522053,686357
-2.4396915,5.9998693,6.615179,691331
-2.4851813,5.971139,6.423643,696336
-2.4851813,5.90889,6.2608376,701341
-2.4301147,5.8442464,6.129156,706346
-2.4061728,5.7748146,6.066907,711351
-2.432509,5.707777,6.0477533,716356
-2.5187001,5.556942,6.066907,721330
-2.4899697,5.4324436,6.220136,726335
-2.552219,5.245696,6.3446345,731340
-2.60968,5.1259856,6.4547677,736345
-2.5594015,5.0374002,6.5936313,741350
-2.585738,4.9919105,6.7684083,746355
-2.6551697,4.924873,6.9503675,751359
-2.789245,4.841076,7.177817,756334
-2.8898015,4.72376,7.4148426,761339
-2.9257145,4.656722,7.7308774,766344
-3.0142999,4.5992613,8.09719,771348
-3.0262709,4.55856,8.497022,776353
-3.0262709,4.548983,9.002198,781358
-2.9257145,4.486734,9.337387,786332
-2.8107927,4.5034933,9.466674,791337
-1.970428,4.0533834,9.440337,796342
-2.0638018,4.3358994,9.655815,801347
-2.597709,4.7644615,9.983821,806352
-3.1387985,5.0637364,10.546458,811357
-3.2513258,5.0781016,10.912771,816331
-3.1387985,4.9344497,11.149797,821336
-2.9712043,4.745308,11.300632,826341
-2.873042,4.570531,11.384429,831346
-2.9783869,4.4723687,11.312603,836351
-3.157952,4.453215,11.262324,841356
-3.4141316,4.402937,13.438654,846330
-3.2800562,4.345476,13.486538,851335
-3.3997664,4.417302,12.200851,856340
-3.5003228,4.4364557,11.305421,861345
-3.3446999,4.6399627,9.622296,866350
-3.1028855,4.795586,8.552089,871355
-2.7150247,4.84347,7.9511437,876359
-2.360683,4.8219223,7.505822,881334
-1.946486,4.867412,6.9144545,886339
-1.5921441,4.9775453,6.4787097,891343
-1.3215994,5.0876784,6.155493,896348
-1.2234371,5.1762643,5.935226,901353
-1.283292,5.2289367,5.813122,906358
-1.4676456,5.269638,5.767632,911332
-1.6950948,5.3103395,5.9280434,916337
-2.0494366,5.2959743,6.2847795,921342
-2.4612393,5.329493,6.7205243,926347
-2.7150247,5.3486466,7.21373,931352
-2.882619,5.2887917,7.819463,936357
-2.8778305,5.207389,8.257602,941331
-2.7964275,5.118803,8.528147,946336
-2.7030537,5.0876784,8.702923,951341
-2.5689783,5.046977,8.772355,956346
-2.4013844,5.085284,8.7292595,961351
