x,y,z,timestamp
-1.1444284,5.2744265,10.699687,3121
-1.316811,5.305551,11.092337,8126
-1.3934253,5.315128,11.3964,13100
-1.283292,5.2504845,11.532869,18105
-1.0510546,5.0781016,11.468226,23110
-0.8523358,4.8745947,11.073183,28115
-0.7254431,4.7524905,10.642226,33120
-0.6512229,4.7189717,10.089166,38125
-0.7637503,4.63278,9.387665,43099
-0.581791,4.572925,8.7053175,48104
-0.62488663,4.6471453,8.030152,53109
-0.7637503,4.709395,7.73806,58114
-0.94331545,4.7884035,7.5082164,63119
-1.1540052,4.8865657,7.237672,68124
-1.3479356,5.00867,6.945579,73098
-1.5298948,5.149928,6.5002575,78103
-1.5993267,5.2289367,6.1890116,83108
-1.5801731,5.2959743,5.959168,88113
-1.5849615,5.403713,5.901707,93118
-1.5586253,5.5258174,5.9639564,98123
-1.5179238,5.6096144,6.0764837,103097
-1.520318,5.657499,6.327875,108102
-1.532289,5.683835,6.6175733,113107
-1.5155296,5.6982,6.8929067,118111
-1.4748282,5.705383,7.2831616,123116
-1.5586253,5.7508726,7.785944,128121
-1.733402,5.8226986,8.23366,133126
-1.9632454,5.947197,8.698134,138100
-2.1667526,6.0956373,9.097966,143105
-2.3798366,6.1890116,9.296685,148110
-2.6264393,6.2464724,9.421184,153115
-2.705448,6.227319,9.330204,158120
-2.767697,6.1985884,9.016563,163125
-2.815581,6.1890116,8.611943,168099
-2.861071,6.2392898,8.200141,173104
-3.0238767,6.3805475,7.630321,178109
-3.2273839,6.543353,7.141904,183114
-3.454833,6.622362,6.751649,188119
-3.6056678,6.6774287,6.471527,193124
-3.775656,6.6870055,6.265626,198098
-3.9695864,6.7013707,6.227319,203103
-4.086902,6.634333,6.126762,208108
-4.0892963,6.5840545,5.997475,213113
-4.2281604,6.5840545,6.105214,218118
-4.4196963,6.5816603,6.196194,223123
-4.5801077,6.5960255,6.1985884,228097
-4.7429137,6.6486983,6.349423,233102
-4.829105,6.6415157,6.4882865,238107
-4.9057193,6.631939,6.4858923,243111
-4.951209,6.555324,6.5385647,248116
-4.9200845,6.4787097,6.4882865,253121
-4.8003745,6.409278,6.229713,258126
-4.781221,6.4284315,5.90889,263100
-4.805163,6.483498,5.602432,268105
-4.8722005,6.5864487,5.482722,273110
-4.8841715,6.742072,5.451597,278115
-4.8698063,6.895301,5.5401826,283120
-4.795586,6.993463,5.693412,288125
-4.6710877,7.074866,5.8346696,293099
-4.6160207,7.1371155,6.0405707,298104
-4.548983,7.1730285,6.1650696,303109
-4.560954,7.16824,6.160281,308114
-4.596867,7.141904,5.925649,313119
-4.673482,7.091625,5.6670756,318124
-4.771644,7.0341644,5.3606176,323098
-4.9200845,7.067683,5.0493712,328103
-4.9224787,7.055712,4.644751,333108
-4.7500963,7.1395097,4.4244847,338113
-3.9264908,7.2233067,1.934515,343118
-3.632004,8.073248,-2.882619,348123
-3.7565024,8.578424,-1.6448165,353097
-2.9831753,8.264784,1.3670892,358102
-2.731784,8.384495,1.436521,363107
-2.7222073,8.461109,2.066196,368111
-2.6168625,8.396465,3.347094,373116
-2.5881321,8.274361,4.4819455,378121
-2.6886885,8.238448,5.305551,383126
-2.861071,8.236053,5.60722,388100
-3.1531637,8.259995,5.765238,393105
-3.5338416,8.319851,5.595249,398110
-3.8402996,8.3629465,5.233725,403115
-4.050989,8.3629465,4.6471453,408120
-4.1036615,8.350976,4.1683054,413125
-4.223372,8.358158,3.6822822,418099
-4.232949,8.511387,3.2273839,423104
-4.072537,8.492233,2.7581203,428109
-3.9695864,8.437167,2.3175871,433114
-3.86903,8.295909,1.9847932,438119
-3.6942532,8.087613,1.6759412,443124
-3.5745432,7.9726915,1.4915876,448098
-3.4452562,7.9104424,1.364695,453103
-3.3303347,7.8865004,1.2689269,458108
-3.2704794,7.9152308,1.163582,463113
-3.122039,7.9583263,1.1492168,468118
-3.004723,8.042124,1.1803415,473123
-2.8275523,8.061277,1.2856863,478097
-2.6120741,8.018182,1.4341269,483102
-2.291251,7.8625584,1.6807296,488107
-2.0326772,7.704541,1.8722657,493111
-1.7980455,7.5584946,2.1164744,498116
-1.5945383,7.455544,2.348712,503121
-1.4796166,7.429208,2.6527755,508126
-1.4101849,7.431602,3.083732,513100
