x,y,z,timestamp
-1.934515,4.8482585,9.560047,4644
-1.9871874,4.8123455,9.526528,9648
-2.0638018,4.7788267,9.552865,14653
-2.1571758,4.7620673,9.543288,19658
-2.183512,4.7764325,9.502586,24633
-2.2026656,4.76925,9.390059,29637
-2.1787236,4.747702,9.320627,34642
-2.171541,4.7165775,9.287108,39647
-2.1380222,4.7070007,9.196129,44652
-2.0757728,4.721366,9.090784,49657
-2.0350714,4.7189717,9.01417,54631
-2.0231004,4.72376,8.985439,59636
-2.0231004,4.7500963,8.875306,64641
-2.0494366,4.7884035,8.7053175,69646
-2.0925324,4.8698063,8.525752,74651
-2.1284454,4.8937483,8.243237,79656
-2.1787236,4.8745947,7.9990277,84630
-2.2481554,4.8458643,7.9966335,89635
-2.3199813,4.841076,8.1163435,94640
-2.540248,4.8865657,8.3390045,99645
-2.801216,4.972757,8.523358,104650
-3.098097,5.0517654,8.59279,109655
-3.0023289,4.8865657,8.542512,114629
-2.813187,4.675876,8.542512,119634
-2.5713725,4.1826706,8.310274,124639
-2.5498247,4.271256,8.4347725,129644
-2.7150247,4.4723687,8.535329,134648
-2.944868,4.783615,8.552089,139653
-3.083732,5.0637364,8.549694,144658
-3.1316159,5.2959743,8.327033,149633
-3.13401,5.3582234,8.058883,154637
-3.110068,5.305551,7.8050976,159642
-3.0573955,5.2361193,7.5441294,164647
-3.064578,5.2002063,7.40766,169652
-3.0885203,5.2169657,7.273585,174657
-3.0909145,5.2863975,7.0940194,179631
-3.074155,5.401319,6.8330517,184636
-3.0071173,5.7963624,6.615179,189641
-2.8491,5.659893,6.229713,194646
-2.9640217,5.5401826,5.185841,199651
-3.41892,5.650316,5.5856724,204656
-3.7948096,5.8226986,5.7843914,209630
-3.9624038,5.9663506,5.568913,214635
-4.0797195,6.0597243,5.4899044,219640
-4.134786,6.1195793,5.657499,224645
-3.9432502,6.2728086,6.0405707,229650
-4.158728,6.6271505,6.0357823,234655
-4.546589,6.8761473,6.0956373,239629
-4.5657425,7.103596,6.447585,244634
-3.9791632,7.0724716,6.114791,249639
-3.4452562,6.811504,5.932832,254644
-3.1914709,6.76362,6.0022635,259648
-3.1962593,6.6870055,6.196194,264653
-3.2441432,6.4787097,6.591237,269658
-3.2489316,6.208165,6.9862804,274633
-3.2561142,5.8634,7.386112,279637
-3.3686419,5.657499,7.800309,284642
-3.5075054,5.6551046,7.9463553,289647
-3.608062,5.74369,7.7787614,294652
-3.6894648,5.9304376,7.441179,299657
-3.8833952,6.1866174,7.467515,304631
-4.0078936,6.3063273,7.3909006,309636
-4.050989,6.385336,7.338228,314641
-4.0462008,6.43322,7.1754227,319646
-3.9815574,6.505046,6.9479733,324651
-3.8283286,6.5696893,6.6103907,329656
-3.7134068,6.6175733,6.315904,334630
-3.6056678,6.646304,6.191406,339635
-3.5769374,6.64391,6.2105594,344640
-3.5410242,6.6295447,6.291962,349645
-3.5434184,6.6391215,6.4404025,354650
-3.5817258,6.6750345,6.615179,359655
-3.5697548,6.694188,6.7444663,364629
-3.4835634,6.679823,6.7923503,369634
-3.3423057,6.6295447,6.7468605,374639
-3.110068,6.517017,6.646304,379644
-3.2154129,6.7085533,6.5625067,384648
-3.4141316,6.847417,6.543353,389653
-3.5075054,6.9288197,6.483498,394658
-3.5577838,6.9168487,6.3470287,399633
-3.5793316,6.83784,6.2129536,404637
-3.6176388,6.789956,6.181829,409642
-3.6583402,6.766014,6.1195793,414647
-3.7110126,6.777985,6.05733,419652
-3.6750996,6.8450227,5.9567738,424657
-3.514688,6.945579,5.9759274,429631
-3.6535518,6.8761473,5.731719,434636
-3.7565024,6.88333,5.6910176,439641
-3.8019924,6.8881183,5.7389016,444646
-3.7373488,6.945579,5.5976434,449651
-3.6224272,6.9982514,5.329493,454656
-3.5290532,6.9982514,5.145139,459630
-3.4811692,7.0245876,5.0493712,464635
-3.4332852,7.029376,4.9919105,469640
-3.4356794,7.0365586,5.0781016,474645
-3.490746,7.062895,5.305551,479650
-3.5338416,7.103596,5.3701944,484655
-3.5936968,7.165846,5.315128,489629
-3.6272156,7.2089415,5.269638,494634
-3.6870706,7.2568254,5.2169657,499639
-3.7325604,7.3430166,5.0493712,504644
-3.7110126,7.3885064,4.927267,509648
-3.6296098,7.431602,4.721366,514653
-3.5673606,7.4603324,4.5561657,519658
-3.572149,7.441179,4.525041,524633
-3.5817258,7.477092,4.4675803,529637
-3.4859576,7.517793,4.355053,534642
-3.2992098,7.445967,4.268862,539647
-3.1747115,7.4148426,4.237737,544652
-3.1531637,7.417237,4.295198,549657
-3.2513258,7.491457,4.3382936,554631
-3.514688,7.704541,4.3263226,559636
-3.7660792,7.809886,4.2999864,564641
-3.9695864,7.860164,4.209007,569646
-4.1180267,7.85777,4.096479,574651
-4.24492,7.800309,3.9097314,579656
-4.4005427,7.690176,3.7660792,584630
-4.5681367,7.6015906,3.6104562,589635
-4.709395,7.515399,3.4404678,594640
-4.8338933,7.445967,3.205836,599645
-4.915296,7.350199,2.669535,604650
-5.0996494,7.3549876,1.3862427,609655
-5.403713,7.5082164,0.6967127,614629
-5.568913,7.630321,0.80684596,619634
-5.4779334,7.615956,1.6400281,624639
-5.1571107,7.615956,2.753332,629644
-4.6950297,7.61835,3.9193082,634648
-4.4436383,7.6111674,4.525041,639653
-4.3263226,7.639898,4.7860093,644658
-4.237737,7.735666,4.757279,649633
-4.1299977,7.869741,4.4723687,654637
