x,y,z,timestamp
-2.755726,4.8698063,11.190498,3351
-2.765303,4.795586,10.972627,8356
-2.6839,4.783615,10.723629,13361
-2.5761611,4.7740383,10.359711,18366
-2.4013844,4.8458643,9.76116,23371
-2.2146366,4.9176903,9.23683,28376
-1.9967642,4.999093,8.731653,33350
-1.7836803,5.092467,8.279149,38355
-1.5993267,5.185841,8.010999,43360
-1.4413095,5.2720323,7.8529816,48365
-1.2904748,5.3701944,7.726089,53370
-1.0869676,5.425261,7.5321584,58374
-0.89064306,5.494693,7.3166804,63379
-0.6991069,5.509058,7.0820484,68354
-0.7134721,5.1642933,6.6774287,73359
-1.0199299,5.403713,6.7564373,78364
-1.4317327,5.592855,6.967127,83369
-1.7956513,5.837064,7.103596,88373
-2.0326772,6.0477533,7.1610575,93378
-2.1452048,6.105214,7.2664022,98353
-2.1452048,6.054936,7.275979,103358
-2.1164744,5.9567738,7.3525934,108362
-2.0278888,5.887342,7.429208,113367
-1.9895816,5.8562174,7.6231384,118372
-1.8674773,5.9041014,7.8793178,123377
-1.7286136,5.9878983,7.6853876,128351
-1.5227122,6.090849,7.4244194,133356
-1.3599066,6.179435,7.345411,138361
-1.067814,6.2967505,7.1730285,143366
-0.39504328,6.397307,7.2304893,148371
-0.6847417,6.4044895,6.5720835,153376
-1.1228806,6.603208,6.1890116,158350
-1.5753847,6.9120603,6.205771,163355
-1.9369092,7.2328835,6.117185,168360
-2.1452048,7.3549876,5.770026,173365
-2.1906946,7.299921,5.650316,178370
-2.315193,7.1634517,5.662287,183375
-2.4468741,7.0724716,5.5521536,188379
-2.6001031,6.979098,5.351041,193354
-2.815581,6.933608,5.0876784,198359
-3.028665,6.871359,4.8458643,203364
-3.2034419,6.83784,4.8626237,208369
-3.3997664,6.8091097,5.0038815,213373
-3.5314474,6.7803793,5.231331,218378
-3.620033,6.727707,5.374983,223353
-3.6296098,6.7133417,5.791574,228358
-3.7014358,6.691794,6.2392898,233362
-3.739743,6.679823,6.5265937,238367
-3.7445314,6.6486983,6.579266,243372
-3.6655228,6.6367273,6.4763155,248377
