x,y,z,timestamp
-3.2513258,4.211401,9.495404,542
-3.691859,4.7141833,8.985439,5517
-3.9025488,4.6591167,9.459491,10522
-2.5450363,3.9815574,9.445126,15526
-2.27928,3.8618474,9.988609,20531
-2.2625206,3.9695864,9.536105,25536
-1.9967642,4.1060557,8.99741,30541
-1.7405846,4.2066126,9.105149,35515
-1.7549498,4.292804,9.196129,40520
-1.6807296,4.357447,9.054871,45525
-1.5945383,4.4364557,8.78672,50530
-1.508347,4.4963107,8.544906,55535
-1.4030021,4.546589,8.283937,60540
-1.4053963,4.546589,8.12592,65545
-1.4101849,4.525041,7.884106,70519
-1.3958195,4.5322237,7.6710224,75524
-1.4796166,4.5202527,7.493851,80529
-1.6352397,4.414908,7.443573,85534
-1.7908629,4.343082,7.5824366,90539
-1.982399,4.249708,7.855376,95543
-2.2026656,4.156334,8.1402855,100518
-2.4157495,4.144363,8.415619,105523
-2.6144683,4.084508,8.576031,110528
-2.6862943,4.132392,8.614338,115532
-2.6527755,4.2185836,8.623915,120537
-2.5713725,4.333505,8.767567,125542
-2.3463178,4.4939165,8.829816,130517
-1.8459295,4.6136265,8.992621,135521
-1.0127473,4.259285,9.14585,140526
-0.4189853,4.015076,9.691729,145531
-0.6991069,3.6224272,10.230424,150536
-0.7254431,3.5482068,10.656591,155541
-0.6799533,3.5697548,10.953473,160515
-0.5602432,3.6224272,11.056423,165520
-0.60812724,3.6463692,10.900801,170525
-0.9552865,3.5362358,10.553641,175530
-1.271321,3.6056678,10.158598,180535
-1.5442601,3.8953662,9.763555,185540
-1.7645266,4.2544966,9.380483,190545
-1.934515,4.486734,9.01417,195519
-2.0350714,4.6232033,8.485051,200524
-2.0326772,4.699818,7.9367785,205529
-1.9967642,4.7165775,7.4746976,210534
-1.934515,4.6399627,7.0245876,215539
-1.9249382,4.4699745,6.3589997,220543
-1.9608512,4.3406878,5.650316,225518
-1.9776106,4.4484267,5.825093,230523
-2.0685902,4.486734,6.205771,235528
-2.15957,4.462792,6.703765,240532
-2.1571758,4.4580035,7.055712,245537
-2.1978772,4.4196963,7.3071036,250542
-2.2936451,4.402937,7.7667904,255517
-2.348712,4.4316673,8.384495,260521
-2.372654,4.441244,9.0716305,265526
-2.3391352,4.4220905,9.380483,270531
-2.2888567,4.3742065,9.464279,275536
-2.2529438,4.3598413,9.41879,280541
-2.2337902,4.355053,9.414001,285515
-2.3008277,4.3646297,9.560047,290520
-2.4540567,4.3023806,9.674969,295525
-2.6240451,4.232949,9.646238,300530
-2.8107927,4.1371803,9.488221,305535
-2.942474,4.074931,9.263166,310540
-3.0238767,4.1180267,8.860941,315545
-3.095703,4.189853,8.492233,320519
-3.2106245,4.31914,8.137892,325524
-3.3662477,4.4699745,7.884106,330529
-4.220978,4.3837833,7.833828,335534
-4.4364557,4.570531,7.297527,340539
-4.1922474,4.699818,6.7971387,345543
-3.7421372,4.793192,6.4499793,350518
-3.2944214,4.8386817,6.3709707,355523
-3.0190883,4.783615,6.409278,360528
-3.0478187,4.5992613,6.3111157,365532
-3.0190883,4.663905,6.5146227,370537
-3.004723,4.7620673,6.8210807,375542
-2.9616275,4.8817773,7.1826053,380517
-3.0214825,4.9583917,7.5968018,385521
-3.2273839,4.987122,8.025364,390526
-3.3925838,4.9559975,8.154651,395531
-3.478775,4.88896,8.271967,400536
-3.2225955,5.121197,8.4347725,405541
-3.0765493,5.1571107,8.669404,410515
-3.1196449,4.8745947,8.693346,415520
-3.2082303,4.8458643,8.836999,420525
-3.4117374,4.7979803,8.853758,425530
-3.6032736,4.7285485,8.74123,430535
-3.6607344,4.8267107,8.805874,435540
-3.7732618,4.8722005,8.918402,440545
-3.8307228,4.912902,8.865729,445519
-3.8474822,4.915296,8.53054,450524
-3.799598,4.9057193,8.274361,455529
-3.763685,4.984728,8.049306,460534
-3.7612908,5.171476,7.797915,465539
-3.821146,5.427655,7.445967,470543
-3.9456444,5.659893,7.2209125,475518
-4.1659107,5.872977,7.0700774,480523
-4.4603977,6.069301,6.9623384,485528
-4.831499,6.133945,6.847417,490532
-5.21936,6.0357823,6.754043,495537
-5.434838,5.8203044,6.7085533,500542
-5.580884,5.604826,6.6726403,505517
-5.74369,5.446809,6.6247563,510521
-6.0118403,5.3678,6.6534867,515526
-6.423643,5.3965306,6.6486983,520531
-6.6726403,5.494693,6.6247563,525536
-6.7372837,5.626374,6.579266,530541
-6.679823,5.6790466,6.495469,535515
-6.5098343,5.719748,6.471527,540520
-6.157887,5.793968,6.363788,545525
-5.8586116,5.889736,6.241684,550530
-5.671864,6.069301,6.090849,555535
-5.518635,6.256049,5.923255,560540
-5.410896,6.4044895,5.6407394,565545
-5.255273,6.4882865,5.1810527,570519
-5.097255,6.435614,4.88896,575524
-4.9775453,6.3805475,4.6710877,580529
-5.0302176,6.5002575,4.5394063,585534
-5.1235914,6.6510925,4.402937,590539
-5.2169657,6.847417,4.185065,595543
-5.257667,6.9120603,4.0198646,600518
-5.29358,6.9360023,3.8522706,605523
-5.315128,6.945579,3.6367924,610528
-5.279215,6.931214,3.359065,615532
-5.33907,6.9719152,2.932897,620537
-5.281609,7.0102224,1.8315643,625542
-5.6982,7.350199,-0.6536171,630517
-6.4906807,7.7332716,-2.480393,635522
-6.7133417,7.630321,-1.9273324,640526
-6.2704144,7.2089415,-0.20111294,645531
-5.7005944,6.981492,1.2306197,650536
-5.279215,6.9264255,2.5905263,655541
-5.1762643,6.8881183,3.715801,660515
-5.171476,6.9240313,4.570531,665520
-5.0541596,7.015011,5.255273,670525
-4.7548847,7.201759,5.494693,675530
-4.510676,7.144298,5.449203,680535
-4.4101195,7.0700774,5.1906295,685540
-4.510676,6.9647326,4.841076,690545
-4.8602295,6.8905125,4.3766007,695519
-5.2049947,6.7708025,3.7684734,700524
-5.451597,6.8282633,3.2800562,705529
-5.5737014,6.9264255,2.954445,710534
-5.693412,7.055712,2.6767175,715539
-5.813122,7.144298,2.4636335,720543
-5.765238,7.2113357,2.3056161,725518
-5.741296,7.252037,2.2457612,730523
-5.662287,7.3047094,2.3127987,735528
-5.6000376,7.386112,2.4420857,740532
-5.427655,7.4268136,2.6503813,745537
-5.2744265,7.3765354,2.8802247,750542
-5.08289,7.335834,3.13401,755517
-4.9057193,7.2687964,3.4261026,760522
-4.5561657,7.0341644,3.6272156,765526
-4.4484267,7.015011,3.86903,770531
-4.402937,7.189788,4.426879,775536
-4.43885,7.2544312,4.853047,780541
-4.4603977,7.153875,5.281609,785515
-4.367024,6.921637,5.592855,790520
-4.1683054,6.505046,5.7484784,795525
-3.9360676,5.985504,5.781997,800530
-3.9360676,5.583278,5.683835,805535
-4.0078936,5.2840033,5.604826,810540
-4.146757,5.08289,5.568913,815545
-4.331111,4.9655743,5.571307,820519
-4.5298295,4.9416323,5.5641246,825524
-4.606444,4.9799395,5.571307,830529
-4.6686935,5.0374002,5.602432,835534
-4.733337,5.1571107,5.693412,840539
-4.7884035,5.243302,5.9160724,845543
-4.735731,5.2241483,6.227319,850518
-4.6710877,5.159505,6.459556,855523
-4.642357,5.046977,6.622362,860528
