x,y,z,timestamp
-1.3910311,6.054936,8.331821,448
-1.4556746,6.0860605,8.444349,5453
-1.4532804,6.0740895,8.492233,10457
-1.3479356,6.0022635,8.532935,15462
-1.2617443,5.959168,8.540117,20467
-1.163582,5.9400144,8.571242,25472
-1.1204864,5.9400144,8.590396,30447
-1.1348516,5.9519854,8.556877,35451
-1.1994951,5.9543796,8.504205,40456
-1.2785037,5.947197,8.444349,45461
-1.3599066,5.949591,8.331821,50466
-1.4269443,5.913678,8.178593,55471
-1.448492,5.9064956,8.013393,60445
-1.460463,5.877765,7.7931266,65450
-1.4891934,5.875371,7.666234,70455
-1.4987702,5.8825536,7.513005,75460
-1.5586253,5.875371,7.3789296,80465
-1.6256629,5.901707,7.249643,85470
-1.6280571,5.985504,7.0844426,90475
-1.6448165,6.021417,7.0365586,95449
-1.6376339,6.093243,7.098808,100454
-1.5825673,6.1746464,7.1706343,105459
-1.3934253,6.253655,7.249643,110464
-1.0199299,6.3063273,7.345411,115468
-0.6991069,6.2847795,7.4746976,120473
-0.4237737,6.277597,7.7332716,125448
-0.29448682,6.244078,8.099585,130453
-0.19153613,6.2105594,8.480263,135457
-0.17717093,6.155493,8.796297,140462
-0.260968,6.10282,8.92319,145467
-0.39504328,6.0118403,8.992621,150472
-0.5482722,5.9543796,9.016563,155447
-0.7038953,5.9400144,8.990228,160451
-0.94570965,5.959168,8.844181,165456
-1.1994951,5.98311,8.662222,170461
-1.4173675,5.9519854,8.468291,175466
-1.6065093,5.887342,8.176199,180471
-1.7166426,5.8107276,7.8865004,185445
-1.922544,5.755661,7.4627266,190450
-2.0973208,5.741296,7.144298,195455
-2.2625206,5.791574,6.919243,200460
-2.3319526,5.8586116,6.775591,205465
-2.348712,5.959168,6.7324953,210470
-2.3199813,6.021417,6.8306575,215475
-2.1739352,6.0166287,6.9886746,220449
-1.9680338,5.9639564,7.1466923,225454
-1.8339585,5.8921304,7.252037,230459
-1.7980455,5.851429,7.314286,235464
-1.7956513,5.825093,7.326257,240468
-1.8698715,5.8346696,7.309498,245473
