x,y,z,timestamp
-1.5035586,4.9799395,10.536881,3225
-1.3814543,4.9775453,10.6877165,8230
-1.328782,4.9583917,10.740389,13235
-1.3239936,4.9296613,10.6637745,18240
-1.3311762,4.9081135,10.441113,23244
-1.3670892,4.8745947,10.105926,28219
-1.400608,4.8386817,9.76116,33224
-1.328782,4.8578353,9.519346,38229
-1.2306197,4.831499,9.220071,43234
-1.1611878,4.841076,8.99741,48239
-0.7541735,4.733337,8.331821,53243
-0.7302315,4.7620673,8.056489,58218
-0.7469909,4.757279,7.943961,63223
-0.91697925,4.76925,7.61835,68228
-1.1851299,4.900931,7.417237,73232
-1.4939818,5.0781016,7.2185183,78237
-1.8890251,5.2026005,6.969521,83242
-2.1404164,5.2887917,6.811504,88216
-2.336741,5.3821654,6.7851677,93221
-2.468422,5.425261,6.775591,98226
-2.5689783,5.4899044,6.71813,103231
-2.6431987,5.544971,6.7324953,108236
-2.6024973,5.5162406,6.787562,113241
-2.5091233,5.5162406,6.933608,118215
-2.3822308,5.509058,7.240066,123220
-2.2529438,5.535394,7.620744,128225
-2.078167,5.5880666,7.9367785,133230
-2.0398598,5.681441,8.185776,138235
-2.0207062,5.8203044,8.295909,143240
-2.042254,5.961562,8.322245,148245
-2.1068976,6.045359,8.3390045,153219
-2.2098482,6.126762,8.396465,158224
-2.3558946,6.196194,8.391677,163229
-2.552219,6.26802,8.346188,168234
-2.7246015,6.3326635,8.166622,173239
-2.8634653,6.3350577,7.869741,178243
-2.9999347,6.399701,7.45315,183218
-3.1028855,6.4547677,7.1395097,188223
-3.1962593,6.50744,6.76362,193228
-3.3063924,6.622362,6.4380083,198232
-3.4380736,6.682217,6.0956373,203237
-3.5697548,6.7588315,5.683835,208242
-3.6846764,6.7947445,5.506664,213216
-3.6535518,6.813898,5.5976434,218221
-3.4883518,6.823475,5.7149596,223226
-3.3183637,6.813898,5.813122,228231
-3.1244333,6.83784,6.1195793,233236
-2.9472623,6.8689647,6.4380083,238241
-2.8395233,6.9767036,6.670246,243215
-2.882619,7.0940194,6.7468605,248220
-2.9999347,7.1466923,6.694188,253225
-3.1268275,7.201759,6.679823,258230
-3.2249897,7.1227503,6.7372837,263235
-3.289633,6.993463,6.64391,268240
-3.3039982,6.7923503,6.481104,273245
-3.3542767,6.703765,6.471527,278219
-3.4452562,6.7229185,6.6175733,283224
-3.5458126,6.8162923,6.9479733,288229
-3.6128504,6.8569937,7.103596,293234
-3.6703112,6.8809357,7.067683,298239
-3.7852328,6.8905125,7.1155677,303243
-3.881001,6.8689647,7.07726,308218
-4.027047,6.88333,6.9360023,313223
-4.1683054,6.9383965,6.7109475,318228
-4.2185836,6.991069,6.4763155,323232
-4.27365,7.101202,6.1985884,328237
-4.3718123,7.275979,5.8801594,333242
-4.3861775,7.323863,5.439626,338216
-4.3167458,7.311892,5.080496,343221
-4.223372,7.264008,4.8123455,348226
-4.1419687,7.21373,4.5872903,353231
-4.1132383,7.2233067,4.3478703,358236
-4.0773253,7.3406224,3.952827,363241
-4.0892963,7.479486,3.6367924,368215
-4.0653543,7.632715,3.301604,373220
-4.010288,7.735666,2.954445,378225
-3.3973722,7.752425,0.21068975,383230
-4.0078936,8.808268,-5.568913,388235
-4.177882,8.841787,-3.1842883,393240
-3.6583402,8.456321,-0.7565677,398245
-3.4979286,8.384495,0.1316811,403219
-3.5122938,8.413225,1.5634137,408224
-3.4811692,8.336611,3.608062,413229
-3.6176388,8.255207,4.996699,418234
-3.86903,8.24563,5.9280434,423239
-4.209007,8.24563,6.215348,428243
-4.5872903,8.226477,5.9567738,433218
-4.8865657,8.149862,5.2600613,438223
-4.831499,8.1402855,4.606444,443228
