x,y,z,timestamp
-2.4181437,4.9200845,11.259931,207
-2.4037786,4.8386817,11.394006,5211
-2.3630772,4.7500963,11.360487,10216
-2.3080103,4.663905,11.121067,15191
-2.2146366,4.594473,10.78109,20196
-2.1906946,4.560954,10.3692875,25200
-2.2385786,4.5633483,10.014946,30205
-2.3080103,4.548983,9.593566,35210
-2.4181437,4.572925,9.167398,40215
-2.420538,4.510676,8.762778,45189
-2.3080103,4.4915223,8.329428,50194
-2.2218192,4.525041,8.161834,55199
-2.0733786,4.6136265,7.93199,60204
-1.8746599,4.7548847,7.6351094,65209
-1.661576,4.829105,7.299921,70214
-1.3383588,4.9224787,7.017405,75188
-1.079785,5.011064,6.766014,80193
-0.94331545,5.1523223,6.5816603,85198
-0.842759,5.3318872,6.481104,90203
-0.8451532,5.511452,6.38773,95208
-0.79487497,5.659893,6.3709707,100213
-0.59376204,5.758055,6.3566055,105187
-0.50757074,5.829881,6.2967505,110192
-0.7182605,5.884948,6.6247563,115197
-1.5370775,5.9878983,6.9264255,120202
-2.2409728,6.179435,7.007828,125207
-1.8219875,6.0884547,7.603985,130212
-1.5035586,5.805939,7.680599,135216
-1.4987702,5.5258174,7.675811,140191
-1.8650831,5.4444146,7.78355,145196
-2.3463178,5.6982,7.9248075,150200
-2.8802247,6.126762,7.7787614,155205
-2.954445,6.1866174,7.4603324,160210
-3.016694,6.2464724,7.4842744,165215
-3.3039982,6.397307,7.381324,170189
-3.4835634,6.4906807,7.2927384,175194
-3.6367924,6.576872,7.1849995,180199
-3.7588966,6.619968,6.931214,185204
-3.8355112,6.6391215,6.634333,190209
-3.9935284,6.5601125,6.4404025,195214
-4.175488,6.519411,6.2225304,200188
-4.3766007,6.4308257,5.961562,205193
-4.570531,6.3781533,5.74369,210198
-4.5872903,6.6774287,5.6431336,215203
-4.6351743,6.823475,5.592855,220208
-5.2648497,6.385336,5.5521536,225213
-5.9041014,6.2464724,5.693412,230187
-6.0645127,6.184223,5.717354,235192
-5.7963624,6.540959,5.57849,240197
-6.0501475,6.0621185,5.1642933,245202
-6.435614,5.78918,4.996699,250207
-6.4906807,5.758055,5.0996494,255212
-6.009446,6.337452,5.133168,260216
-5.9280434,6.3063273,4.9320555,265191
-6.325481,6.0118403,4.6902413,270196
-6.4140663,6.4787097,3.1555579,275200
-7.371747,7.321469,0.89543146,280205
-7.565677,6.943185,2.0039468,285210
-7.1610575,6.8809357,1.9728222,290215
-6.7851677,6.8929067,1.4867992,295189
-6.775591,6.969521,1.7884687,300194
-6.7372837,6.88333,2.6839,305199
-6.3685765,6.579266,3.5434184,310204
-5.683835,6.244078,4.560954,315209
-5.056554,6.14831,5.4563856,320214
-4.63278,6.325481,6.0238113,325188
-4.501099,6.603208,6.0980315,330193
-4.5154643,6.7324953,5.8107276,335198
-4.572925,6.7923503,5.4300494,340203
-4.6279917,6.8402343,5.118803,345208
-4.7429137,6.95755,4.9200845,350213
-4.88896,7.0700774,4.876989,355187
-5.011064,7.2448545,4.9775453,360192
-5.2049947,7.3406224,5.058948,365197
-5.353435,7.398083,5.073313,370202
-5.461174,7.40766,5.092467,375207
-5.60722,7.3789296,5.2121773,380212
-5.7005944,7.2664022,5.3678,385216
-5.7867856,7.2065473,5.475539,390191
-6.0740895,7.038953,5.499481,395196
-6.1507044,6.8881183,5.461174,400200
-6.0501475,6.8689647,5.281609,405205
-5.9878983,6.8785415,5.080496,410210
-5.9998693,6.9264255,4.9440265,415215
-5.805939,6.8545995,4.8099513,420189
-5.556942,6.751649,4.8626237,425194
-5.159505,6.5984197,4.9224787,430199
-4.5801077,6.4404025,5.080496,435204
-4.185065,6.4044895,5.142745,440209
-3.809175,6.4427967,5.2026005,445214
-3.4955344,6.4882865,5.2840033,450188
-3.1723173,6.5026517,5.3366756,455193
-2.765303,6.4643445,5.415684,460198
-2.4995465,6.4044895,5.542577,465203
-2.2457612,6.303933,5.602432,470208
