x,y,z,timestamp
-1.673547,4.249708,10.038888,952
-1.532289,4.261679,9.981427,5957
-1.4580688,4.285621,9.871294,10962
-1.4197617,4.2880154,9.694122,15936
-1.4053963,4.3047748,9.512163,20941
-1.4077905,4.355053,9.303867,25946
-1.4173675,4.3598413,9.138668,30950
-1.3551182,4.3598413,9.004593,35955
-1.2593501,4.3502645,8.92319,40960
-1.1324574,4.357447,8.796297,45965
-1.043872,4.3861775,8.599973,50939
-0.9792285,4.4364557,8.37013,55944
-1.0079589,4.510676,8.09719,60949
-0.9744401,4.5681367,7.9942393,65954
-0.91697925,4.6351743,7.8912888,70959
-0.89064306,4.656722,7.896077,75964
-0.90021986,4.6471453,8.082825,80938
-0.91937345,4.5513773,8.346188,85943
-0.9959879,4.4340615,8.552089,90948
-1.1180922,4.3263226,8.724471,95953
-1.2641385,4.259285,8.856153,100958
-1.4532804,4.2425256,8.913613,105963
-1.6950948,4.24492,8.841787,110937
-1.8555063,4.3143516,8.736442,115942
-1.9656396,4.429273,8.7532015,120947
-1.922544,4.5082817,8.822633,125952
-1.9249382,4.5034933,8.59279,130957
-1.9847932,4.5633483,8.343793,135962
-2.0901382,4.5537715,8.1881695,140936
-2.3918076,4.5178585,7.680599,145941
-2.087744,4.4723687,7.560889,150946
-1.6879122,4.4125137,7.393295,155950
-1.4700398,4.3861775,7.299921,160955
-1.3120226,4.4220905,7.2664022,165960
-1.1109096,4.534618,7.2544312,170965
-1.0654198,4.656722,7.302315,175939
-1.1013328,4.675876,7.4962454,180944
-1.2258313,4.6926355,7.807492,185949
-1.3120226,4.7309427,8.049306,190954
-1.4772224,4.7764325,8.257602,195959
-1.6184803,4.8386817,8.468291,200964
-1.721431,4.8027687,8.693346,205938
-1.8650831,4.7548847,8.968679,210943
-1.9393034,4.6926355,9.136273,215948
-2.0638018,4.6591167,9.294291,220953
-2.1188686,4.6375685,9.43076,225958
-2.099715,4.6351743,9.512163,230963
-1.958457,4.594473,9.557653,235937
-1.8722657,4.548983,9.557653,240942
-1.8315643,4.4699745,9.562442,245947
-1.7860745,4.4556093,9.643845,250952
-1.733402,4.4603977,9.67018,255957
-1.7310078,4.474763,9.622296,260962
-1.7405846,4.5058875,9.536105,265936
-1.7070658,4.5513773,9.44752,270941
-1.6280571,4.6112323,9.344569,275946
-1.5251064,4.6591167,9.174581,280950
-1.3814543,4.711789,9.01417,285955
-1.1707647,4.735731,8.853758,290960
-0.94092125,4.7405195,8.846576,295965
-0.7302315,4.735731,8.884883,300939
-0.5746084,4.7429137,8.815451,305944
-0.521936,4.759673,8.7532015,310949
-0.5626374,4.7860093,8.664616,315954
-0.6847417,4.8362875,8.475474,320959
-0.8451532,4.8482585,8.319851,325964
-1.0079589,4.8602295,8.391677,330938
-1.1300632,4.8362875,8.611943,335943
-1.2186487,4.7548847,8.779537,340948
-1.271321,4.642357,8.844181,345953
-1.2880806,4.534618,8.959103,350958
-1.4413095,4.596867,8.956709,355963
-1.6376339,4.6591167,9.035717,360937
-1.8100165,4.7620673,9.0716305,365942
-1.8435353,4.7740383,8.9519205,370947
-1.7812861,4.7620673,8.810662,375952
-1.6807296,4.7022123,8.671799,380957
-1.5682021,4.6399627,8.4826565,385962
-1.4053963,4.5920787,8.176199,390936
-1.2665327,4.596867,7.8793178,395941
-1.2497733,4.606444,7.5465236,400946
-1.4317327,4.594473,7.228095,405950
-1.5777789,4.7141833,6.169858,410955
-1.673547,5.0158525,5.829881,415960
-1.6591818,5.1906295,5.8466406,420965
-1.4341269,5.379771,6.069301,425939
-0.93613285,5.521029,6.3589997,430944
-0.50517654,5.48751,6.646304,435949
-0.18195933,5.281609,7.053318,440954
-0.31364042,4.927267,7.369353,445959
-0.45010993,4.8817773,7.6470804,450964
-0.56982,5.0781016,7.9870567,455938
-0.7302315,5.2049947,8.367735,460943
-0.82360536,5.1259856,8.726865,465948
-0.89303726,5.023035,8.858546,470953
-0.9552865,5.0493712,8.856153,475958
-0.9840169,5.106832,8.676587,480963
-0.91697925,5.1116204,8.415619,485937
-0.8738836,5.106832,8.195353,490942
