x,y,z,timestamp
-1.6759412,4.865018,10.967838,619
-1.496376,4.8362875,11.405977,5624
-1.2258313,4.757279,11.820174,10598
-0.9768343,4.6495395,12.198458,15603
-0.89064306,4.55856,12.310986,20608
-0.8858546,4.4819455,12.172121,25612
-0.92655605,4.3957543,11.839328,30617
-0.9528923,4.333505,11.386824,35622
-1.0247183,4.31914,10.737994,40597
-1.0941502,4.3957543,10.307038,45601
-1.1348516,4.4675803,9.718064,50606
-1.1420342,4.5561657,9.057265,55611
-0.9959879,4.5777135,8.276755,60616
-1.0127473,4.661511,7.762002,65621
-0.9864111,4.687847,7.57286,70595
-0.9864111,4.675876,7.4124484,75600
-1.0342951,4.721366,7.2927384,80605
-1.0845734,4.7740383,7.165846,85610
-1.2425907,4.865018,7.0724716,90615
-1.3072342,4.951209,7.055712,95620
-1.3503298,5.0062757,7.1586633,100594
-1.4173675,5.0493712,7.587225,105599
-1.5490485,5.1020436,8.130709,110604
-1.6136919,5.1259856,8.51857,115609
-1.7286136,5.0876784,8.674192,120614
-1.8674773,4.999093,8.755595,125619
-2.0087352,4.912902,8.839393,130623
-2.1739352,4.867412,8.911219,135598
-2.384625,4.831499,8.983045,140603
-2.6312277,4.8602295,9.074024,145608
-2.7389667,4.9057193,9.112331,150612
-2.7461493,4.951209,8.925584,155617
-2.6192567,4.96318,8.566454,160622
-2.3175871,5.0637364,8.042124,165597
-2.0254946,5.1547165,7.69257,170601
-1.7525556,5.267244,7.3885064,175606
-1.6807296,5.4659624,7.1610575,180611
-1.5849615,5.580884,7.1395097,185616
-0.7398083,5.2361193,7.374141,190621
-1.6496049,5.997475,7.4746976,195595
-2.1428106,6.4188547,7.201759,200600
-2.552219,6.943185,7.335834,205605
-3.1244333,7.553706,7.165846,210610
-3.5075054,7.788338,6.5720835,215615
-3.3423057,7.6590514,6.133945,220620
-3.0597897,7.3669586,5.755661,225594
-2.9879637,7.1155677,5.693412,230599
-3.1004913,7.067683,5.78918,235604
-3.3734303,7.055712,5.746084,240609
-3.7325604,7.1945763,5.5401826,245614
-4.098873,7.3430166,5.3127337,250619
-4.4220905,7.467515,5.2720323,255624
-4.594473,7.517793,5.353435,260598
-4.6040497,7.4268136,5.3701944,265603
-4.5154643,7.252037,5.3223104,270608
-4.4675803,7.144298,5.4204726,275612
-4.4939165,7.098808,5.66947,280617
-4.596867,7.0724716,6.0285997,285622
-4.6375685,7.0461354,6.253655,290597
-4.6351743,6.95755,6.114791,295601
-4.6351743,6.9024835,5.805939,300606
-4.687847,6.88333,5.523423,305611
-4.7261543,6.9048777,5.2528787,310616
-4.745308,6.9120603,4.9775453,315621
-4.747702,6.895301,4.663905,320595
-4.721366,6.885724,4.3646297,325600
-4.6471453,6.897695,4.0294414,330605
-4.5992613,6.9240313,3.6942532,335610
-4.745308,7.204153,3.4452562,340615
-4.5920787,7.261614,3.0597897,345620
