x,y,z,timestamp
-1.091756,5.032612,10.481815,1028
-1.0510546,5.0876784,10.754754,6033
-1.0462662,5.085284,10.984597,11038
-1.0223241,5.068525,11.061212,16043
-1.0845734,4.972757,10.903194,21017
-1.2258313,4.876989,10.7116585,26022
-1.3910311,4.793192,10.390836,31027
-1.6065093,4.7429137,10.029311,36032
-1.7884687,4.7141833,9.694122,41037
-1.970428,4.7500963,9.248801,46042
-2.0254946,4.781221,8.937555,51047
-2.0470424,4.8745947,8.700529,56021
-1.9608512,4.96318,8.456321,61026
-1.7477672,5.070919,8.104373,66031
-1.4532804,5.1547165,7.750031,71036
-1.2090719,5.2145715,7.539341,76040
-0.9672575,5.1762643,7.311892,81045
-0.7278373,5.109226,7.019799,86020
-0.7326257,5.0781016,6.9982514,91025
-0.80205756,5.104438,7.0964136,96029
-0.93852705,5.1547165,7.192182,101034
-1.0893618,5.2289367,7.2807674,106039
-1.0630256,5.2289367,7.405266,111044
-0.9528923,4.6662993,7.4363904,116019
-1.5610195,5.011064,8.523358,121023
-1.6232687,5.3127337,8.477868,126028
-1.99437,5.604826,8.032547,131033
-2.348712,5.8107276,7.8505874,136038
-2.3319526,5.841852,7.762002,141043
-2.2218192,5.657499,7.6973586,146017
-2.2290018,5.4539914,7.656657,151022
-2.3175871,5.267244,7.61835,156027
-2.4875755,5.149928,7.5106106,161032
-2.669535,5.104438,7.357382,166037
-2.9376855,5.1666875,7.2448545,171042
-3.0310593,5.2480903,7.098808,176047
-2.9496565,5.2959743,6.751649,181021
-2.8060043,5.3678,6.4619503,186026
-2.6647465,5.463568,6.208165,191031
-2.681506,5.628768,6.1195793,196036
-2.7461493,5.74369,6.232107,201040
-2.8443117,5.839458,6.409278,206045
-2.9137435,5.9304376,6.6079965,211020
-3.040636,6.033388,6.7827735,216025
-3.3207579,6.167464,7.0485296,221029
-3.5625722,6.229713,7.2711906,226034
-3.8067808,6.2608376,7.503428,231039
-4.096479,6.2392898,7.716512,236044
-4.3239284,6.2225304,7.8888946,241019
-4.63278,6.1985884,8.11395,246023
-4.8386817,6.2249246,8.477868,251028
-4.9919105,6.279991,8.78672,256033
-5.0781016,6.303933,8.875306,261038
-5.1475334,6.3182983,8.829816,266043
-5.185841,6.2967505,8.619126,271017
-5.142745,6.241684,8.35337,276022
-5.00867,6.2249246,8.078036,281027
-4.876989,6.2488666,7.6829934,286032
-4.8147397,6.3206925,7.4866686,291037
-4.771644,6.3709707,7.429208,296042
-4.7141833,6.481104,7.4004774,301047
-4.661511,6.517017,7.644686,306021
-4.685453,6.50744,7.819463,311026
-4.8219223,6.4787097,8.032547,316031
-4.8458643,6.4164605,8.054094,321036
-4.771644,6.4188547,7.6111674,326040
-4.608838,6.55293,7.393295,331045
-4.4939165,6.5960255,7.3549876,336020
-4.817134,6.5601125,7.529764,341025
-4.96318,6.6534867,7.410054,346030
-4.8458643,6.8545995,6.7588315,351034
-4.6232033,6.8426285,6.4523735,356039
-4.582502,6.7492547,6.155493,361044
-4.477157,6.7708025,5.6766524,366019
-4.321534,6.7827735,5.245696,371023
-4.19943,6.9048777,4.7548847,376028
-4.0677485,7.074866,4.297592,381033
-3.9121256,7.1706343,3.8738184,386038
-3.7852328,7.3071036,3.466804,391043
-3.6583402,7.3645644,3.083732,396017
-3.122039,7.429208,-0.8283938,401022
-4.0940847,8.480263,-5.619191,406027
-4.024653,8.65025,-3.4739866,411032
-2.9712043,8.65025,-1.2282255,416037
-2.5881321,8.508993,-0.47165772,421042
