x,y,z,timestamp
-1.5179238,4.975151,9.112331,2259
-1.3551182,5.0134583,8.65025,7264
-1.1563994,5.104438,8.12592,12269
-1.0390835,5.2361193,7.723695,17274
-0.94570965,5.4085016,7.441179,22279
-0.6991069,5.5258174,7.053318,27253
-0.48362875,5.535394,6.7731967,32258
-0.28491,5.5617304,6.5984197,37263
-0.16519992,5.6239796,6.505046,42268
-0.110133275,5.707777,6.4404025,47273
-0.35673606,5.602432,6.265626,52277
-0.4165911,5.7125654,6.217742,57252
-0.47644615,5.8681884,6.3182983,62257
-0.60094464,6.0477533,6.567295,67261
-0.7015011,6.160281,6.9982514,72266
-0.79726917,6.1985884,7.723695,77271
-0.93373865,6.14831,8.372523,82276
-1.0869676,6.0381765,8.987833,87251
-1.2042835,5.8825536,9.354146,92256
-1.328782,5.6982,9.562442,97260
-1.5035586,5.5641246,9.605537,102265
-1.7621324,5.482722,9.555259,107270
-1.9249382,5.374983,9.246407,112275
-2.2720973,5.48751,9.138668,117249
-2.528277,5.535394,9.085996,122254
-2.6862943,5.5377884,9.011775,127259
-2.6862943,5.533,8.695741,132264
-2.5761611,5.518635,8.322245,137269
-2.4779987,5.518635,7.8649526,142274
-2.3654714,5.554548,7.4268136,147248
-2.2984335,5.602432,7.017405,152253
-2.2218192,5.710171,6.615179,157258
-2.171541,5.8226986,6.555324,162263
-2.1428106,5.8681884,6.4547677,167268
-2.0925324,5.877765,6.339846,172273
-2.042254,5.8681884,6.4188547,177277
-1.970428,5.8705826,6.435614,182252
-1.9632454,5.896919,6.4044895,187257
-2.018312,5.947197,6.50744,192261
-2.1140802,5.985504,6.6726403,197266
-2.2122424,6.0118403,6.861782,202271
-2.2864625,5.9998693,7.050924,207276
-2.408567,6.0357823,7.261614,212251
-2.5115175,6.0285997,7.48188,217255
-2.5785553,5.9998693,7.654263,222260
-2.6264393,5.98311,7.7787614,227265
-2.6671407,5.973533,7.7811556,232270
-2.719813,5.9663506,7.795521,237275
-2.7389667,5.9926867,7.7907324,242249
-2.7700913,6.0262055,7.726089,247254
-2.822764,5.971139,7.6231384,252259
