x,y,z,timestamp
-2.669535,4.819528,10.912771,2931
-2.5498247,4.771644,10.850522,7936
-2.3295584,4.72376,10.632649,12941
-2.1021092,4.6591167,10.366894,17946
-1.8770541,4.525041,10.041282,22951
-1.8459295,4.4675803,9.885659,27955
-1.7956513,4.450821,9.660604,32960
-1.7836803,4.4460325,9.287108,37935
-1.7836803,4.4915223,8.90643,42939
-1.7956513,4.5154643,8.528147,47944
-1.8722657,4.5322237,8.26239,52949
-1.9632454,4.5537715,8.010999,57954
-2.0470424,4.6375685,7.9032598,62959
-2.1332338,4.7309427,7.78355,67933
-2.2625206,4.8099513,7.6015906,72938
-2.336741,4.9296613,7.369353,77943
-2.4013844,4.9679685,7.204153,82948
-2.4253263,5.0134583,7.0461354,87953
-2.4037786,5.058948,7.005434,92958
-2.3654714,5.1523223,7.0221934,97932
-2.3582888,5.2768207,7.055712,102937
-2.3822308,5.377377,7.1227503,107942
-2.3822308,5.470751,7.2711906,112947
-2.3439236,5.554548,7.505822,117952
-2.2218192,5.6359506,7.824251,122957
-2.2290018,5.626374,8.255207,127931
-2.3439236,5.48751,8.300697,132936
-2.2936451,5.4563856,8.391677,137941
-2.3942018,5.4204726,8.401254,142946
-2.5594015,5.499481,8.492233,147951
-2.8658595,5.626374,8.564059,152955
-3.095703,5.755661,8.528147,157960
-3.2632968,5.901707,8.485051,162935
-3.3854012,6.0046577,8.348581,167940
-3.5075054,6.081272,8.075643,172944
-3.5769374,6.105214,7.6470804,177949
-3.5865142,6.117185,7.275979,182954
-3.5745432,6.1219735,6.9360023,187959
-3.6032736,6.136339,6.6486983,192933
-3.6176388,6.184223,6.4380083,197938
-3.6703112,6.303933,6.2704144,202943
-3.7253778,6.409278,6.232107,207948
-3.845088,6.4882865,6.3111157,212953
-3.892972,6.5337763,6.3589997,217958
-3.8738184,6.505046,6.3470287,222932
-3.8857894,6.3709707,6.2009826,227937
-3.8953662,6.265626,6.1507044,232942
-3.9959226,6.145916,6.1770406,237947
-4.0773253,6.0740895,6.2249246,242952
-4.0940847,6.0262055,6.3326635,247957
-3.9336734,6.0285997,6.31351,252931
-3.7421372,6.0357823,6.2488666,257936
-3.5769374,6.143522,6.208165,262941
-3.406949,6.2991447,6.2105594,267946
-3.1986535,6.4427967,6.1746464,272951
-2.9759927,6.6630635,6.155493,277955
-2.80361,6.823475,6.105214,282960
-2.633622,6.9527617,6.0118403,287935
-2.5115175,7.053318,5.839458,292940
-2.4349031,7.144298,5.6335564,297944
-2.4612393,7.2568254,5.3558292,302949
-2.552219,7.338228,5.1379566,307954
-2.6719291,7.4268136,4.9559975,312959
-2.779668,7.465121,4.7860093,317933
-2.8778305,7.4723034,4.699818,322938
-2.9855695,7.455544,4.745308,327943
-3.0813377,7.457938,4.9200845,332948
-3.1268275,7.4483614,5.140351,337953
-3.1842883,7.4483614,5.279215,342958
-3.2704794,7.4387846,5.473145,347932
-3.406949,7.4627266,5.695806,352937
-3.4715924,7.4723034,5.801151,357942
