x,y,z,timestamp
-1.0869676,5.255273,10.113108,2460
-1.1420342,5.2504845,10.208876,7464
-1.2186487,5.2265425,10.309433,12469
-1.2258313,5.1906295,10.323798,17474
-1.2306197,5.142745,10.206482,22479
-1.2282255,5.1379566,10.022128,27484
-1.1492168,5.1259856,9.91439,32458
-1.0247183,5.133168,9.753978,37463
-0.866701,5.159505,9.579201,42468
-0.6967127,5.1810527,9.287108,47473
-0.5530606,5.21936,8.868123,52478
-0.4189853,5.221754,8.403648,57483
-0.320823,5.279215,8.003817,62488
-0.31603462,5.353435,7.5944076,67462
-0.2753332,5.4085016,7.1227503,72467
-0.39504328,5.571307,6.7205243,77472
-0.51714754,5.710171,6.3302693,82477
-0.46686932,5.791574,5.765238,87482
-0.7422025,5.861006,5.6790466,92487
-1.0414777,5.8634,5.7724204,97461
-1.3790601,5.861006,5.901707,102466
-1.5610195,5.8442464,6.054936,107471
-1.6448165,5.90889,6.0597243,112476
-1.7046716,5.9639564,6.0645127,117480
-1.8004397,6.045359,6.217742,122485
-1.8650831,6.10282,6.4499793,127460
-1.9393034,6.167464,6.8091097,132464
-1.9967642,6.1650696,7.3071036,137469
-2.0015526,6.157887,7.8912888,142474
-2.087744,6.1530986,8.75799,147479
-2.2361844,6.0956373,9.428367,152484
-2.4133554,6.045359,9.801862,157458
-2.6527755,5.971139,9.856929,162463
-3.0238767,5.923255,9.794679,167468
-3.5314474,5.851429,9.435549,172473
-3.9863458,5.7724204,8.973468,177478
-4.3766007,5.719748,8.372523,182483
-4.7285485,5.647922,7.848193,187488
-4.853047,5.837064,7.455544,192462
-4.8482585,5.6096144,6.7133417,197467
-4.9943047,5.5042696,6.131551,202472
-5.315128,5.583278,6.157887,207477
-5.425261,5.741296,5.997475,212482
-5.3079453,5.875371,5.6670756,217487
-5.118803,6.0118403,5.279215,222461
-4.96318,6.090849,5.0134583,227466
-4.7788267,6.1650696,4.8338933,232471
-4.584896,6.2512608,4.699818,237476
-4.426879,6.3446345,4.6279917,242480
-4.0773253,6.4499793,4.0294414,247485
-3.881001,6.813898,1.661576,252460
-4.381389,7.1634517,1.5993267,257464
-4.249708,6.859388,3.5697548,262469
-4.0533834,6.5720835,4.177882,267474
-3.8762126,6.495469,4.3263226,272479
-3.6703112,6.576872,4.7285485,277484
-3.490746,6.6486983,5.149928,282458
-3.4955344,6.6079965,5.4563856,287463
-3.6248214,6.576872,5.7245364,292468
-3.8355112,6.646304,5.9902925,297473
-3.9360676,6.8282633,6.007052,302478
-3.9336734,6.9719152,5.9064956,307483
-3.8163576,7.015011,5.729325,312488
-3.6128504,6.95755,5.5497594,317462
-3.514688,6.9048777,5.3438582,322467
-3.53863,6.8402343,5.097255,327472
-3.6272156,6.835446,4.9799395,332477
-3.7373488,6.8450227,4.912902,337482
-3.8402996,6.871359,4.9200845,342487
-3.9001546,6.897695,5.056554,347461
-3.8498764,6.9048777,5.29358,352466
-3.7493198,6.9144545,5.4683566,357471
-3.572149,6.897695,5.6120086,362476
-3.3877954,6.909666,5.7867856,367480
-3.1196449,6.9168487,5.961562,372485
-2.8634653,6.931214,6.0836663,377460
-2.7581203,6.943185,6.1770406,382464
-2.6599581,6.9024835,6.2464724,387469
-2.6048915,6.861782,6.2512608,392474
-2.585738,6.811504,6.215348,397479
-2.528277,6.754043,6.1243677,402484
-2.516306,6.7324953,6.019023,407458
-2.504335,6.7253127,5.932832,412463
-2.5594015,6.739678,5.887342,417468
-2.6120741,6.766014,5.813122,422473
-2.6743233,6.811504,5.767632,427478
-2.645593,6.861782,5.753267,432483
-2.6072857,6.921637,5.741296,437488
-2.5330653,6.907272,5.7365074,442462
-2.4492683,6.885724,5.767632,447467
-2.372654,6.8306575,5.8226986,452472
-2.3463178,6.742072,5.8586116,457477
-2.3822308,6.6415157,6.0645127,462482
-2.384625,6.5481415,6.5002575,467487
-2.360683,6.457162,6.9599442,472461
-2.3511062,6.253655,7.381324,477466
-2.3702598,6.0645127,7.6614456,482471
-2.3918076,5.889736,7.9104424,487476
-2.4013844,5.693412,8.1402855,492480
-2.3822308,5.497087,8.406042,497485
-2.27928,5.245696,8.561666,502460
-2.6503813,5.4683566,8.6095495,507464
-2.9975405,5.7245364,8.544906,512469
-3.3255463,5.9400144,8.3390045,517474
-3.550601,6.114791,8.14268,522479
-3.6224272,6.215348,7.8865004,527484
-3.526659,6.155493,7.726089,532458
-3.2872388,6.0142345,7.587225,537463
-2.9903579,5.8801594,7.4507556,542468
-2.72939,5.8083334,7.2951326,547473
-2.56419,5.779603,7.1251445,552478
-2.5450363,5.829881,6.9958572,557483
-2.5594015,5.90889,6.9024835,562488
-2.4468741,5.707777,5.3582234,567462
-2.528277,5.853823,5.544971,572467
-2.9041667,5.971139,5.5641246,577472
-3.4117374,6.2823853,5.5162406,582477
-3.5769374,6.5457473,5.741296,587482
-3.2848446,6.5816603,5.9902925,592487
-2.822764,6.409278,6.3709707,597461
-2.3942018,6.155493,6.7803793,602466
-1.9656396,5.8442464,7.326257,607471
-1.7717092,5.7748146,7.714118,612476
-1.6567876,5.8322754,8.094796,617480
-1.6496049,5.925649,8.39886,622485
-1.6519991,5.9687448,8.588001,627460
-1.6831238,5.8681884,8.664616,632464
-1.7717092,5.7125654,8.63828,637469
-2.0278888,5.590461,8.6095495,642474
-2.3463178,5.535394,8.690952,647479
-2.5450363,5.449203,8.801085,652484
-2.633622,5.374983,8.7125,657458
-2.858677,5.499481,8.602366,662463
-3.110068,5.681441,8.465898,667468
-3.2609026,5.8203044,8.264784,672473
-3.3255463,5.901707,8.058883,677478
-3.2225955,5.865794,7.807492,682483
-3.0669725,5.815516,7.606379,687488
-2.8658595,5.7484784,7.405266,692462
-2.6671407,5.729325,7.2065473,697467
-2.504335,5.717354,6.9743094,702472
-2.303222,5.6982,6.7013707,707477
-2.2026656,5.659893,6.481104,712482
-2.1499932,5.6215854,6.244078,717487
-2.1260512,5.57849,6.0405707,722461
-2.1452048,5.5377884,5.901707,727466
-2.1811178,5.4779334,5.7987566,732471
-2.1787236,5.427655,5.7843914,737476
-2.1284454,5.386954,5.813122,742480
-2.0805612,5.3199162,6.009446,747485
-2.0111294,5.2624555,6.2967505,752460
-1.910573,5.1882353,6.7348895,757464
-1.8148049,5.133168,7.067683,762469
-1.7836803,5.0278234,7.4148426,767474
-1.8171991,4.903325,7.819463,772479
-1.8938135,4.8219223,8.169016,777484
-2.0111294,4.745308,8.47308,782458
-2.1308396,4.6136265,8.65025,787463
-2.2122424,4.55856,8.827422,792468
-2.2697031,4.51307,9.018958,797473
-2.27928,4.498705,9.184157,802478
-2.3080103,4.477157,9.287108,807483
-2.2864625,4.489128,9.241618,812488
-2.3127987,4.537012,9.102755,817462
-2.3008277,4.4915223,8.939949,822467
-2.2744915,4.4699745,8.858546,827472
-2.1811178,4.4364557,8.779537,832477
-2.042254,4.4005427,8.647857,837482
-1.8938135,4.345476,8.611943,842487
-1.8100165,4.309563,8.578424,847461
-1.721431,4.295198,8.573636,852466
-1.6352397,4.3406878,8.528147,857471
-1.4437037,4.4340615,8.525752,862476
-1.3024458,4.5537715,8.588001,867480
-1.2665327,4.6399627,8.652645,872485
-1.3120226,4.7285485,8.74123,877460
-1.4748282,4.7285485,8.937555,882464
-1.733402,4.699818,9.344569,887469
-1.910573,4.644751,9.698911,892474
-2.0254946,4.572925,9.892841,897479
-2.1021092,4.477157,9.981427,902484
-2.1619642,4.3885717,10.055647,907458
-2.1691468,4.2999864,10.041282,912463
-2.1811178,4.2305546,9.998186,917468
-2.2002714,4.209007,9.9550905,922473
-2.2098482,4.225766,9.900024,927478
-2.15957,4.259285,9.813833,932483
-2.0614076,4.295198,9.947908,937488
-1.7836803,4.1491513,11.358093,942462
-1.5562311,4.2305546,10.94629,947467
-1.7836803,4.3239284,10.292673,952472
-1.8363527,4.3885717,9.617508,957477
-1.4867992,4.6016555,8.66701,962482
-1.364695,4.7548847,8.379706,967487
-1.2641385,4.7979803,8.152257,972461
-1.1228806,4.793192,8.046912,977466
-0.9816227,4.7381253,7.9702973,982471
-0.90979666,4.6926355,7.8745294,987476
-0.9696517,4.656722,7.869741,992480
-1.055843,4.620809,7.8769236,997485
-1.2042835,4.582502,8.039729,1002460
-1.3383588,4.5872903,8.269572,1007464
-1.553837,4.6255975,8.50181,1012469
-1.6807296,4.6782703,8.6095495,1017474
-1.7645266,4.6950297,8.674192,1022479
-1.7717092,4.675876,8.662222,1027484
