x,y,z,timestamp
-2.4061728,4.7022123,9.986216,3795
-2.468422,4.7070007,10.012551,8800
-2.4133554,4.7668557,9.883265,13805
-2.1643584,4.747702,9.818622,18779
-1.7812861,4.6519337,9.782708,23784
-1.3239936,4.522647,9.710882,28789
-0.92895025,4.4340615,9.651027,33794
-0.6823475,4.3981485,9.610326,38799
-0.533907,4.426879,9.449914,43804
-0.5530606,4.5178585,9.212888,48808
-0.5770026,4.6040497,8.963891,53783
-0.6727707,4.685453,8.722076,58788
-0.7637503,4.7764325,8.4347725,63793
-0.89543146,4.865018,8.063671,68797
-0.9720459,4.9464207,7.630321,73802
-1.067814,5.104438,7.2233067,78807
-1.2569559,5.315128,6.71813,83782
-1.4939818,5.5641246,6.3111157,88786
-1.7429788,5.770026,5.9807158,93791
-1.8411411,5.839458,5.9759274,98796
-1.8483237,5.7508726,6.227319,103801
-1.7908629,5.590461,6.615179,108806
-1.8363527,5.4444146,7.237672,113780
-1.9321208,5.315128,7.9343843,118785
-2.078167,5.207389,8.736442,123790
-2.2577322,5.1690817,9.382876,128795
-2.3750482,5.149928,9.773131,133800
-2.4612393,5.109226,9.91439,138805
-2.5689783,4.7907977,9.624691,143779
-2.8395233,4.7740383,9.370906,148784
-3.107674,4.7860093,9.184157,153789
-3.2680852,4.7764325,9.0429,158794
-3.4500446,4.8386817,8.604761,163799
-3.5913026,5.058948,8.35337,168804
-3.7349546,5.2480903,8.082825,173808
-3.7588966,5.3366756,7.9128366,178783
-3.6750996,5.4061074,7.833828,183788
-3.550601,5.473145,7.824251,188793
-3.4117374,5.511452,7.8793178,193797
-3.2130187,5.559336,8.106767,198802
-3.2130187,5.7389016,8.121132,203807
-3.2680852,5.815516,7.93199,208782
-3.3734303,5.7987566,7.747637,213786
-3.4979286,5.74369,7.529764,218791
-3.1627405,5.801151,7.48188,223796
-3.3877954,5.410896,6.993463,228801
-4.0438066,5.3223104,6.6870055,233806
-4.3047748,5.509058,6.531382,238780
-4.201824,5.805939,6.397307,243785
-4.2185836,5.959168,6.184223,248790
-4.4077253,5.959168,5.872977,253795
-4.5058875,5.997475,5.662287,258800
-4.4005427,6.1123967,5.671864,263805
-4.247314,6.203377,5.779603,268779
-3.8546648,6.5577183,5.9878983,273784
-3.7684734,6.9503675,5.753267,278789
-3.5745432,6.9886746,5.434838,283794
-3.2585084,6.9719152,5.3007627,288799
-3.028665,6.9838862,5.0637364,293804
-2.8778305,7.086837,4.8865657,298808
-2.9735985,7.1610575,4.8698063,303783
-2.9999347,7.1275387,4.9416323,308788
-2.7964275,6.955156,5.085284,313793
-2.5474305,6.7492547,5.281609,318797
-2.3894134,6.631939,5.695806,323802
-2.4277205,6.694188,6.030994,328807
-2.5737667,6.8210807,6.253655,333782
-2.815581,7.026982,6.43322,338787
-3.052607,7.1466923,6.564901,343791
-3.2824504,7.1849995,6.7684083,348796
-3.5003228,7.1083846,7.00304,353801
-3.7134068,6.9503675,7.1945763,358806
-3.8522706,6.8162923,7.3430166,363780
-3.9240966,6.6846113,7.524976,368785
-3.9097314,6.6056023,7.668628,373790
-3.5338416,6.5481415,7.8888946,378795
-3.526659,6.481104,8.106767,383800
-3.6511576,6.4619503,8.180987,388805
-3.6152446,6.4380083,8.248025,393779
-3.4500446,6.4978633,8.307879,398784
-3.1483753,6.5696893,8.082825,403789
-2.96881,6.6295447,7.785944,408794
-2.8754363,6.6870055,7.4363904,413799
-2.834735,6.7612257,7.1155677,418804
-2.8203697,6.907272,6.835446,423808
-2.743755,6.8905125,6.493075,428783
-2.6431987,6.933608,6.337452,433788
-2.6312277,7.0605006,6.114791,438793
-2.6647465,7.21373,5.9639564,443797
-2.717419,7.4124484,5.8083334,448802
-2.7605145,7.5824366,5.5760956,453807
-2.7341783,7.5680714,5.4204726,458782
-2.5833437,7.4507556,5.48751,463787
-2.5210943,7.321469,5.5377884,468791
-2.657564,7.28795,5.4899044,473796
-2.765303,7.374141,5.291186,478801
-2.755726,7.4603324,5.0302176,483806
-2.7844565,7.4962454,4.747702,488780
-2.822764,7.541735,4.462792,493785
-2.8395233,7.6231384,4.2425256,498790
-2.896984,7.7667904,3.9336734,503795
-3.7062242,8.523358,3.5170822,508800
-3.608062,8.231265,3.6990416,513805
-2.906561,7.6494746,3.679888,518779
-2.5594015,7.36217,3.7780502,523784
-2.396596,7.529764,3.8019924,528789
-2.60968,7.8769236,3.70383,533794
-2.777274,8.020576,3.6966474,538799
-2.777274,8.003817,3.643975,543804
-2.8514943,8.226477,3.2992098,548808
-2.8898015,8.283937,2.9257145,553783
-2.755726,7.9248075,2.8921957,558788
-2.7150247,7.7093296,2.8802247,563793
-2.8060043,7.9966335,2.707842,568797
-2.870648,8.109161,2.6527755,573802
-2.7700913,7.800309,3.0071173,578807
-2.6862943,7.797915,3.0789435,583782
-2.7102363,8.013393,3.13401,588786
-2.7700913,8.248025,3.3566709,593791
-2.7964275,8.166622,3.490746,598796
-3.1172507,8.1642275,3.6894648,603801
-3.643975,8.736442,3.3566709,608806
-3.7014358,8.63828,3.359065,613780
-3.3877954,7.855376,3.3446999,618785
-3.2728736,7.529764,3.3806129,623790
-3.1555579,8.00621,2.0231004,628795
-3.3782187,8.406042,-0.12689269,633800
-3.3255463,8.267179,-0.095768064,638805
-2.9831753,8.374918,0.6799533,643779
-2.6001031,8.678981,1.5346833,648784
-2.1691468,8.731653,2.681506,653789
-1.7429788,8.477868,4.584896,658794
-1.6663644,8.463503,5.781997,663799
-1.661576,8.528147,6.7253127,668804
