x,y,z,timestamp
-1.9321208,4.9105077,9.65821,359
-2.0973208,4.960786,9.77792,5364
-2.1308396,4.9775453,9.871294,10338
-2.0685902,4.948815,9.921572,15343
-1.9249382,4.9081135,9.900024,20348
-1.8435353,4.8817773,9.991004,25353
-1.6759412,4.8865657,10.077195,30358
-1.5897499,4.8722005,9.892841,35363
-1.508347,4.8698063,9.648633,40337
-1.3790601,4.853047,9.32781,45342
-1.2904748,4.84347,9.085996,50347
-1.2761095,4.900931,8.853758,55352
-1.3742718,4.9320555,8.616732,60357
-1.5634137,4.984728,8.396465,65362
-1.8219875,5.0254292,8.377312,70367
-1.9249382,5.0613422,8.300697,75341
-1.9895816,5.0493712,8.099585,80346
-2.0326772,5.068525,8.051701,85351
-1.9393034,5.080496,8.087613,90356
-1.9033904,5.0613422,8.087613,95360
-1.970428,5.0781016,8.061277,100365
-1.9776106,5.140351,8.018182,105340
-1.9536686,5.243302,7.9128366,110345
-1.9297266,5.3366756,7.85777,115349
-1.8746599,5.446809,7.9128366,120354
-1.8219875,5.535394,7.9990277,125359
-1.70946,5.559336,8.109161,130364
-1.6424223,5.568913,8.312668,135338
-1.5705963,5.533,8.508993,140343
-1.5011644,5.415684,8.4347725,145348
-1.5610195,5.3247046,8.3150625,150353
-1.7980455,5.3821654,8.271967,155358
-2.0925324,5.449203,8.166622,160363
-2.3319526,5.523423,7.9463553,165337
-2.5210943,5.6215854,7.69257,170342
-2.7102363,5.729325,7.3909006,175347
-2.731784,5.7508726,7.28795,180352
-2.7222073,5.770026,7.264008,185357
-2.7030537,5.7867856,7.053318,190362
-2.777274,5.841852,6.8091097,195367
-2.861071,5.923255,6.706159,200341
-2.8754363,6.0262055,6.7588315,205346
-2.8419175,6.0764837,6.694188,210351
-2.9257145,6.105214,6.6103907,215356
-3.0071173,6.0836663,6.5241995,220360
-3.1172507,6.0597243,6.4044895,225365
-3.169923,6.0285997,6.31351,230340
-3.2249897,5.9687448,6.1866174,235345
-3.311181,5.995081,5.959168,240349
-3.490746,6.007052,5.741296,245354
-3.502717,6.0980315,4.9583917,250359
-3.4524388,6.169858,2.44448,255364
-4.2185836,6.7827735,2.8083985,260338
-4.027047,6.9503675,4.7165775,265343
-4.072537,6.8067155,5.195418,270348
