x,y,z,timestamp
-2.4420857,4.951209,9.916783,4633
-2.4181437,4.8745947,9.847352,9607
-2.4492683,4.8243165,9.842564,14612
-2.492364,4.7740383,9.775525,19617
-2.4779987,4.7141833,9.715671,24622
-2.4708161,4.6232033,9.715671,29627
-2.4612393,4.618415,9.667787,34632
-2.4588451,4.7046065,9.67018,39636
-2.44448,4.7764325,9.605537,44611
-2.396596,4.795586,9.485827,49616
-2.3558946,4.783615,9.52174,54620
-2.3942018,4.7141833,9.557653,59625
-2.6360161,4.711789,9.504981,64630
-3.0334535,4.819528,9.330204,69635
-2.966416,4.6471453,8.954314,74609
-2.8323407,4.453215,8.441956,79614
-2.6312277,4.1156325,7.5800424,84619
-2.7820623,4.2281604,7.1873937,89624
-3.1028855,4.367024,7.1586633,94629
-3.4165258,4.63278,7.21373,99634
-3.6008794,4.903325,7.204153,104608
-3.6176388,5.1379566,7.086837,109613
-3.5242648,5.2720323,7.0605006,114618
-3.3135753,5.3199162,7.1826053,119623
-3.0885203,5.3366756,7.2304893,124628
-2.9520507,5.327099,7.1945763,129633
-2.825158,5.341464,7.120356,134607
-2.731784,5.422867,7.1466923,139612
-2.7820623,5.5377884,7.165846,144617
-2.8682537,5.619191,7.1849995,149622
-3.016694,5.6982,7.2687964,154627
-3.1627405,6.033388,7.5082164,159632
-3.0358477,5.8083334,7.7667904,164636
-3.071761,5.580884,7.192182,169611
-3.3279405,5.4899044,7.536947,174616
-3.5793316,5.521029,7.524976,179620
-3.691859,5.6790466,7.1107793,184625
-3.9073372,5.791574,6.7851677,189630
-4.122815,5.803545,6.50744,194635
-4.3167458,5.839458,6.3566055,199609
-4.3742065,5.9280434,6.1890116,204614
-4.307169,6.042965,6.0357823,209619
-4.06296,6.244078,5.9184666,214624
-3.787627,6.7564373,6.114791,219629
-4.3119574,7.297527,5.245696,224634
-4.7740383,7.398083,5.3318872,229608
-4.429273,7.61835,5.592855,234613
-3.4213142,7.326257,4.6950297,239618
-2.9759927,7.144298,4.474763,244623
-2.9831753,7.132327,4.7524905,249628
-3.1196449,7.0245876,4.9919105,254633
-3.1268275,6.7827735,5.3558292,259607
-3.0023289,6.469133,5.920861,264612
-2.944868,6.2871737,6.3350577,269617
-2.9855695,6.1938,6.6175733,274622
-3.0909145,6.184223,6.655881,279627
-3.3758245,6.2847795,6.588843,284632
-4.010288,6.3829417,6.591237,289636
-4.4196963,6.4858923,6.555324,294611
-4.5681367,6.6175733,6.5122285,299616
-4.525041,6.727707,6.423643,304620
-4.441244,6.7684083,6.3302693,309625
-4.345476,6.76362,6.327875,314630
-4.295198,6.727707,6.38773,319635
-4.27365,6.7324953,6.457162,324609
-4.2281604,6.7444663,6.447585,329614
-4.211401,6.7085533,6.3949127,334619
-4.237737,6.555324,6.3087215,339624
-4.268862,6.540959,6.5840545,344629
-4.331111,6.5026517,6.787562,349634
-4.2640734,6.481104,6.9000893,354608
-4.0653543,6.505046,6.766014,359613
-3.8833952,6.5026517,6.5146227,364618
-3.6511576,6.4739213,6.232107,369623
-3.6583402,6.5936313,6.0405707,374628
-3.6176388,6.694188,5.8322754,379633
-3.5290532,6.7803793,5.628768,384607
-3.4404678,6.7923503,5.446809,389612
-3.323152,6.825869,5.305551,394617
-3.289633,6.8450227,5.3318872,399622
-3.3039982,6.8569937,5.461174,404627
-3.311181,6.83784,5.6000376,409632
-3.1914709,6.8785415,5.7748146,414636
-3.2321723,6.8569937,5.985504,419611
-3.4500446,6.8450227,5.9902925,424616
-3.6296098,6.861782,5.9639564,429620
-3.7612908,6.921637,5.8442464,434625
