x,y,z,timestamp
-1.2545617,4.5753193,11.360487,3363
-1.091756,4.2401314,11.319786,8337
-1.0941502,4.2544966,11.386824,13342
-1.2378023,4.3406878,11.401189,18347
-1.3790601,4.5418005,11.200075,23351
-1.412579,4.6926355,10.785878,28356
-1.4030021,4.8027687,10.266336,33361
-1.316811,4.8027687,9.725247,38336
-1.1707647,4.7740383,9.085996,43340
-0.93613285,4.747702,8.231265,48345
-0.770933,4.7285485,7.529764,53350
-0.79248077,4.7070007,6.993463,58355
-0.8858546,4.781221,6.7013707,63360
-0.9768343,4.8626237,6.631939,68335
-1.0821792,4.9296613,6.7564373,73339
-1.13964,4.999093,6.981492,78344
-1.2186487,5.0397944,7.103596,83349
-1.2569559,5.0661306,7.153875,88354
-1.3359646,5.0757074,7.192182,93359
-1.532289,5.1666875,7.3645644,98364
-1.7190368,5.2385135,7.513005,103338
-1.9153614,5.3007627,7.6590514,108343
-2.0470424,5.3366756,7.860164,113348
-2.1212628,5.315128,8.147469,118353
-2.1763294,5.2863975,8.7053175,123358
-2.183512,5.353435,9.131485,128363
-2.1787236,5.425261,9.368511,133337
-2.1906946,5.463568,9.500193,138342
-2.2122424,5.5617304,9.562442,143347
-2.1978772,5.657499,9.380483,148351
-2.2290018,5.705383,9.119514,153356
-2.327164,5.741296,8.765172,158361
-2.4875755,5.805939,8.358158,163336
-2.669535,5.920861,7.9726915,168340
-2.8874073,6.0597243,7.501034,173345
-3.095703,6.203377,6.8282633,178350
-3.2800562,6.2823853,6.3949127,183355
-3.3399115,6.303933,5.9424086,188360
-3.383007,6.289568,5.705383,193334
-3.41892,6.2608376,5.7245364,198339
-3.5625722,6.315904,5.9041014,203344
-3.7469256,6.3566055,6.133945,208349
-3.9959226,6.3901243,6.4667387,213354
-4.2185836,6.4643445,6.8522053,218359
-4.4101195,6.495469,7.00304,223364
-4.4675803,6.50744,7.005434,228338
-4.55856,6.528988,7.055712,233343
-4.6519337,6.540959,6.9886746,238348
