x,y,z,timestamp
-3.5362358,3.916914,10.31901,2574
-3.6535518,3.7301662,10.25676,7579
-3.70383,3.4835634,10.120291,12584
-3.6583402,3.3566709,9.952697,17558
-3.608062,3.1962593,9.758766,22563
-3.5170822,3.1651347,9.56723,27568
-3.2154129,3.323152,9.385271,32573
-2.6431987,3.2632968,8.966286,37577
-2.1763294,3.110068,8.523358,42582
-1.6424223,3.1866825,8.377312,47557
-0.9648633,3.4380736,8.173804,52562
-0.30406362,3.7373488,7.824251,57567
0.22505496,4.120421,7.2783732,62572
0.35673606,4.414908,6.823475,67576
0.51954174,4.6662993,6.679823,72581
0.6703765,4.8267107,6.7971387,77586
0.7158663,4.8626237,6.95755,82560
0.50996494,4.831499,7.1849995,87565
0.23702596,4.829105,7.3669586,92570
-0.047884032,4.9344497,7.4746976,97575
-0.40462008,5.1116204,7.5465236,102580
-0.9935937,5.3845596,7.656657,107585
-0.92895025,4.831499,7.3765354,112559
-1.5059528,5.0134583,7.9942393,117564
-2.2505496,5.2648497,8.384495,122569
-2.9712043,5.4444146,8.726865,127574
-3.4021606,5.5401826,9.062054,132579
-3.7062242,5.363012,9.267955,137584
-3.8738184,5.020641,9.114726,142558
-4.048595,4.876989,8.772355,147563
-4.1826706,4.747702,8.334216,152568
-4.355053,4.72376,7.855376,157573
-4.5753193,4.7788267,7.3885064,162577
-4.795586,4.9416323,6.9024835,167582
-4.8386817,5.133168,6.5864487,172557
-4.711789,5.3007627,6.325481,177562
-4.465186,5.3845596,6.1076083,182567
-4.173094,5.305551,5.947197,187571
-3.8546648,5.171476,5.839458,192576
-3.6990416,5.0781016,5.8945246,197581
-3.5482068,5.0374002,6.033388,202586
-3.3734303,5.056554,6.2704144,207560
-3.2321723,5.2002063,6.55293,212565
-3.2273839,5.353435,6.801927,217570
-3.3494883,5.2983685,6.921637,222575
-3.502717,5.133168,7.026982,227580
-3.6774938,4.9536033,7.120356,232585
-3.8355112,4.8458643,7.2783732,237559
-4.0916905,4.8506527,7.4363904,242564
-4.144363,4.8841715,7.615956,247569
-4.24492,4.975151,7.6734166,252574
-4.390966,5.020641,7.565677,257579
-4.5298295,4.9464207,7.357382,262584
-4.8147397,4.8961425,7.053318,267558
-5.073313,4.8578353,6.801927,272563
-5.2863975,4.865018,6.6750345,277568
-5.650316,5.035006,6.55293,282573
-6.0860605,5.327099,6.469133,287577
-6.730101,5.8705826,6.339846,292582
-7.2328835,6.2704144,6.2584434,297557
-7.5441294,6.6295447,6.069301,302562
-7.642292,6.7564373,5.765238,307567
-7.563283,6.7564373,5.3462524,312572
-7.192182,6.5002575,4.987122,317576
-7.015011,6.3087215,4.675876,322581
-6.8665705,6.1387334,4.620809,327586
-6.787562,6.0118403,4.608838,332560
-6.933608,6.0764837,4.522647,337565
-6.921637,5.985504,4.757279,342570
-7.089231,5.9448028,4.5657425,347575
-7.273585,5.8945246,4.4364557,352580
-7.4723034,5.9064956,4.3718123,357585
-7.608773,6.009446,4.331111,362559
-7.405266,6.2967505,3.3782187,367564
-7.383718,7.7332716,-2.8419175,372569
-7.807492,8.552089,-4.1946416,377574
-7.759608,8.655039,-3.181894,382579
-6.789956,8.331821,-2.006341,387584
-5.683835,7.5704656,0.2657564,392558
-5.1930237,6.6774287,3.2489316,397563
-5.559336,6.3230867,5.2959743,402568
-6.0022635,6.172252,6.813898,407573
-6.145916,6.0836663,7.6351094,412577
-6.0046577,5.947197,7.6470804,417582
-5.8442464,5.913678,6.8905125,422557
-5.8466406,6.0525417,6.1507044,427562
-5.949591,6.2345014,5.5138464,432567
-6.033388,6.4068837,5.130774,437572
-6.0381765,6.5098343,4.819528,442576
-6.0645127,6.9168487,4.3263226,447581
-6.0980315,7.0581064,3.7612908,452586
-5.841852,6.4427967,3.442862,457560
-5.7628436,6.279991,3.383007,462565
-5.7987566,6.2704144,3.4237084,467570
-6.0142345,6.2584434,3.1292217,472575
-6.105214,6.4140663,2.8754363,477580
-6.0357823,6.483498,2.6479871,482585
-5.815516,6.4547677,2.4708161,487559
-5.1379566,6.157887,2.5498247,492564
-5.0134583,6.3063273,2.3223755,497569
-4.9559975,6.4523735,2.327164,502574
-4.936844,6.5936313,2.4756045,507579
-4.8985367,6.7372837,2.5785553,512584
-4.805163,6.8067155,2.6431987,517558
-4.6662993,6.7324953,2.7365725,522563
-4.5561657,6.579266,2.8562827,527568
-4.450821,6.3949127,3.1387985,532573
-4.3023806,6.1626754,3.5697548,537577
-4.1611223,5.911284,4.0797195,542582
-4.074931,5.6215854,4.6255975,547557
-4.060566,5.4420204,4.999093,552562
-4.06296,5.317522,5.3845596,557567
-4.096479,5.233725,5.801151,562571
-4.156334,5.2121773,6.2512608,567576
-4.4077253,5.1906295,6.8665705,572581
-4.8506527,5.2720323,7.503428,577586
-5.257667,5.267244,8.018182,582560
-5.5258174,5.2169657,8.288726,587565
-5.729325,5.140351,8.4347725,592570
-5.9902925,5.140351,8.676587,597575
-6.145916,5.207389,8.750807,602580
-6.2488666,5.269638,8.652645,607585
-6.2488666,5.291186,8.6095495,612559
-6.045359,5.2648497,8.583213,617564
-5.781997,5.2385135,8.544906,622569
-5.66947,5.3462524,8.358158,627574
-5.602432,5.5641246,7.9942393,632579
-5.535394,5.8681884,7.489063,637584
-5.4683566,6.196194,6.931214,642558
-5.434838,6.519411,6.4260373,647563
-5.3845596,6.8162923,5.8634,652568
-5.3821654,6.9264255,5.559336,657573
-5.3678,6.9240313,5.2600613,662577
-5.257667,6.8282633,4.879383,667582
-5.1259856,6.7324953,4.5394063,672557
-5.171476,6.6606693,4.525041,677562
-5.2504845,6.655881,4.6686935,682567
-5.2840033,6.6247563,4.807557,687572
-5.207389,6.576872,4.7788267,692576
-5.145139,6.471527,4.7548847,697581
-5.207389,6.3661823,4.7022123,702586
-5.3247046,6.3206925,4.6016555,707560
-5.427655,6.2392898,4.4364557,712565
-5.4899044,6.160281,4.2305546,717570
-5.5377884,6.054936,3.976769,722575
-5.650316,5.9998693,3.6535518,727580
-5.8226986,5.9424086,3.3135753,732585
-5.947197,5.849035,3.040636,737559
-5.872977,5.710171,2.9831753,742564
-5.5617304,5.556942,3.169923,747569
-5.0014873,5.446809,3.799598,752574
-4.5513773,5.2480903,4.3981485,757579
-4.2521024,5.109226,5.0397944,762584
-3.7972038,5.1810527,5.499481,767558
-3.347094,5.3438582,5.7748146,772563
-2.9903579,5.583278,5.90889,777568
-2.822764,5.671864,6.009446,782573
-2.6288335,5.731719,6.232107,787577
-2.5115175,5.861006,6.4380083,792582
-2.5905263,5.9160724,6.483498,797557
-2.9161377,5.8586116,6.129156,802562
-3.0382419,5.8681884,5.767632,807567
-3.0358477,5.7508726,5.7987566,812571
-3.0573955,5.6335564,6.0645127,817576
-3.098097,5.533,6.2943563,822581
-3.2225955,5.353435,6.3302693,827586
-3.3446999,5.2169657,6.2823853,832560
-3.3901896,4.9919105,6.1387334,837565
-3.359065,4.675876,5.9424086,842570
-3.2920272,4.3502645,5.7245364,847575
-3.1531637,4.0198646,5.6096144,852580
-3.122039,3.6750996,5.770026,857585
-3.1196449,3.41892,6.093243,862559
-3.1555579,3.2561142,6.655881,867564
-3.241749,3.1866825,7.374141,872569
-3.3423057,3.2249897,8.1402855,877574
-3.4596214,3.3446999,9.258378,882579
-3.6056678,3.4332852,9.981427,887584
-3.7612908,3.3423057,10.31901,892558
-3.9097314,3.2632968,10.424355,897563
-4.0414124,3.2561142,10.589554,902568
-4.0581717,3.2513258,10.8624935,907573
-3.9145198,3.1411927,11.077971,912577
-3.596091,2.9113493,11.168951,917582
-3.157952,2.6839,11.21444,922557
-2.717419,2.4516625,11.271901,927562
-2.171541,2.2170308,11.51611,932567
-2.992752,1.5873557,5.4300494,937571
-2.9472623,1.376666,10.228029,942576
-2.9592333,1.5777789,12.023681,947581
-3.9504328,1.4101849,10.261548,952586
-4.3478703,1.8411411,11.121067,957560
-4.55856,2.1260512,11.087548,962565
-4.735731,2.2481554,11.063606,967570
-4.663905,2.2290018,11.341333,972575
-4.4196963,2.15957,11.477803,977580
-3.940856,2.0159178,11.530476,982585
-3.4620156,1.9369092,11.451467,987559
-2.8514943,1.9129672,11.274296,992564
-2.2385786,1.9369092,11.226412,997569
-1.6950948,1.9416976,11.221623,1002574
-1.3718776,1.8986019,11.310209,1007579
-1.2545617,1.8315643,11.484985,1012584
-1.0773908,1.5298948,11.473015,1017558
-1.2737153,1.4508862,11.611878,1022563
-1.7621324,1.5682021,11.496957,1027568
-2.693477,1.910573,10.998962,1032573
-3.406949,2.171541,10.563218,1037577
-3.7445314,2.2768857,10.144233,1042582
-3.7948096,2.2122424,9.730036,1047557
