x,y,z,timestamp
-1.4197617,3.8977604,10.187328,4146
-1.3311762,3.904943,10.086772,9151
-1.2952632,3.86903,9.983821,14126
-1.2306197,3.8474822,9.811439,19131
-1.1683705,3.857059,9.615114,24135
-1.1109096,3.8666358,9.478644,29140
-1.0582372,3.8977604,9.346964,34145
-1.0031705,3.9456444,9.193734,39150
-0.9528923,3.9695864,8.942344,44124
-0.9504981,4.0174704,8.7292595,49129
-0.9935937,4.0916905,8.511387,54134
-1.0702082,4.144363,8.317456,59139
-1.1468226,4.189853,8.152257,64144
-1.1851299,4.259285,8.14268,69149
-1.1180922,4.309563,8.1163435,74123
-1.0582372,4.3502645,8.080431,79128
-0.9672575,4.4005427,8.094796,84133
-0.93134445,4.402937,8.161834,89138
-0.93134445,4.381389,8.3868885,94143
-0.94810385,4.3239284,8.583213,99148
-0.9983821,4.2185836,8.698134,104122
-1.1372458,4.1252093,8.755595,109127
-1.3000516,4.0821137,8.810662,114132
-1.6065093,3.9863458,8.908825,119137
-1.9153614,3.9073372,9.038112,124141
-2.183512,3.8187518,9.126697,129146
-2.3989902,3.7852328,9.11712,134151
-2.480393,3.775656,9.052477,139126
-2.4708161,3.8019924,8.930372,144131
-2.3750482,3.8259344,8.805874,149135
-2.195483,3.7684734,9.193734,154140
-1.8195933,3.8163576,9.514558,159145
-1.6496049,3.9815574,9.289502,164150
-1.5562311,3.9863458,9.330204,169124
-1.5586253,4.1371803,8.813056,174129
-1.6998832,4.2999864,8.1642275,179134
-1.8411411,4.4101195,7.668628,184139
-1.9752164,4.429273,7.4627266,189144
-2.099715,4.3622355,7.433996,194149
-2.0470424,4.2521024,7.4746976,199123
-1.9608512,4.1826706,7.548918,204128
-1.9488802,4.098873,7.702147,209133
-1.9800048,4.000711,7.905654,214138
-1.9991584,3.86903,8.082825,219143
-2.1045034,3.7301662,8.37013,224148
-2.1212628,3.7062242,8.5473,229122
-2.0638018,3.6607344,8.554482,234127
-2.2697031,3.821146,9.052477,239132
-2.4708161,3.9456444,9.52174,244137
-2.6048915,4.084508,9.722853,249141
-2.707842,4.1036615,9.744401,254146
-2.777274,4.10845,9.710882,259151
-2.8083985,4.0342298,9.617508,264126
-2.7006595,3.9097314,9.555259,269131
-1.9560628,3.466804,9.483433,274135
-1.9560628,3.5458126,9.639056,279140
-2.0494366,3.70383,9.725247,284145
-2.1763294,3.8786068,9.794679,289150
-2.2960393,3.9983168,9.837775,294124
-2.396596,4.0701427,9.785102,299129
-2.3918076,4.0940847,9.639056,304134
-2.2768857,4.1060557,9.445126,309139
-2.1045034,4.050989,9.241618,314144
-1.8890251,3.9959226,9.040505,319149
-1.6160861,3.8953662,8.772355,324123
-1.412579,3.8283286,8.597578,329128
-1.1875241,3.8163576,8.358158,334133
-1.3335704,3.5745432,8.094796,339138
-1.553837,3.3207579,7.654263,344143
-1.6663644,3.3901896,7.5680714,349148
-1.6950948,3.5984852,7.467515,354122
-1.6687586,3.9001546,7.321469,359127
-1.661576,4.2425256,7.1706343,364132
