x,y,z,timestamp
-2.657564,4.7907977,9.983821,118
-2.717419,4.7860093,9.931149,5123
-2.741361,4.745308,9.866506,10128
-2.6982653,4.654328,9.742006,15133
-2.6479871,4.6160207,9.631873,20138
-2.552219,4.5920787,9.440337,25143
-2.3870192,4.5872903,9.267955,30117
-2.2098482,4.6279917,9.16261,35122
-1.9536686,4.673482,8.944737,40127
-1.8028339,4.6806645,8.760384,45132
-1.7860745,4.560954,8.616732,50136
-1.9153614,4.594473,8.554482,55141
-1.9895816,4.7309427,8.556877,60116
-1.9991584,4.819528,8.793902,65120
-1.946486,4.88896,8.808268,70125
-1.9321208,4.8698063,8.789114,75130
-2.0829554,4.8027687,8.743625,80135
-2.3319526,4.6495395,8.676587,85140
-2.5570073,4.6686935,8.4587145,90145
-2.6551697,4.9176903,8.343793,95119
-2.645593,5.1762643,8.360553,100124
-2.542642,5.3079453,8.444349,105129
-2.4253263,5.3223104,8.554482,110134
-2.1523874,5.2385135,8.513782,115139
-1.958457,5.1020436,8.231265,120144
-1.8483237,5.046977,8.034941,125118
-1.8890251,5.0397944,7.8865004,130123
-2.0350714,5.08289,7.7572136,135128
-2.2457612,5.2026005,7.651869,140133
-2.5498247,5.2887917,7.422025,145138
-2.7581203,5.2744265,7.2472486,150143
-2.930503,5.2600613,7.0605006,155117
-3.0550013,5.2049947,6.9407907,160122
-3.181894,5.1475334,6.897695,165127
-3.3327289,5.1523223,6.907272,170132
-3.3854012,5.1642933,6.907272,175136
-3.083732,5.303157,6.9982514,180141
-3.1292217,5.2720323,7.1490865,185116
-3.394978,5.2002063,6.8522053,190120
-3.6942532,5.1882353,6.907272,195125
-3.8618474,5.207389,7.0581064,200130
-3.9911342,5.2265425,7.2448545,205135
-4.012682,5.1930237,7.2544312,210140
-4.0198646,5.17387,7.141904,215145
-4.0174704,5.197812,7.019799,220119
-4.0174704,5.231331,6.9144545,225124
-4.003105,5.2863975,6.9144545,230129
-3.964798,5.401319,6.979098,235134
-3.9336734,5.463568,6.9838862,240139
-4.0581717,5.530606,7.098808,245144
-4.19943,5.5617304,7.345411,250118
-4.2999864,5.556942,7.4962454,255123
-4.2999864,5.5617304,7.4627266,260128
-4.309563,5.5737014,7.455544,265133
-4.331111,5.6120086,7.335834,270138
-4.3287168,5.6431336,7.1466923,275143
-4.39336,5.693412,6.9719152,280117
-4.465186,5.686229,6.799533,285122
-4.5777135,5.6910176,6.6056023,290127
-4.7046065,5.681441,6.459556,295132
-4.757279,5.695806,6.3829417,300136
-4.7046065,5.7245364,6.3805475,305141
-4.618415,5.7628436,6.3446345,310116
-4.522647,5.805939,6.2368956,315120
-4.417302,5.8562174,6.167464,320125
-4.381389,5.935226,6.2368956,325130
-4.333505,5.9807158,6.253655,330135
-4.1060557,6.081272,4.8937483,335140
-4.6279917,6.4882865,3.4859576,340145
-5.2026005,6.658275,4.5082817,345119
-5.2600613,6.6247563,5.097255,350124
-5.2768207,6.6247563,4.9057193,355129
-5.1810527,6.694188,4.9583917,360134
-4.9919105,6.7348895,5.3606176,365139
-4.8506527,6.7109475,6.1411276,370144
-4.7309427,6.603208,6.9264255,375118
-4.4675803,6.4547677,7.52737,380123
