x,y,z,timestamp
-1.6208745,7.920019,8.327033,1336
-1.6256629,7.759608,8.130709,6341
-1.5921441,7.680599,7.869741,11316
-1.472434,7.6734166,7.503428,16321
-1.2521675,7.6949644,7.062895,21325
-0.90261406,7.78355,6.564901,26330
-0.5506664,7.8625584,6.2368956,31335
-0.18914193,7.9607205,5.911284,36340
0.074220255,7.9990277,5.6431336,41315
0.33997664,8.061277,5.521029,46319
0.6943185,8.192958,5.317522,51324
0.92655605,8.291121,5.1355624,56329
1.0462662,8.360553,4.96318,61334
1.0295067,8.4347725,4.8099513,66339
0.94092125,8.504205,4.6351743,71344
0.8355764,8.647857,4.402937,76318
0.7445967,8.801085,4.1491513,81323
0.6464345,8.918402,3.9001546,86328
0.62488663,9.100361,3.739743,91333
1.0319009,9.3182335,3.6272156,96338
0.32800564,9.25359,3.9552212,101343
-0.02633622,9.200917,3.8666358,106317
-0.1340753,9.114726,3.5697548,111322
-0.23223756,9.045294,3.2202013,116327
-0.33039984,9.011775,2.8778305,121332
-0.62728083,8.99741,2.7006595,126336
-0.81163436,9.033323,2.6479871,131341
-0.91697925,9.097966,2.585738,136316
-0.92416185,9.153033,2.4971523,141321
-0.9911995,9.165004,2.4109612,146325
-1.2090719,9.129091,2.3918076,151330
-1.3096284,9.112331,2.456451,156335
-1.340753,9.165004,2.4875755,161340
-1.4101849,9.193734,2.5258827,166315
-1.5035586,9.212888,2.540248,171319
-1.6352397,9.248801,2.7150247,176324
-1.8195933,9.200917,2.918532,181329
-1.9752164,9.11712,3.1411927,186334
-2.0039468,9.057265,3.2824504,191339
-1.9488802,9.006987,3.3877954,196344
-1.8818425,8.959103,3.5003228,201318
-1.8171991,8.930372,3.5003228,206323
-1.6567876,8.937555,3.4093432,211328
-1.4293385,8.932767,3.1962593,216333
-1.3694834,8.863335,3.004723,221338
-1.3120226,8.825027,2.7341783,226343
-1.2114661,8.748413,2.5234885,231317
-1.0486604,8.674192,2.360683,236322
-0.89782566,8.645462,2.1906946,241327
-0.6440403,8.659827,2.0901382,246332
-0.24899697,8.690952,2.078167,251336
-0.21787235,8.710106,2.030283,256341
-0.3184288,8.724471,1.9081788,261316
-0.2753332,8.738836,1.2018893,266321
-0.6943185,9.009381,0.92416185,271325
-1.5969325,9.294291,1.3263878,276330
-2.4660277,9.481039,1.9560628,281335
-2.7389667,9.588778,2.3343468,286340
-2.645593,9.61272,2.7222073,291314
-2.3630772,9.56723,3.071761,296319
-2.0398598,9.516952,3.4237084,301324
-1.7070658,9.500193,3.7014358,306329
-1.4532804,9.536105,3.8139634,311334
-1.1755531,9.452309,3.7660792,316339
-0.9696517,9.25359,3.5769374,321344
-0.93613285,9.090784,3.3327289,326318
-1.0582372,9.018958,3.0550013,331323
-1.2904748,9.0476885,2.80361,336328
-1.5370775,9.124303,2.5594015,341333
-1.7932571,9.203311,2.327164,346338
-1.8986019,9.248801,2.1523874,351343
-1.910573,9.246407,2.078167,356317
-1.922544,9.260772,2.1140802,361322
-1.9057846,9.255983,2.2337902,366327
-1.7166426,9.246407,2.372654,371332
-1.436521,9.224859,2.6120741,376336
-0.93613285,9.143456,3.074155,381341
-0.5530606,9.066842,3.4835634,386316
-0.20829555,8.937555,3.7732618,391321
0.009576807,8.820239,4.050989,396325
0.079008654,8.755595,4.381389,401330
-0.093373865,8.731653,4.8267107,406335
-0.33758244,8.719683,5.085284,411340
-0.60573304,8.731653,5.2385135,416314
-0.8403648,8.748413,5.353435,421319
-0.9720459,8.774749,5.4180784,426324
-1.1923125,8.805874,5.4204726,431329
-1.328782,8.817844,5.3462524,436334
-1.4508862,8.853758,5.183447,441339
-1.6041151,8.851364,5.0182467,446344
-1.7429788,8.880095,4.7788267,451318
-1.8602947,8.892065,4.4220905,456323
-1.9393034,8.90643,4.122815,461328
-1.9656396,8.851364,3.86903,466333
-1.9369092,8.817844,3.6152446,471338
-1.8411411,8.762778,3.4332852,476343
-1.5873557,8.731653,3.3423057,481317
-1.2761095,8.784326,3.5098996,486322
-0.94331545,8.820239,3.775656,491327
-0.6871359,8.805874,4.0821137,496332
-0.50278234,8.655039,4.2281604,501336
-0.23942018,8.516175,4.4436383,506341
-0.02873042,8.394072,4.7285485,511316
0.107739076,8.358158,4.9919105,516321
0.1388637,8.374918,5.1906295,521325
0.06943185,8.39886,5.386954,526330
-0.12210429,8.413225,5.638345,531335
-0.5482722,8.429984,5.9807158,536340
-0.9600749,8.408437,6.1866174,541315
-1.3551182,8.389283,6.2991447,546319
-1.70946,8.365341,6.301539,551324
-1.9512744,8.379706,6.3087215,556329
-2.0326772,8.350976,6.1866174,561334
-1.8243817,8.329428,6.021417,566339
-1.4772224,8.226477,5.801151,571344
-1.1444284,8.075643,5.583278,576318
-0.7589619,7.7667904,5.5737014,581323
-0.48841715,8.1402855,5.17387,586328
-0.45489833,8.267179,5.2624555,591333
-0.4429273,8.48984,4.996699,596338
-0.48123455,8.836999,4.733337,601343
-0.59376204,9.064447,4.534618,606317
-0.7110779,9.179369,4.367024,611322
-0.7493851,9.174581,4.2760444,616327
-0.7398083,9.107543,4.1683054,621332
-0.6631939,9.018958,4.0797195,626336
-0.5650316,8.954314,4.110844,631341
-0.45729253,8.956709,4.1539397,636316
-0.40940848,8.9758625,4.256891,641321
-0.4189853,9.045294,4.3957543,646325
-0.38067806,9.119514,4.4939165,651330
-0.31603462,9.224859,4.5418005,656335
-0.23702596,9.26556,4.5896845,661340
-0.25378537,9.26556,4.642357,666315
-0.30645782,9.217676,4.6399627,671319
-0.4189853,9.119514,4.6375685,676324
