x,y,z,timestamp
-1.5777789,4.8961425,9.552865,3568
-1.6903064,4.8985367,9.65821,8573
-1.6879122,4.8458643,9.722853,13578
-1.6567876,4.7907977,9.787497,18552
-1.6328455,4.757279,9.825804,23557
-1.6208745,4.72376,9.91439,28562
-1.5873557,4.6902413,9.92636,33567
-1.5849615,4.6471453,9.907207,38572
-1.4772224,4.6040497,9.935937,43576
-1.2856863,4.572925,9.809045,48581
-1.127669,4.5633483,9.603143,53556
-1.0127473,4.5777135,9.397242,58561
-0.94810385,4.5896845,9.148245,63565
-1.0223241,4.6232033,8.882488,68570
-1.1468226,4.6926355,8.602366,73575
-1.3144168,4.7668557,8.341399,78580
-1.4939818,4.8482585,8.075643,83555
-1.7046716,5.0014873,7.929596,88559
-1.8195933,5.0781016,7.81228,93564
-1.8770541,5.1571107,7.869741,98569
-1.8770541,5.2241483,8.09719,103574
-1.7812861,5.2528787,8.317456,108579
-1.6352397,5.2768207,8.552089,113553
-1.4820108,5.2768207,8.820239,118558
-1.3144168,5.2480903,9.028535,123563
-1.2042835,5.1930237,9.095572,128568
-1.1707647,5.145139,9.088389,133573
-1.115698,5.1571107,8.916007,138578
-1.1563994,5.1906295,8.7053175,143552
-1.2545617,5.2528787,8.4347725,148557
-1.3790601,5.305551,8.259995,153562
-1.4915876,5.3342814,8.046912,158567
-1.6376339,5.3199162,7.690176,163572
-1.5969325,5.1786585,7.225701,168576
-1.7980455,5.2959743,7.180211,173581
-2.066196,5.363012,7.1083846,178556
-2.2888567,5.473145,7.041347,183560
-2.3654714,5.619191,7.015011,188565
-2.2625206,5.6982,6.8450227,193570
-2.1021092,5.7245364,6.579266,198575
-1.9632454,5.7269306,6.4140663,203580
-1.8483237,5.7484784,6.349423,208555
-1.7764976,5.770026,6.2823853,213559
-1.8243817,5.755661,6.2943563,218564
-1.8674773,5.7389016,6.2608376,223569
-1.8842367,5.746084,6.26802,228574
-2.1859062,5.8226986,6.619968,233579
-2.5785553,5.889736,7.007828,238553
-2.779668,5.9400144,7.153875,243558
-2.837129,5.920861,7.1107793,248563
-2.8299465,5.8825536,7.0221934,253568
-2.8107927,5.791574,6.8905125,258573
-2.777274,5.722142,6.7372837,263578
-2.7365725,5.705383,6.6486983,268552
-2.7246015,5.7484784,6.325481,273557
-2.7341783,5.7245364,4.1922474,278562
-3.3638535,6.2368956,4.5633483,283567
-3.5984852,6.2488666,5.767632,288572
-3.7086184,6.2464724,5.755661,293576
-3.4644098,6.2967505,5.827487,298581
-3.1148565,6.2225304,5.887342,303556
-2.8921957,6.0836663,6.1387334,308561
-2.815581,5.9663506,6.4499793,313565
-2.822764,5.9543796,6.7013707,318570
-2.885013,6.0142345,6.7851677,323575
-2.9520507,6.1076083,6.8522053,328580
-3.064578,6.203377,6.931214,333555
-3.0430303,6.2512608,7.029376,338559
-2.9113493,6.2105594,7.074866,343564
-2.7748797,6.0740895,6.9623384,348569
-2.767697,5.8562174,6.787562,353574
-2.861071,5.7029886,6.634333,358579
-3.1004913,5.657499,6.6415157,363553
-3.3806129,5.722142,6.703765,368558
-3.5649664,5.779603,6.7348895,373563
-3.6176388,5.8083334,6.859388,378568
-3.5410242,5.765238,7.00304,383573
-3.3854012,5.6910176,7.2328835,388578
