x,y,z,timestamp
-1.757344,3.572149,10.7116585,4798
-1.6831238,3.6463692,10.754754,9803
-1.6352397,3.6942532,10.852917,14778
-1.6304513,3.7469256,10.896012,19783
-1.5945383,3.6942532,10.737994,24787
-1.4748282,3.3997664,10.311827,29792
-1.2904748,3.466804,10.362105,34797
-1.1109096,3.4476504,10.582372,39802
-0.90261406,3.3375173,10.620679,44776
-0.59615624,3.347094,10.30225,49781
-0.36631286,3.1794999,9.682152,54786
-0.007182605,3.2082303,9.509769,59791
0.11731588,3.1172507,9.165004,64796
-0.074220255,3.0095115,8.695741,69801
-0.37349546,3.0693667,7.896077,74806
-0.6344634,3.2561142,7.225701,79780
-1.0175357,3.5122938,6.634333,84785
-1.3934253,3.928885,6.203377,89790
-1.6280571,4.39336,5.925649,94795
-1.8100165,4.867412,5.755661,99800
-1.9919758,5.3079453,5.896919,104804
-2.1547816,5.8107276,6.2823853,109779
-2.030283,6.253655,6.588843,114784
-2.1260512,6.7851677,7.026982,119789
-2.0135236,7.091625,7.433996,124793
-1.6496049,6.9623384,7.69257,129798
-1.2018893,6.5457473,8.010999,134803
-0.7278373,6.1195793,8.573636,139778
-0.047884032,5.899313,9.217676,144783
-0.22266077,5.0397944,9.952697,149787
-0.5315128,4.853047,9.883265,154792
-0.23463176,5.0517654,9.500193,159797
-0.39264908,5.0876784,9.109938,164802
-1.0414777,5.410896,8.449138,169776
-1.4221559,6.009446,7.275979,174781
-2.0350714,6.105214,6.567295,179786
-2.7964275,6.1985884,5.997475,184791
-3.1603463,6.349423,5.4324436,189796
-3.5075054,6.3422403,5.130774,194801
-4.0438066,6.4643445,4.927267,199806
-4.235343,6.64391,4.687847,204780
-4.426879,6.679823,4.6375685,209785
-4.6662993,6.588843,4.793192,214790
-4.757279,6.505046,4.9559975,219795
-4.7261543,6.3230867,5.2289367,224800
-4.793192,6.155493,5.6431336,229804
-4.867412,6.081272,6.0046577,234779
-4.783615,6.081272,6.31351,239784
-4.709395,6.10282,6.6989765,244788
-4.6926355,6.0621185,7.290344,249793
-4.6471453,6.2249246,7.5345526,254798
-4.6112323,6.3661823,7.690176,259803
-4.6399627,6.4140663,7.9607205,264778
-4.6926355,6.435614,8.133103,269783
-4.6255975,6.5457473,7.9631147,274787
-4.6351743,6.5816603,7.5561004,279792
-4.6351743,6.528988,7.4387846,284797
-4.534618,6.555324,7.3047094,289802
-4.4436383,6.715736,7.015011,294776
-4.477157,6.897695,6.6893997,299781
-4.630386,7.177817,6.069301,304786
-4.3598413,6.9958572,5.6120086,309791
-4.3406878,6.861782,5.1355624,314796
-4.261679,6.8450227,4.7907977,319801
-4.1036615,6.921637,4.43885,324806
-3.8067808,7.07726,1.9847932,329780
-4.0294414,7.4746976,-1.1683705,334785
-4.1371803,7.7189064,-2.360683,339790
-4.098873,7.632715,-1.4532804,344795
-4.175488,7.603985,0.011971008,349800
-4.2185836,7.5321584,2.4732103,354804
-4.2544966,7.36217,4.5513773,359779
-4.27365,7.2065473,6.3182983,364784
-4.357447,7.141904,7.4028716,369789
-4.5202527,7.204153,7.6973586,374793
-4.7285485,7.2927384,7.3909006,379798
-4.8243165,7.335834,6.835446,384803
-4.8147397,7.3765354,6.172252,389778
-4.7405195,7.3286514,5.521029,394783
-4.72376,7.249643,4.8961425,399787
-4.7022123,7.177817,4.2281604,404792
-4.735731,7.1993647,3.8163576,409797
-4.7261543,7.237672,3.4404678,414802
-4.6710877,7.311892,3.0933087,419776
-4.572925,7.359776,2.8395233,424781
-4.4556093,7.422025,2.566584,429786
-4.355053,7.422025,2.4037786,434791
-4.2425256,7.477092,2.2888567,439796
-4.0940847,7.467515,2.327164,444801
-3.904943,7.4387846,2.4372973,449806
-3.5793316,7.386112,2.7222073,454780
-3.2704794,7.395689,3.0454245,459785
-3.0214825,7.433996,3.454833,464790
-2.755726,7.405266,3.9743748,469795
-2.4875755,7.335834,4.5633483,474800
-2.123657,7.2113357,5.303157,479804
-1.8890251,7.1083846,6.069301,484779
-1.7501614,6.9360023,6.8282633,489784
-1.661576,6.789956,7.477092,494789
-1.7166426,6.6295447,8.034941,499793
-1.9967642,6.2105594,8.4108305,504798
-2.2960393,5.758055,8.3150625,509803
-2.6647465,5.3223104,8.056489,514778
-3.1028855,5.0062757,7.7667904,519783
-3.490746,4.915296,7.642292,524787
-3.904943,4.951209,7.750031,529792
-4.1635165,5.209783,7.979874,534797
-4.3263226,5.3678,8.35337,539802
-4.3287168,5.5521536,8.647857,544776
-4.185065,5.6982,8.808268,549781
-3.9911342,5.717354,8.963891,554786
-3.845088,5.6096144,9.263166,559791
-3.6391866,5.4779334,9.397242,564796
-3.4691982,5.3558292,9.368511,569801
-3.2920272,5.3103395,9.203311,574806
-3.1747115,5.3342814,8.853758,579780
-3.1603463,5.4683566,8.312668,584785
-3.2034419,5.659893,7.893683,589790
-3.2202013,5.851429,7.0820484,594795
-4.10845,6.9240313,4.0533834,599800
-4.333505,7.8266454,3.5649664,604804
-3.7325604,8.212111,3.751714,609779
-3.2273839,8.305486,3.6487634,614784
