x,y,z,timestamp
-2.0614076,4.7022123,11.547235,4163
-2.0638018,4.7189717,11.353305,9168
-2.0733786,4.7620673,10.979809,14173
-2.0733786,4.8003745,10.575189,19178
-2.0326772,4.8578353,10.09156,24183
-1.9608512,4.9440265,9.624691,29157
-1.8938135,5.0254292,9.241618,34162
-1.6950948,5.0493712,8.626308,39167
-1.6208745,5.0278234,8.0445175,44172
-1.5562311,5.032612,7.627927,49177
-1.4293385,5.0613422,7.1969705,54181
-1.2856863,5.1235914,6.787562,59156
-1.0869676,5.2504845,6.26802,64161
-0.92416185,5.3199162,5.8945246,69166
-0.79008657,5.1020436,5.1140146,74171
-1.0127473,5.221754,5.080496,79175
-1.496376,5.1547165,5.1571107,84180
-1.7477672,5.353435,5.2265425,89185
-1.8531121,5.3247046,5.2409077,94159
-1.8291701,5.3725886,5.3007627,99164
-1.6112977,5.391742,5.4324436,104169
-1.2569559,5.2026005,5.6766524,109174
0.08140286,4.220978,6.081272,114179
-0.35913026,5.3558292,6.849811,119184
-1.4173675,6.4523735,7.0940194,124158
-0.8834604,6.847417,7.33344,129163
-2.2218192,7.491457,8.588001,134168
-3.3734303,7.501034,7.3406224,139173
-4.0797195,7.2185183,7.7452426,144178
-4.357447,6.9144545,7.8769236,149183
-4.237737,6.6893997,7.675811,154157
-4.0462008,6.5457473,7.1706343,159162
-3.7900212,6.4547677,6.576872,164167
-3.6750996,6.385336,6.1530986,169172
-3.5793316,6.337452,5.7987566,174177
-3.454833,6.31351,5.6120086,179181
-3.6248214,6.3661823,5.6527104,184156
-3.763685,6.4643445,5.74369,189161
-3.8259344,6.591237,5.8921304,194166
-3.7924154,6.6726403,5.997475,199171
-3.7205894,6.7564373,6.090849,204175
-3.6511576,6.8282633,6.0956373,209180
-3.6224272,6.8306575,6.1650696,214185
-3.691859,6.7971387,6.2512608,219160
-3.7828386,6.7468605,6.3422403,224164
-3.9217024,6.691794,6.315904,229169
-4.0916905,6.6870055,6.1985884,234174
-4.268862,6.6606693,6.0597243,239179
-4.4460325,6.603208,6.0285997,244184
-4.5561657,6.5385647,6.0285997,249158
-4.5920787,6.4978633,6.105214,254163
-4.6255975,6.481104,6.2249246,259168
-4.6471453,6.519411,6.2967505,264173
-4.6519337,6.5337763,6.3781533,269178
-4.6160207,6.5385647,6.3542113,274183
-4.501099,6.5505357,6.2728086,279157
-4.3598413,6.6654577,6.1004257,284162
-4.2281604,6.8282633,5.8586116,289167
-4.0797195,7.00304,5.3007627,294172
-3.9815574,7.086837,5.130774,299176
-3.8139634,7.1107793,3.892972,304181
-4.560954,8.001422,1.0199299,309156
-4.865018,7.955932,0.9935937,314161
-4.642357,7.630321,1.4748282,319166
-4.5777135,7.955932,1.0845734,324171
-4.546589,8.307879,1.0414777,329175
-4.307169,8.176199,1.3742718,334180
-3.7684734,7.656657,1.9560628,339185
-3.0789435,6.991069,2.873042,344160
-2.8179753,6.787562,3.6367924,349164
-2.8921957,6.7851677,4.3047748,354169
-3.064578,6.823475,4.7668557,359174
-3.2106245,6.9024835,5.0158525,364179
-3.3854012,7.041347,5.142745,369184
-3.5362358,7.2424603,5.1642933,374158
-3.8163576,7.4866686,5.133168,379163
-4.220978,7.606379,4.996699,384168
-4.5322237,7.654263,4.8458643,389173
-4.783615,7.639898,4.6160207,394178
-4.8147397,7.6135616,4.462792,399183
-4.721366,7.5824366,4.3119574,404157
-4.5154643,7.541735,4.1683054,409162
-4.283227,7.493851,4.0414124,414167
-3.9624038,7.469909,3.9504328,419172
-3.7253778,7.503428,3.9240966,424176
-3.4739866,7.524976,3.9983168,429181
-3.241749,7.503428,4.2161894,434156
-3.074155,7.501034,4.5896845,439161
-2.9113493,7.441179,4.9583917,444166
-2.8491,7.338228,5.3965306,449171
-2.8538885,7.2089415,5.6886234,454175
-2.9017725,7.1371155,5.9783216,459180
-3.0214825,7.098808,6.220136,464185
-3.229778,7.015011,6.3901243,469160
-3.5051112,6.8641763,6.4547677,474164
-3.7086184,6.7612257,6.409278,479169
-3.7900212,6.6630635,6.2608376,484174
-3.9600096,6.6367273,6.1100025,489179
-4.1802764,6.6893997,5.9783216,494184
-4.297592,6.6893997,5.829881,499158
-4.309563,6.6654577,5.7269306,504163
-4.2281604,6.5936313,5.571307,509168
-4.1635165,6.5936313,5.5042696,514173
-4.187459,6.6367273,5.449203,519178
-4.345476,6.670246,5.4204726,524183
-4.4939165,6.5385647,5.363012,529157
-4.2305546,6.4906807,4.8937483,534162
-3.9695864,6.5696893,4.608838,539167
-3.8977604,6.742072,4.6902413,544172
-3.9600096,6.895301,5.207389,549177
-3.8546648,6.8450227,5.5856724,554181
-3.5529952,6.667852,5.7389016,559156
-3.3734303,6.50744,6.143522,564161
-3.4500446,6.4308257,6.9288197,569166
-3.7301662,6.2991447,7.8290396,574171
-3.833117,6.10282,8.231265,579175
-3.8187518,5.896919,8.3629465,584180
-3.9097314,5.841852,8.4826565,589185
-4.2425256,5.887342,8.659827,594160
-4.745308,5.9807158,8.815451,599164
-4.927267,5.899313,8.722076,604169
-5.0038815,5.770026,8.516175,609174
-5.106832,5.7269306,8.511387,614179
-5.303157,5.683835,8.6813755,619184
-5.425261,5.614403,8.602366,624158
-5.3342814,5.6000376,8.291121,629163
-5.1690817,5.628768,7.917625,634168
-5.0517654,5.717354,7.553706,639173
-4.9464207,5.7987566,7.299921,644178
-4.675876,5.9184666,6.921637,649183
-4.4244847,6.030994,6.5505357,654157
-4.0414124,6.2704144,6.2967505,659162
-3.6870706,6.6103907,6.0597243,664167
-3.4835634,6.9000893,5.3606176,669172
-3.3423057,7.177817,5.3127337,674176
-3.217807,7.16824,5.0493712,679181
-3.1028855,7.0341644,4.4915223,684156
-2.9640217,6.945579,4.450821,689161
-2.8921957,6.7827735,4.7907977,694166
-2.822764,6.531382,5.291186,699171
-2.7581203,6.3111157,5.7245364,704175
-2.7102363,6.2728086,6.081272,709180
-2.7844565,6.3326635,6.3470287,714185
-2.9831753,6.4140663,6.543353,719159
-3.2225955,6.5098343,6.658275,724164
-3.596091,6.6870055,6.742072,729169
-3.833117,6.859388,6.7492547,734174
-3.9456444,6.9360023,6.588843,739179
-4.012682,7.015011,6.4308257,744184
-3.8618474,6.847417,6.136339,749158
-3.8594532,6.612785,5.7867856,754163
-4.0797195,6.55293,5.671864,759168
-4.2999864,6.5457473,5.554548,764173
-4.3478703,6.469133,5.499481,769178
-4.2401314,6.4020953,5.5521536,774183
-4.235343,6.3446345,5.755661,779157
-4.1802764,6.351817,5.861006,784162
-4.024653,6.31351,6.033388,789167
-4.1252093,6.0501475,5.861006,794172
-3.526659,6.05733,6.0022635,799177
-3.0597897,6.1650696,6.5816603,804181
-2.9041667,6.3087215,6.7851677,809156
-2.8538885,6.4140663,6.9144545,814161
-2.6862943,6.4499793,6.9599442,819166
-2.492364,6.4499793,6.9886746,824171
-2.5258827,6.184223,6.9120603,829175
-2.3654714,5.949591,7.120356,834180
-2.3822308,5.947197,7.443573,839185
-2.5785553,6.009446,7.515399,844159
-2.8107927,6.0836663,7.4603324,849164
-3.0142999,6.1004257,7.2568254,854169
-3.0573955,6.131551,7.062895,859174
-3.0502129,6.0740895,6.8569937,864179
-2.9879637,6.066907,6.7085533,869184
-2.9137435,6.054936,6.528988,874158
-2.8634653,6.0405707,6.325481,879163
-2.858677,5.9878983,6.291962,884168
-2.873042,5.9280434,6.3230867,889173
-2.846706,5.7867856,6.351817,894178
-2.791639,5.631162,6.363788,899183
-2.7150247,5.449203,6.399701,904157
-2.7629087,5.353435,6.600814,909162
-2.8299465,5.281609,6.813898,914167
-2.9113493,5.2265425,6.9360023,919172
-2.89459,5.130774,7.0341644,924177
-2.8275523,5.044583,7.1754227,929181
-2.731784,4.9919105,7.275979,934156
-2.6551697,4.9703627,7.524976,939161
-2.5809495,5.011064,7.9583263,944166
-2.4660277,5.032612,8.324639,949171
-2.0039468,5.1882353,9.0429,954175
-1.7908629,5.1642933,9.349358,959180
-1.5370775,5.032612,9.399636,964185
-1.364695,4.915296,9.334992,969159
-1.2569559,4.8267107,9.272743,974164
-1.3359646,4.831499,9.358934,979169
-1.5251064,4.924873,9.476251,984174
-1.7597382,4.975151,9.414001,989179
-1.9321208,5.0493712,9.224859,994184
-2.0470424,5.1666875,9.057265,999158
-2.1667526,5.2169657,8.992621,1004163
-2.2744915,5.2648497,8.935161,1009168
-2.3223755,5.315128,8.925584,1014173
-2.3104045,5.3199162,8.803479,1019178
-2.2337902,5.269638,8.76996,1024183
-2.1164744,5.183447,8.825027,1029157
-2.054225,5.0900726,8.949526,1034162
-2.0374656,5.0062757,9.033323,1039167
-2.0949266,4.9655743,9.0429,1044172
-2.1739352,4.9464207,8.961497,1049177
-2.2625206,4.924873,8.803479,1054181
-2.3463178,4.924873,8.604761,1059156
-2.4612393,4.8865657,9.8042555,1064161
-2.231396,4.7620673,10.378864,1069166
-2.5737667,4.939238,8.916007,1074171
-3.1747115,5.183447,8.3390045,1079175
-3.3255463,5.410896,7.1873937,1084180
-2.9951463,5.2528787,7.017405,1089185
-2.3870192,4.939238,7.1347213,1094159
-1.9153614,4.699818,7.2568254,1099164
-1.7022774,4.72376,7.2687964,1104169
-1.5729905,4.88896,7.2185183,1109174
-1.4891934,4.96318,7.086837,1114179
-1.460463,4.9895163,7.050924,1119184
-1.532289,4.9823337,7.132327,1124158
-1.6687586,4.9655743,7.285556,1129163
-1.9057846,4.9775453,7.57286,1134168
-2.0350714,4.9464207,7.8745294,1139173
-2.0925324,4.936844,8.279149,1144178
-2.1763294,4.88896,8.674192,1149183
-2.2840683,4.855441,9.006987,1154157
-2.4995465,4.8338933,9.208099,1159162
-2.6599581,4.8626237,9.246407,1164167
-2.813187,4.8722005,9.210494,1169172
-2.8634653,4.8698063,9.136273,1174177
-2.837129,4.841076,9.021352,1179181
