x,y,z,timestamp
-0.9600749,2.954445,10.251971,953
-0.9576807,2.9592333,10.6398325,5927
-1.1731589,3.0454245,10.745177,10932
-1.5011644,3.095703,10.773908,15937
-1.5682021,3.1986535,10.764331,20942
-1.4269443,3.2441432,10.785878,25947
-1.1994951,3.2872388,10.845734,30952
-1.0534488,3.3686419,10.836157,35926
-1.103727,3.5051112,10.67814,40931
-1.1899183,3.620033,10.388441,45936
-1.316811,3.715801,10.077195,50941
-1.4101849,3.787627,9.672575,55945
-1.3982137,3.809175,9.294291,60950
-1.3120226,3.7541082,8.863335,65925
-1.2808979,3.7445314,8.487445,70930
-1.103727,3.7229836,8.104373,75934
-0.21547815,3.289633,7.7452426,80939
0.29209262,3.3159695,7.3669586,85944
0.93373865,3.3327289,6.859388,90949
1.2665327,3.3542767,6.5936313,95924
0.7422025,3.0478187,6.64391,100928
0.6943185,3.0190883,6.493075,105933
1.0175357,3.2465374,6.0238113,110938
1.1707647,3.5793316,5.638345,115943
1.1947067,3.8833952,5.544971,120948
1.0726024,4.1371803,5.4899044,125953
0.7422025,4.333505,5.494693,130927
0.4429273,4.510676,5.57849,135932
0.4141969,4.5537715,5.805939,140937
0.2777274,4.474763,5.985504,145942
0.035913024,4.4316673,6.3470287,150947
-0.320823,4.594473,6.799533,155952
-1.0821792,5.0661306,7.2328835,160926
-2.27928,5.777209,7.563283,165931
-3.3423057,6.8426285,7.620744,170936
-4.537012,7.7667904,7.5848308,175941
-5.6982,8.576031,7.433996,180945
-6.706159,9.109938,7.153875,185950
-7.477092,9.466674,7.0485296,190925
-7.3765354,9.394848,7.156269,195930
-6.145916,8.537724,7.469909,200934
-5.0493712,7.627927,7.714118,205939
-4.249708,6.9838862,7.699753,210944
-3.9456444,6.7085533,7.6710224,215949
-4.232949,6.6965823,7.469909,220924
-4.3239284,6.435614,7.2185183,225928
-4.5418005,6.2847795,6.88333,230933
-4.975151,6.2991447,6.6726403,235938
-5.2840033,6.143522,6.5936313,240943
-5.693412,6.1100025,6.6486983,245948
-6.0716953,6.1243677,6.823475,250953
-6.4068837,6.232107,7.005434,255927
-6.4380083,6.0381765,7.1083846,260932
-6.179435,5.657499,7.2664022,265937
-5.861006,5.1571107,7.264008,270942
