x,y,z,timestamp
-2.741361,4.0940847,9.239224,4458
-2.8491,4.0701427,9.423578,9463
-2.8921957,4.0821137,9.545682,14468
-2.8634653,4.0940847,9.674969,19473
-2.8060043,4.10845,9.80665,24478
-2.7844565,4.1060557,9.861717,29483
-2.765303,4.086902,9.900024,34457
-2.7102363,4.0557775,9.847352,39462
-2.6264393,4.024653,9.734824,44467
-2.6001031,3.9312792,9.610326,49472
-2.5139117,3.6894648,9.248801,54477
-2.4995465,3.5482068,9.167398,59482
-2.6024973,3.5410242,9.368511,64456
-2.7341783,3.632004,9.406818,69461
-2.7102363,3.775656,9.308656,74466
-2.5067291,3.8594532,9.105149,79470
-2.2218192,3.9432502,9.033323,84475
-1.9680338,4.0342298,8.918402,89480
-1.697489,4.185065,8.887277,94485
-1.4077905,4.3957543,8.765172,99459
-1.2282255,4.5537715,8.63828,104464
-1.0773908,4.6782703,8.576031,109469
-1.0031705,4.8099513,8.573636,114474
-1.0773908,4.829105,8.322245,119479
-1.2473791,4.975151,8.238448,124484
-1.4820108,5.1259856,8.26239,129458
-1.7190368,5.315128,8.207323,134463
-1.8866309,5.5497594,8.0684595,139468
-2.1045034,5.781997,7.967903,144473
-2.4827871,5.9902925,7.9702973,149478
-2.7629087,6.0525417,7.9511437,154483
-2.9903579,6.0262055,7.81228,159457
-3.2130187,5.9400144,7.6231384,164462
-3.3925838,5.791574,7.3909006,169467
-3.4715924,5.659893,7.0006456,174472
-3.5338416,5.5760956,6.7085533,179477
-3.5793316,5.6527104,6.519411,184482
-3.691859,5.781997,6.435614,189456
-3.8187518,5.985504,6.4068837,194461
-3.8762126,6.265626,6.4140663,199466
-3.8235402,6.423643,6.3949127,204470
-3.5673606,6.5337763,6.411672,209475
-3.157952,6.567295,6.579266,214480
-3.241749,6.4523735,6.622362,219485
-3.1052797,6.4380083,6.4020953,224459
-2.7724855,6.481104,6.339846,229464
-2.8682537,6.471527,6.4140663,234469
-3.1986535,6.5146227,6.3781533,239474
-3.3901896,6.6486983,6.4308257,244479
-3.6631286,6.6056023,6.6103907,249484
-3.8379054,6.457162,6.754043,254458
-3.9360676,6.2823853,6.9264255,259463
-3.9145198,6.191406,7.015011,264468
-3.7948096,6.090849,7.0724716,269473
-3.809175,6.1411276,7.098808,274478
-3.9456444,6.385336,7.0820484,279483
