x,y,z,timestamp
-2.5498247,4.900931,10.139444,2870
-2.597709,4.891354,10.189722,7875
-2.6384103,4.865018,10.144233,12880
-2.6527755,4.7907977,9.938332,17885
-2.707842,4.663905,9.832987,22890
-2.7341783,4.570531,9.660604,27895
-2.7700913,4.5058875,9.466674,32869
-2.7964275,4.4819455,9.26556,37874
-2.7389667,4.462792,8.968679,42879
-2.7222073,4.4244847,8.662222,47884
-2.6791117,4.3885717,8.494628,52889
-2.5881321,4.405331,8.389283,57893
-2.4827871,4.453215,8.300697,62868
-2.456451,4.4819455,8.221688,67873
-2.4396915,4.560954,8.166622,72878
-2.5737667,4.4843397,8.121132,77883
-2.743755,4.4364557,7.9870567,82887
-2.789245,4.620809,8.008605,87892
-2.767697,4.807557,8.030152,92867
-2.5809495,5.023035,8.034941,97872
-2.456451,5.116409,8.020576,102876
-2.4229321,5.1810527,8.135497,107881
-2.4827871,5.2241483,8.329428,112886
-2.5115175,5.233725,8.39886,117891
-2.5234885,5.1810527,8.374918,122896
-2.5378537,5.094861,8.291121,127870
-2.5594015,5.0637364,8.195353,132875
-2.6144683,5.056554,8.018182,137880
-2.7222073,5.044583,7.7667904,142885
-2.9783869,5.085284,7.639898,147890
-3.2202013,5.0757074,7.639898,152895
-3.1771057,5.1906295,7.6231384,157869
-3.0669725,5.2026005,7.78355,162874
-3.2848446,5.070919,7.4028716,167879
-3.5817258,5.142745,7.3190746,172884
-3.6583402,5.3486466,7.103596,177889
-3.572149,5.518635,7.0605006,182893
-3.4045548,5.614403,7.0605006,187868
-3.2130187,5.5737014,7.067683,192873
-3.13401,5.6215854,7.0221934,197878
-3.1531637,5.753267,6.9623384,202883
-3.2369606,5.9184666,6.9383965,207887
-3.2944214,6.1004257,6.9407907,212892
-3.4165258,6.2584434,6.9623384,217867
-3.5529952,6.3709707,6.993463,222872
-3.632004,6.447585,7.043741,227876
-3.7110126,6.5002575,7.101202,232881
-3.787627,6.5098343,7.156269,237886
-3.8187518,6.505046,7.1251445,242891
-3.928885,6.5457473,7.074866,247896
-4.0294414,6.579266,6.9479733,252870
-4.1012673,6.591237,6.6774287,257875
-4.2161894,6.6103907,6.3302693,262880
-4.355053,6.6175733,5.997475,267885
-4.4795513,6.6271505,5.681441,272890
-4.498705,6.6654577,5.4204726,277895
-4.450821,6.7253127,5.2121773,282869
-4.4101195,6.7468605,5.032612,287874
-4.3382936,6.7851677,4.96318,292879
-4.2640734,6.76362,4.9440265,297884
-4.271256,6.754043,5.0541596,302889
-4.2999864,6.727707,5.1355624,307894
-4.378995,6.7205243,5.1020436,312868
-4.498705,6.706159,4.948815,317873
-4.6016555,6.7109475,4.699818,322878
-4.6950297,6.6870055,4.4196963,327883
-4.7860093,6.64391,4.156334,332887
-4.7979803,6.64391,3.9671922,337892
-4.3718123,6.6989765,2.743755,342867
-4.7500963,7.4363904,1.0366893,347872
-5.140351,7.465121,1.5514427,352876
-4.687847,7.357382,1.9177556,357881
-4.1659107,7.3885064,1.8818425,362886
-3.9719806,7.4746976,2.0733786,367891
-4.003105,7.5441294,2.5905263,372896
