x,y,z,timestamp
-1.5921441,4.096479,9.938332,1111
-1.5275006,4.0940847,10.014946,6116
-1.4867992,4.0797195,10.014946,11121
-1.3982137,4.0653543,9.945514,16125
-1.4173675,4.0677485,9.873688,21130
-1.4173675,4.060566,9.734824,26135
-1.42455,4.048595,9.600749,31140
-1.4197617,4.0342298,9.411607,36115
-1.4341269,4.0342298,9.141062,41119
-1.4389153,4.0414124,8.930372,46124
-1.4556746,4.0701427,8.772355,51129
-1.4197617,4.086902,8.616732,56134
-1.3599066,4.0940847,8.408437,61139
-1.3120226,4.1036615,8.171411,66113
-1.3838485,4.1515455,8.027759,71118
-1.4437037,4.2066126,7.8888946,76123
-1.5035586,4.249708,7.735666,81128
-1.5682021,4.2999864,7.6135616,86133
-1.6280571,4.3382936,7.560889,91138
-1.6687586,4.3598413,7.656657,96112
-1.697489,4.378995,7.8745294,101117
-1.7238252,4.343082,8.264784,106122
-1.7980455,4.24492,8.796297,111127
-1.9273324,4.1036615,9.3661175,116132
-2.0518308,3.9576154,9.911995,121136
-2.2170308,3.8522706,10.216059,126111
-2.348712,3.7804444,10.395624,131116
-2.4349031,3.7445314,10.498574,136121
-2.4420857,3.7708676,10.448297,141125
-2.4636335,3.8522706,10.251971,146130
-2.4612393,3.9193082,10.007763,151135
-2.4660277,3.9839516,9.706094,156140
-2.396596,4.0438066,9.411607,161115
-2.3199813,4.096479,9.14585,166119
-2.1212628,4.0581717,9.423578,171124
-1.934515,4.1276035,9.088389,176129
-1.9488802,4.268862,8.655039,181134
-1.8938135,4.2880154,8.274361,186139
-1.685518,4.367024,7.678205,191113
-1.4652514,4.4723687,6.9288197,196118
-1.3431472,4.5082817,6.567295,201123
-1.2880806,4.4915223,6.4164605,206128
-1.30484,4.4603977,6.3589997,211133
-1.3192052,4.39336,6.483498,216138
-1.460463,4.3406878,6.777985,221112
-1.6998832,4.357447,7.1610575,226117
-1.9512744,4.43885,7.603985,231122
-2.1883004,4.546589,8.061277,236127
-2.3774424,4.6255975,8.561666,241132
-2.56419,4.644751,9.296685,246136
-2.6479871,4.6112323,9.890448,251111
-2.6168625,4.5298295,10.374076,256116
-2.5713725,4.4484267,10.733206,261121
-2.5115175,4.426879,11.046846,266125
-2.3750482,4.4699745,11.255142,271130
-2.2840683,4.522647,11.324574,276135
-2.2266076,4.5920787,11.255142,281140
-2.1404164,4.596867,11.003751,286115
-2.1619642,4.606444,10.821792,291119
-2.078167,4.656722,10.577583,296124
-2.0039468,4.6902413,10.216059,301129
-1.9177556,4.661511,9.876082,306134
-1.8004397,4.6830587,9.504981,311139
-1.6759412,4.7285485,9.105149,316113
-1.5370775,4.8147397,8.626308,321118
-1.4413095,4.8937483,8.209718,326123
-1.3934253,4.987122,7.809886,331128
-1.3072342,5.092467,7.45315,336133
-1.2378023,5.183447,7.1107793,341138
-1.2545617,5.2289367,6.8067155,346112
-1.2785037,5.267244,6.5984197,351117
-1.292869,5.269638,6.469133,356122
-1.1971009,5.2744265,6.421249,361127
-1.4437037,5.377377,7.129933,366132
-1.8387469,5.377377,7.752425,371136
-1.9895816,5.2121773,8.322245,376111
-2.1739352,5.12838,8.494628,381116
-2.3989902,5.159505,8.475474,386121
-2.5378537,5.2145715,8.291121,391125
-2.60968,5.2648497,8.049306,396130
-2.743755,5.353435,7.821857,401135
-2.8323407,5.4300494,7.8386164,406140
-2.825158,5.48751,7.867347,411115
-2.7724855,5.475539,7.7452426,416119
-2.779668,5.4300494,7.644686,421124
-2.8778305,5.410896,7.6614456,426129
-2.954445,5.410896,7.6375036,431134
-3.0023289,5.401319,7.5920134,436139
-3.0550013,5.3941364,7.479486,441113
-2.8802247,5.566519,7.491457,446118
-2.719813,5.3941364,6.7803793,451123
-2.6862943,5.391742,6.5936313,456128
-2.705448,5.5521536,6.634333,461133
-2.621651,5.707777,6.4763155,466138
-2.4947581,5.7484784,6.2225304,471112
-2.2529438,5.731719,6.0405707,476117
-2.0853498,5.707777,6.0357823,481122
-1.8938135,5.659893,5.9424086,486127
-1.7836803,5.628768,5.542577,491132
-2.0853498,5.853823,5.8586116,496136
-2.6527755,6.196194,6.0860605,501111
-2.896984,6.3542113,5.571307,506116
-3.145981,6.5098343,5.073313,511120
-3.6487634,6.703765,5.116409,516125
-3.8881836,6.6367273,5.5377884,521130
-3.821146,6.3661823,5.985504,526135
-3.5314474,6.155493,6.2512608,531140
-3.2465374,6.033388,6.4978633,536115
