x,y,z,timestamp
-1.5921441,6.64391,7.872135,3927
-1.733402,6.5984197,7.711724,8932
-1.7645266,6.5577183,7.5968018,13937
-1.8339585,6.588843,7.9104424,18942
-1.7429788,6.6486983,8.23366,23947
-1.4987702,6.667852,8.446744,28921
-0.9792285,6.6630635,8.523358,33926
-0.59855044,6.619968,8.415619,38931
-0.40222588,6.6486983,8.176199,43936
-0.2777274,6.706159,7.884106,48941
-0.17717093,6.8306575,7.7787614,53946
-0.19632454,6.9383965,7.5800424,58920
-0.31603462,6.8881183,7.433996,63925
-0.7302315,6.4787097,6.8569937,68930
-1.0390835,6.4427967,6.191406,73935
-1.388637,6.6079965,5.6982,78940
-1.6065093,6.7708025,5.0517654,83944
-1.8219875,6.6654577,4.654328,88949
-2.707842,5.8586116,3.86903,93924
-2.6312277,5.896919,3.205836,98928
-2.9257145,5.9160724,2.9352913,103933
-1.3239936,6.411672,3.1507695,108938
-0.18435353,6.5744777,4.2185836,113943
-0.059855044,6.5098343,4.1299977,118948
-0.93134445,6.727707,5.267244,123923
-1.1228806,7.041347,4.711789,128927
-0.8643068,7.501034,4.3047748,133932
-0.5674258,8.039729,4.6782703,138937
-0.36870706,8.310274,4.999093,143942
-0.3878607,8.425196,5.374983,148947
-0.58418524,8.403648,5.8083334,153921
-0.59615624,8.276755,6.10282,158926
-0.44771573,7.967903,6.315904,163931
-0.35194764,7.69257,6.1938,168936
-0.4189853,7.4866686,6.0477533,173941
-0.82360536,7.381324,5.925649,178946
-1.3599066,7.33344,5.8801594,183920
-2.0805612,7.1826053,6.208165,188925
-2.3894134,7.0102224,6.5457473,193930
-2.492364,6.8067155,6.9527617,198935
-2.7365725,6.849811,7.067683,203940
-3.2345665,7.299921,6.9958572,208944
-3.5577838,7.7931266,6.967127,213949
-3.9193082,8.295909,6.9264255,218924
-4.120421,8.678981,6.7803793,223929
-4.060566,8.832211,6.4739213,228933
-3.809175,8.796297,6.066907,233938
-3.53863,8.537724,5.602432,238943
-3.4715924,8.3150625,5.2145715,243948
-3.4572272,8.1642275,4.8123455,248923
