x,y,z,timestamp
-1.5035586,4.685453,10.340557,2314
-1.1468226,4.5777135,10.33098,7319
-0.8379706,4.5537715,10.254366,12324
-0.6440403,4.6351743,10.196905,17329
-0.46926352,4.7165775,9.967062,22334
-0.320823,4.699818,9.581595,27339
-0.20350714,4.6471453,9.210494,32313
-0.011971008,4.5633483,8.813056,37318
0.17717093,4.498705,8.240842,42323
0.06703765,4.2999864,7.750031,47328
-0.25378537,4.1036615,7.2233067,52333
-0.33279404,4.237737,6.6079965,57338
-0.37588966,4.405331,6.215348,62312
-0.04070143,4.4819455,6.1004257,67317
0.39743748,4.2880154,6.157887,72322
0.58418524,4.2760444,6.021417,77327
1.1779473,4.1012673,5.6982,82332
2.6623523,3.3039982,5.269638,87336
3.4955344,2.7102363,4.8267107,92311
2.7820623,3.821146,5.209783,97316
1.8076223,4.6399627,5.2361193,102321
1.5346833,4.975151,4.7788267,107326
1.1707647,5.363012,4.321534,112330
0.9672575,5.731719,3.9863458,117335
0.7326257,5.9543796,4.072537,122340
0.35434186,6.0884547,4.7860093,127314
-0.055066638,6.220136,6.0884547,132319
-0.50996494,6.2368956,7.3765354,137324
-0.9792285,6.1219735,8.11395,142329
-1.4413095,5.865794,8.767567,147334
-1.769315,5.638345,9.176975,152339
-2.1308396,5.6239796,9.270349,157313
-2.4851813,5.767632,9.150639,162318
-2.8419175,6.129156,8.892065,167323
-3.301604,6.5936313,8.494628,172328
-3.5434184,6.9599442,8.123527,177333
-3.8067808,7.302315,7.785944,182338
-4.0677485,7.5201874,7.4363904,187312
-4.414908,7.589619,7.101202,192317
-5.023035,7.48188,6.7564373,197322
-5.509058,7.326257,6.4882865,202327
-5.973533,7.2209125,6.1938,207332
-6.007052,6.931214,5.9041014,212336
-5.801151,6.5218053,5.6910176,217311
-5.6551046,6.0836663,5.626374,222316
-5.5641246,5.849035,5.6982,227321
-5.485116,5.791574,5.8825536,232326
-4.247314,4.63278,6.2345014,237330
-4.122815,4.582502,6.691794,242335
-4.378995,4.757279,7.2209125,247340
-4.879383,5.1355624,7.723695,252315
-5.377377,5.3606176,8.104373,257319
-5.932832,5.659893,8.348581,262324
-6.3949127,5.971139,8.4587145,267329
-6.8091097,6.244078,8.394072,272334
-7.0724716,6.2728086,8.250419,277339
-7.2472486,6.167464,7.869741,282313
-7.273585,5.872977,7.3430166,287318
-7.1155677,5.568913,6.9288197,292323
-6.993463,5.363012,6.4882865,297328
-6.8761473,5.281609,6.1938,302333
-6.76362,5.317522,5.9280434,307338
-6.670246,5.4444146,5.681441,312312
-6.5122285,5.518635,5.4539914,317317
-6.339846,5.60722,5.1259856,322322
-6.1530986,5.674258,4.9775453,327327
-5.9424086,5.770026,4.9200845,332331
-5.7748146,5.861006,4.8602295,337336
-5.626374,5.9448028,4.793192,342311
-5.3606176,5.9998693,4.4603977,347316
-4.996699,6.4978633,1.0582372,352321
-5.4085016,7.1155677,-0.47644615,357326
-5.662287,7.359776,0.6607997,362330
-5.60722,7.675811,1.769315,367335
-5.1810527,7.893683,2.5498247,372340
-4.489128,7.6135616,3.6343982,377314
-4.1132383,7.165846,4.55856,382319
-4.0078936,6.8210807,5.4539914,387324
-4.1659107,6.7205243,6.114791,392329
-4.3263226,6.7708025,6.2967505,397334
-4.4580035,6.88333,5.899313,402339
-4.5657425,7.019799,5.386954,407313
-4.8338933,7.141904,4.7979803,412318
-5.269638,7.2352777,4.1180267,417323
-5.74369,7.201759,3.4691982,422328
-6.1100025,7.07726,2.9712043,427333
-6.1387334,6.8929067,2.7269957,432338
-5.9878983,6.7229185,2.5498247,437312
-5.604826,6.531382,2.528277,442317
-5.4899044,6.811504,2.5378537,447322
-5.3558292,7.1969705,2.4253263,452327
-5.0661306,7.398083,2.3343468,457332
-4.72376,7.441179,2.336741,462337
-4.285621,7.477092,2.5330653,467311
-3.7948096,7.501034,2.882619,472316
-3.2609026,7.419631,3.466804,477321
-2.992752,7.1586633,3.9073372,482326
-2.765303,6.682217,4.158728,487330
-2.5809495,6.167464,4.3406878,492335
-2.3989902,5.686229,4.4795513,497340
-2.1930888,5.2289367,4.6710877,502315
-2.1380222,4.9344497,4.975151,507319
-2.4492683,4.8841715,5.4659624,512324
-2.6168625,4.8123455,5.8945246,517329
-2.717419,4.7524905,6.4284315,522334
-2.8419175,4.6351743,7.1347213,527339
-2.885013,4.4699745,7.563283,532313
-2.9592333,4.357447,8.317456,537318
-3.107674,4.2904096,9.41879,542323
-3.2130187,4.24492,10.405201,547328
-3.3925838,4.2425256,11.405977,552333
-3.5697548,4.345476,11.947066,557338
-3.6008794,4.4603977,12.160151,562312
-3.430891,4.51307,12.018892,567317
-3.1675289,4.4795513,11.542446,572322
-3.0502129,4.450821,11.221623,577327
-3.4835634,4.8003745,10.831368,582331
-3.7325604,4.8985367,10.584765,587336
-3.6942532,4.6136265,10.31901,592311
-3.5553896,4.249708,9.993398,597316
-3.6104562,3.9193082,9.734824,602321
-3.9911342,3.7110126,9.464279,607326
-4.307169,3.6727054,9.227253,612330
-4.5801077,3.6822822,9.018958,617335
-4.7668557,3.691859,8.798691,622340
-4.8482585,3.608062,8.595184,627315
-4.8722005,3.5194764,8.039729,632319
-4.572925,3.5434184,7.639898,637324
-4.1659107,3.6631286,7.819463,642329
-3.9719806,3.9097314,8.020576,647334
-3.6822822,4.1802764,8.034941,652339
-2.9400797,4.4963107,7.821857,657313
-2.0685902,4.9583917,7.8984714,662318
-1.1228806,5.269638,7.9272017,667323
-0.82360536,5.645528,7.702147,672328
-0.6464345,5.6910176,7.577648,677333
-1.0702082,5.961562,7.4627266,682338
-1.3958195,5.959168,7.429208,687312
-1.8866309,5.971139,7.505822,692317
-2.6671407,5.9304376,7.680599,697322
-3.526659,5.947197,7.9224133,702327
-4.321534,5.741296,8.128315,707331
-4.618415,5.437232,8.183381,712336
-4.7070007,5.104438,8.185776,717311
-4.663905,4.8243165,8.049306,722316
-4.6926355,4.709395,7.726089,727321
-4.6519337,4.6806645,7.2304893,732326
-4.522647,4.6255975,6.8522053,737330
-4.4125137,4.6136265,6.5002575,742335
-4.343082,4.6686935,6.133945,747340
-4.10845,4.55856,5.7843914,752314
-3.7684734,4.381389,5.463568,757319
-3.6296098,4.285621,5.2744265,762324
-3.560178,4.27365,5.231331,767329
-3.5003228,4.295198,5.3486466,772334
-3.3686419,4.295198,5.604826,777339
-3.122039,4.3023806,6.232107,782313
-2.825158,4.3406878,6.667852,787318
-2.5210943,4.3957543,7.067683,792323
-2.2888567,4.4603977,7.3645644,797328
-2.1404164,4.5657425,7.771579,802333
-2.087744,4.606444,8.312668,807338
-2.1308396,4.5753193,8.750807,812312
-2.2529438,4.5082817,9.124303,817317
-2.4420857,4.474763,9.3733,822322
-2.7006595,4.43885,9.442732,827327
-2.9376855,4.3742065,9.385271,832332
-3.1842883,4.3526587,9.200917,837336
-3.3686419,4.3287168,8.9998045,842311
-3.4955344,4.2904096,8.820239,847316
-3.5697548,4.2544966,8.652645,852321
-4.297592,4.867412,8.765172,857326
-4.1156325,4.8362875,9.25359,862330
-2.956839,3.9959226,9.320627,867335
-2.2864625,3.3758245,8.9279785,872340
-2.3415294,3.301604,8.355764,877315
-2.801216,3.6343982,7.869741,882319
-3.2034419,4.0054994,7.5704656,887324
-3.1172507,4.074931,7.66384,892329
-2.7700913,4.010288,7.9750857,897334
-2.5139117,3.9743748,8.312668,902339
-2.456451,4.015076,8.53054,907313
-2.4636335,4.0533834,8.7053175,912318
-2.4013844,4.0533834,8.966286,917323
-2.3295584,4.036624,9.176975,922328
-2.3008277,4.06296,9.409213,927333
-2.291251,4.1371803,9.600749,932338
-2.3056161,4.261679,9.619903,937312
-2.2337902,4.3239284,9.555259,942317
-2.1140802,4.343082,9.3733,947322
-2.0039468,4.331111,9.165004,952327
-1.8746599,4.3622355,9.105149,957331
-1.7501614,4.426879,9.208099,962336
-1.7286136,4.4484267,9.25359,967311
-1.721431,4.4723687,9.248801,972316
-1.7645266,4.4556093,9.160215,977321
-1.9081788,4.3981485,8.937555,982326
-1.9800048,4.369418,8.623915,987330
-1.9728222,4.3837833,8.35337,992335
-1.9321208,4.3837833,8.039729,997340
-1.8219875,4.3837833,7.824251,1002314
-1.7525556,4.355053,7.656657,1007319
-1.6831238,4.3406878,7.4866686,1012324
-1.6711528,4.3287168,7.3525934,1017329
-1.6448165,4.309563,7.2424603,1022334
-1.5729905,4.247314,7.28795,1027339
-1.520318,4.211401,7.398083,1032313
-1.520318,4.1635165,7.4842744,1037318
-1.5275006,4.1156325,7.565677,1042323
-1.5490485,4.003105,7.6973586,1047328
-1.6950948,3.8043866,8.003817,1052333
-1.9057846,3.6128504,8.360553,1057338
-2.1452048,3.4979286,8.688558,1062312
-2.56419,3.4691982,8.911219,1067317
-2.837129,3.4644098,8.930372,1072322
-2.9831753,3.3662477,10.831368,1077327
-2.4157495,2.9496565,12.7730665,1082332
-2.396596,2.992752,10.15381,1087336
-3.2034419,3.6583402,9.105149,1092311
-3.4404678,4.31914,7.383718,1097316
-3.3039982,4.417302,6.658275,1102321
-2.5929205,3.9863458,6.8210807,1107326
-1.7357962,3.5410242,7.2807674,1112330
-1.1875241,3.4021606,7.69257,1117335
-1.1899183,3.6176388,7.630321,1122340
-1.3215994,3.809175,7.4962454,1127314
-1.5131354,3.8905778,7.5441294,1132319
-1.6998832,3.904943,7.750031,1137324
-1.9393034,3.9145198,8.018182,1142329
-2.1787236,3.9025488,8.276755,1147334
-2.3343468,3.8307228,8.738836,1152339
-2.3942018,3.7924154,9.301474,1157313
-2.3654714,3.8019924,9.876082,1162318
-2.3008277,3.8379054,10.383653,1167323
-2.2409728,3.8355112,10.632649,1172328
-2.2002714,3.821146,10.670957,1177333
-2.1547816,3.8379054,10.546458,1182338
-2.0566192,3.8666358,10.33098,1187312
