x,y,z,timestamp
-3.6487634,3.9264908,11.130644,1788
-3.4332852,3.9025488,11.286267,6793
-3.1555579,3.8019924,11.27669,11798
-2.8275523,3.6966474,11.166556,16772
-2.4420857,3.5984852,10.860099,21777
-2.1787236,3.5889084,10.534488,26782
-1.9201498,3.655946,10.21127,31787
-1.7477672,3.7541082,9.919178,36792
-1.6998832,3.9432502,9.77792,41796
-1.697489,4.1491513,9.605537,46801
-1.6496049,4.2999864,9.421184,51776
-1.5634137,4.3406878,9.208099,56781
-1.376666,4.3766007,9.050082,61786
-1.2042835,4.4125137,8.89446,66791
-1.0031705,4.259285,8.580819,71795
-1.0103531,4.3478703,8.307879,76800
-1.2641385,4.5154643,8.327033,81775
-1.6017209,4.6136265,8.283937,86779
-1.8650831,4.7285485,8.121132,91784
-2.066196,4.685453,7.896077,96789
-2.0685902,4.548983,7.644686,101794
-2.030283,4.5154643,7.524976,106799
-2.006341,4.572925,7.359776,111773
-1.9728222,4.7429137,7.132327,116778
-1.9440918,4.984728,6.8210807,121783
-1.8890251,5.195418,6.71813,126788
-1.8507179,5.3103395,6.739678,131793
-1.7812861,5.3558292,6.8043213,136798
-1.697489,5.391742,6.8809357,141772
-1.6184803,5.427655,6.993463,146777
-1.6543933,5.4563856,7.07726,151782
-1.7741034,5.518635,7.21373,156787
-1.922544,5.60722,7.36217,161792
-2.066196,5.705383,7.493851,166796
-2.15957,5.8634,7.5944076,171801
-2.2457612,5.973533,7.615956,176776
-2.3535004,6.0238113,7.513005,181781
-2.4277205,6.0477533,7.314286,186786
-2.5306711,6.0860605,7.0581064,191791
-2.5210943,6.1530986,6.730101,196795
-2.4899697,6.3063273,6.3925185,201800
-2.4468741,6.517017,6.131551,206775
-2.4037786,6.7444663,5.9184666,211779
-2.4109612,6.9120603,5.705383,216784
-2.528277,7.0126166,5.391742,221789
-2.633622,7.067683,5.1571107,226794
-2.7581203,7.07726,4.9536033,231799
-2.8538885,6.9886746,4.8003745,236773
-2.8778305,6.8522053,4.7429137,241778
-2.9257145,6.7731967,4.759673,246783
-3.0334535,6.8426285,4.879383,251788
-3.1004913,6.9288197,5.0996494,256793
-3.1794999,6.9719152,5.403713,261798
-3.301604,6.9479733,5.753267,266772
-3.454833,6.9527617,6.1530986,271777
-3.6655228,6.8809357,6.615179,276782
-3.8402996,6.8545995,6.847417,281787
-3.9743748,6.8522053,6.969521,286792
-4.122815,6.859388,7.074866,291796
-4.2760444,6.909666,7.144298,296801
-4.426879,7.007828,7.089231,301776
-4.5561657,7.065289,7.0006456,306781
-4.6782703,7.144298,6.871359,311786
-4.8027687,7.252037,6.615179,316790
-4.841076,7.2328835,6.3949127,321795
-4.84347,7.0581064,6.215348,326800
-4.865018,6.8881183,6.143522,331775
-4.8027687,6.7923503,6.05733,336779
-4.745308,6.8067155,5.9639564,341784
-4.6662993,6.8905125,5.8203044,346789
-4.5920787,6.993463,5.6359506,351794
-4.51307,7.03177,5.422867,356799
-4.4843397,6.993463,5.195418,361773
-4.4364557,6.897695,4.939238,366778
-4.405331,6.7708025,4.7046065,371783
-4.3622355,6.631939,4.462792,376788
-4.345476,6.7013707,4.357447,381793
-4.3502645,6.885724,4.405331,386798
-4.453215,7.098808,4.5034933,391772
-4.522647,7.299921,4.5537715,396777
-4.402937,7.350199,4.2521024,401782
-4.2042184,7.5321584,2.4349031,406787
-4.548983,8.109161,-0.12928689,411792
-4.84347,8.446744,-1.352724,416796
-4.855441,8.3150625,-1.0510546,421801
-4.656722,7.989451,0.02633622,426776
-4.474763,7.797915,1.2737153,431781
-4.3622355,7.5704656,2.5833437,436786
-4.3526587,7.369353,3.7493198,441791
-4.402937,7.273585,4.697424,446795
-4.4675803,7.3406224,5.415684,451800
-4.5298295,7.4244194,5.556942,456775
-4.6495395,7.5225816,5.391742,461779
-4.7141833,7.565677,5.023035,466784
-4.699818,7.603985,4.63278,471789
-4.6279917,7.6710224,4.122815,476794
-4.5274353,7.759608,3.7134068,481799
-4.4580035,7.833828,3.2800562,486773
-4.369418,7.8290396,2.908955,491778
-4.2880154,7.867347,2.6168625,496783
-4.1252093,7.97748,2.4660277,501788
-3.8618474,8.027759,2.348712,506793
-3.6343982,8.061277,2.27928,511798
-3.4213142,8.101978,2.2601264,516772
-3.2561142,8.123527,2.3415294,521777
-3.1507695,8.11395,2.4779987,526782
-3.0550013,8.046912,2.731784,531787
-2.9281087,7.9343843,3.0142999,536792
-2.765303,7.8386164,3.3423057,541796
-2.6001031,7.7332716,3.7924154,546801
-2.554613,7.6231384,4.3023806,551776
-2.5210943,7.52737,4.939238,556781
-2.4995465,7.431602,5.4659624,561786
-2.552219,7.3406224,5.947197,566790
-2.7006595,7.1251445,6.2871737,571795
-2.9640217,6.7731967,6.505046,576800
-3.3614593,6.2488666,6.5720835,581775
-3.6511576,5.829881,6.4882865,586779
-3.8618474,5.523423,6.3542113,591784
-4.1515455,5.379771,6.2752028,596789
-4.4484267,5.410896,6.3685765,601794
-4.783615,5.60722,6.5984197,606799
-4.9105077,5.7843914,6.787562,611773
-4.88896,5.9902925,6.83784,616778
-4.747702,6.1650696,6.835446,621783
-4.534618,6.301539,6.8426285,626788
-4.1946416,6.445191,6.8210807,631793
-3.9217024,6.5385647,6.7827735,636798
-3.643975,6.619968,6.801927,641772
-3.3255463,6.7253127,6.8545995,646777
-3.052607,6.799533,6.895301,651782
-2.813187,6.859388,7.0221934,656787
-2.717419,6.8641763,7.2352777,661792
-2.7102363,6.7947445,7.395689,666796
-2.8395233,6.646304,7.443573,671801
-3.107674,6.4523735,7.4268136,676776
-3.6415808,6.181829,7.369353,681781
-4.134786,5.9184666,7.477092,686786
-4.534618,5.8203044,7.6829934,691790
-4.8458643,5.779603,7.953538,696795
-5.0613422,5.81791,8.135497,701800
-5.171476,5.925649,8.212111,706775
-5.171476,6.0716953,8.171411,711779
-5.142745,6.215348,8.049306,716784
-5.092467,6.373365,7.9128366,721789
-4.9799395,6.4380083,7.764396,726794
-4.7500963,6.423643,7.632715,731799
-4.5058875,6.2871737,7.4842744,736773
-4.189853,6.129156,7.2951326,741778
-3.8642416,5.9567738,7.0700774,746783
-3.6343982,5.8346696,6.8641763,751788
-3.560178,5.7508726,6.6774287,756793
-3.6176388,5.7125654,6.4858923,761798
-3.691859,5.6982,6.3566055,766772
-3.6990416,5.6910176,6.2105594,771777
-4.0222588,5.3007627,6.397307,776782
-4.3598413,5.8945246,6.019023,781787
-4.1922474,6.849811,5.2480903,786792
-3.8522706,7.0700774,4.8243165,791796
-3.2632968,7.1395097,3.6032736,796801
-2.906561,7.249643,3.1914709,801776
-2.9831753,7.297527,3.9743748,806781
-3.0190883,6.9623384,5.1786585,811786
-2.5881321,6.540959,5.801151,816791
-1.9895816,6.181829,6.1411276,821795
-1.6089035,6.0381765,6.3901243,826800
-1.5753847,6.1123967,6.567295,831775
-2.0446482,6.3829417,6.754043,836779
-2.6001031,6.634333,6.871359,841784
-3.074155,6.787562,6.9264255,846789
-3.3494883,6.8929067,6.8641763,851794
-3.4332852,6.9168487,6.7085533,856799
