x,y,z,timestamp
-1.8962077,3.490746,10.850522,2794
-2.0949266,3.5793316,10.94629,7799
-2.2050598,3.6248214,11.056423,12804
-2.2385786,3.5553896,11.142614,17809
-2.195483,3.4596214,11.2312,22814
-2.171541,3.4404678,11.463438,27819
-2.123657,3.3854012,11.492168,32793
-2.0278888,3.347094,11.405977,37798
-1.934515,3.2992098,11.257536,42803
-1.8195933,3.2872388,11.133038,47808
-1.6136919,3.3494883,10.788273,52812
-1.4053963,3.41892,10.295067,57817
-1.1779473,3.478775,9.787497,62822
-0.9768343,3.4715924,9.32781,67797
-0.79008657,3.3183637,8.767567,72801
-0.6751649,3.301604,8.190564,77806
-0.60812724,3.3494883,7.762002,82811
-0.62488663,3.4476504,7.314286,87816
-0.6895301,3.6224272,6.811504,92821
-0.80445176,3.751714,6.133945,97795
-0.9528923,3.9240966,5.74369,102800
-1.103727,4.1012673,5.6335564,107805
-1.2521675,4.220978,5.9304376,112810
-1.3670892,4.259285,6.4523735,117815
-1.3215994,4.1946416,6.7588315,122820
-1.4053963,4.2305546,7.1969705,127794
-1.5729905,4.295198,7.457938,132799
-1.7381904,4.355053,7.5321584,137804
-1.9129672,4.417302,7.66384,142809
-2.1284454,4.534618,8.085219,147814
-2.336741,4.606444,8.784326,152819
-2.552219,4.7165775,9.68694,157793
-2.504335,4.9105077,10.364499,162798
-2.9472623,4.7740383,11.018116,167803
-3.775656,4.5418005,11.075577,172808
-4.295198,4.402937,11.267113,177812
-4.2521024,4.295198,11.587936,182817
-4.3143516,4.2880154,11.793838,187822
-4.498705,4.220978,11.7627125,192797
-4.7189717,4.048595,11.398794,197801
-4.853047,3.892972,10.788273,202806
-4.783615,3.8833952,9.821015,207811
-4.5777135,4.0557775,9.028535,212816
-4.450821,4.355053,8.360553,217821
-4.4675803,4.72376,7.699753,222795
-4.5154643,5.149928,7.0820484,227800
-4.6016555,5.659893,6.3302693,232805
-4.6950297,5.899313,5.9400144,237810
-4.8099513,6.0046577,5.779603,242815
-4.8961425,5.971139,5.7628436,247820
-4.9081135,5.9304376,5.729325,252794
-4.8602295,5.7867856,5.631162,257799
-4.7189717,5.614403,5.425261,262804
-4.685453,5.5641246,5.2385135,267809
-4.771644,5.547365,5.104438,272814
-4.9105077,5.4420204,4.9464207,277819
-5.0541596,5.3678,4.711789,282793
-5.1930237,5.315128,4.697424,287798
-5.3223104,5.3462524,4.9464207,292803
-5.4922986,5.5042696,5.446809,297808
-5.6646814,5.770026,6.1100025,302812
-5.851429,6.1219735,6.751649,307817
-5.9663506,6.3470287,6.9886746,312822
-5.9902925,6.3925185,7.098808,317797
-5.9926867,6.31351,6.909666,322801
-5.923255,6.241684,6.471527,327806
-5.825093,6.1100025,5.841852,332811
-5.827487,6.0597243,5.3127337,337816
-5.7508726,6.1243677,4.644751,342821
-5.523423,6.227319,3.940856,347795
-5.2145715,6.2488666,3.2944214,352800
-4.5657425,5.925649,2.7629087,357805
-4.185065,5.734113,2.5450363,362810
-4.2904096,6.1650696,-0.33997664,367815
-5.046977,7.2113357,-5.497087,372820
-5.379771,7.7069354,-4.76925,377794
-5.5042696,7.929596,-2.7485435,382799
-5.475539,8.26239,-1.6304513,387804
-5.1259856,8.192958,0.10534488,392809
-4.548983,7.7069354,2.1332338,397814
-4.110844,7.1849995,4.000711,402819
-4.039018,6.921637,5.5617304,407793
-4.3526587,6.9623384,6.5505357,412798
-4.5920787,7.038953,6.469133,417803
-4.642357,7.0461354,5.935226,422808
-4.5537715,7.0461354,5.2720323,427812
-4.4939165,7.074866,4.661511,432817
-4.5394063,7.1490865,3.857059,437822
-4.7620673,7.1754227,3.2752678,442797
-5.0302176,7.1730285,2.7006595,447801
-5.21936,7.153875,2.3104045,452806
-5.303157,7.165846,2.018312,457811
-5.2887917,7.1826053,1.7956513,462816
-5.2169657,7.21373,1.7525556,467821
-5.1259856,7.2568254,1.7812861,472795
-5.0541596,7.335834,1.9033904,477800
-4.9583917,7.393295,2.1452048,482805
-4.915296,7.3286514,2.765303,487810
-4.9464207,7.165846,3.6248214,492815
-4.975151,6.945579,4.5418005,497820
-4.9895163,6.6893997,5.3223104,502794
-4.984728,6.435614,5.9783216,507799
-4.9320555,6.10282,6.5481415,512804
-5.142745,6.0980315,6.991069,517809
-5.3486466,6.081272,7.4268136,522814
-5.4659624,6.0597243,7.711724,527819
-5.523423,5.985504,7.8027034,532793
-5.463568,5.884948,7.821857,537798
