x,y,z,timestamp
-1.1851299,6.694188,8.303091,2910
-1.1947067,6.6391215,8.214506,8311
-1.163582,6.619968,8.166622,12920
-1.1204864,6.612785,8.111555,17925
-1.055843,6.612785,7.97748,22899
-0.9768343,6.555324,7.800309,27904
-0.89543146,6.531382,7.678205,32909
-0.59376204,6.5218053,7.431602,37914
-0.3878607,6.5385647,7.3071036,42919
-0.50517654,6.5337763,7.2687964,48515
-0.6631939,6.5218053,7.189788,52929
-0.93373865,6.528988,7.129933,57903
-1.2737153,6.5505357,7.120356,62908
-1.5346833,6.531382,7.0461354,67913
-1.7812861,6.5457473,6.8162923,72918
-2.0925324,6.5625067,6.600814,77923
-2.2936451,6.576872,6.375759,82927
-2.4540567,6.6726403,6.133945,88648
-2.327164,6.6774287,6.31351,92937
-2.1787236,6.5098343,6.2584434,97912
-2.0853498,6.3206925,6.337452,102916
-2.1404164,6.3805475,6.655881,107921
-2.2529438,6.5122285,7.050924,112926
-2.303222,6.5984197,7.3071036,117901
-2.2936451,6.6367273,7.4028716,122905
-2.243367,6.6654577,7.6375036,128369
-2.2529438,6.667852,7.6494746,132915
-2.3822308,6.703765,7.651869,137920
-2.6168625,6.7133417,7.565677,142925
-2.8898015,6.706159,7.4603324,147899
-3.145981,6.655881,7.275979,152904
-3.2752678,6.6175733,7.129933,157909
-3.347094,6.6391215,6.8330517,162914
-3.4284968,6.6606693,6.5385647,168429
-3.4572272,6.727707,6.385336,172924
-3.4213142,6.811504,6.0860605,177898
-3.3159695,6.8761473,5.5856724,182903
-3.241749,6.991069,5.547365,187908
-2.9113493,7.261614,5.485116,192913
-2.743755,7.606379,5.183447,197918
-2.944868,7.7093296,5.2121773,202923
-2.861071,7.6351094,5.209783,208325
-2.4995465,7.4507556,4.8817773,212932
-2.183512,7.285556,4.699818,217907
-2.0590134,7.201759,4.5801077,222912
-2.066196,7.156269,4.5513773,227916
-2.1667526,7.07726,4.987122,232921
-2.1739352,7.0365586,5.473145,237926
-2.1068976,7.0700774,5.805939,242901
-1.9440918,7.1586633,6.0597243,248713
-1.8674773,7.2783732,6.1195793,252910
-1.8195933,7.491457,6.1650696,257915
-1.7597382,7.6255326,6.0980315,262920
-1.7908629,7.4723034,5.911284,267925
-1.6998832,7.5082164,5.825093,272899
-1.685518,7.551312,5.7628436,277904
-1.7405846,7.639898,5.6000376,282909
-1.8076223,7.6973586,5.461174,288311
-1.8722657,7.6829934,5.4420204,292919
-1.9440918,7.678205,5.544971,297924
-1.9680338,7.608773,5.78918,302898
-1.9967642,7.505822,6.215348,307903
-1.8866309,7.429208,6.6247563,312908
-1.757344,7.321469,6.9982514,317913
-1.6280571,7.240066,7.314286,322918
-1.5107412,7.1754227,7.66384,328317
-1.4987702,7.1059904,7.867347,332927
-1.4939818,7.0844426,7.9463553,337902
-1.5035586,7.0605006,7.9702973,342907
-1.5370775,7.0844426,7.8410106,347912
-1.5514427,7.0940194,7.639898,352916
-1.5753847,7.120356,7.3047094,357921
-1.5849615,7.1227503,7.0844426,362926
-1.5729905,7.1466923,6.8282633,368431
-1.5227122,7.153875,6.5744777,372936
-1.4460979,7.1730285,6.315904,377910
-1.3862427,7.228095,6.078878,382915
-1.3790601,7.240066,5.9041014,387920
-1.3814543,7.2352777,5.7005944,392925
-1.4077905,7.204153,5.4922986,397899
-1.4293385,7.1347213,5.3845596,402904
-1.5442601,7.03177,5.494693,408869
-1.6807296,7.00304,5.60722,412914
-1.8004397,6.979098,5.901707,417919
-1.8291701,6.919243,6.1411276,422924
-1.8459295,6.895301,6.337452,427898
-1.9033904,6.88333,6.600814,432903
-1.9512744,6.895301,7.0006456,437908
-1.9273324,6.8929067,7.3071036,442913
-1.8938135,6.8665705,7.704541,448416
-1.8722657,6.787562,7.9032598,452923
-1.8579005,6.6846113,8.087613,457927
-1.9297266,6.519411,8.180987,462902
-2.0566192,6.337452,8.12592,467907
-2.2601264,6.217742,8.013393,472912
-2.4732103,6.1387334,7.795521,477916
-2.5929205,6.184223,7.505822,482921
-2.6312277,6.2991447,7.1251445,488321
-2.5953147,6.1746464,7.575254,492931
-2.5929205,6.730101,6.9048777,497906
-2.5881321,7.0365586,6.4547677,502910
-2.3127987,7.2352777,5.8825536,507915
-1.8483237,7.381324,5.0517654,512920
-1.4532804,7.3645644,4.687847,517925
-1.0295067,7.2352777,4.687847,522899
-0.7038953,7.0221934,4.9943047,528495
-0.5626374,6.9360023,5.2624555,532909
-0.49799395,6.9264255,5.6431336,537914
-0.5554548,6.9767036,5.8681884,542919
-0.7182605,7.0724716,6.0716953,547924
-0.8523358,7.1466923,6.1530986,552898
-0.90261406,7.180211,6.1985884,557903
-0.9983821,7.2233067,6.227319,562908
-1.0510546,7.2113357,6.2608376,568629
-1.1133038,7.2304893,6.2991447,572918
-1.1899183,7.201759,6.3901243,577923
-1.2521675,7.129933,6.4140663,582927
-1.3742718,7.0126166,6.4643445,587902
-1.508347,6.993463,6.7684083,592907
-1.6663644,6.9383965,7.132327,597912
-1.7429788,6.9240313,7.4507556,602916
-1.8100165,6.8450227,7.843405,608318
-1.7597382,6.789956,8.109161,612926
-1.6232687,6.7612257,8.312668,617901
-1.4867992,6.7205243,8.415619,622905
-1.340753,6.6750345,8.425196,627910
-1.2306197,6.655881,8.394072,632915
-1.1444284,6.64391,8.231265,637920
-1.1420342,6.6295447,8.037335,642925
-1.1827357,6.622362,7.785944,648426
-1.2497733,6.634333,7.5201874,652935
-1.3144168,6.6630635,7.2448545,657909
-1.4101849,6.670246,6.9024835,662914
-1.4532804,6.6750345,6.6846113,667919
-1.5011644,6.6510925,6.4978633,672924
-1.5394717,6.622362,6.3925185,677898
-1.5825673,6.579266,6.3302693,682903
-1.6089035,6.5098343,6.277597,688305
-1.6208745,6.481104,6.2392898,692913
-1.6496049,6.469133,6.217742,697918
-1.6376339,6.4380083,6.217742,702923
-1.5897499,6.471527,6.1746464,707927
-1.5370775,6.4906807,6.129156,712902
-1.5011644,6.469133,6.2249246,717907
-1.4748282,6.4260373,6.337452,722912
-1.4915876,6.385336,6.7253127,728876
-1.5035586,6.3542113,7.0102224,732921
-1.5514427,6.339846,7.4363904,737926
-1.6232687,6.3063273,7.9272017,742901
-1.7022774,6.2943563,8.257602,747905
-1.7262194,6.289568,8.494628,752910
-1.7262194,6.2967505,8.604761,757915
-1.7501614,6.2704144,8.6095495,762920
-1.7477672,6.2488666,8.544906,768413
-1.7788919,6.2488666,8.532935,772930
-1.7980455,6.279991,8.51857,777904
-1.8100165,6.2991447,8.487445,782909
-1.7405846,6.2704144,8.48984,787914
-1.5921441,6.1770406,8.470686,792919
-1.5035586,6.155493,8.389283,797924
-1.484405,6.184223,8.252813,802898
-1.5059528,6.229713,8.015787,808297
-1.5370775,6.2584434,7.8410106,812908
-1.6328455,6.157887,8.516175,817913
-1.4580688,5.913678,9.643845,822918
-1.520318,6.2632318,8.259995,827923
-1.9847932,6.505046,7.771579,832927
-2.1404164,6.706159,6.691794,837902
