x,y,z,timestamp
-2.861071,4.596867,9.957485,620
-2.8754363,4.522647,9.900024,5625
-2.8634653,4.4220905,9.746795,10630
-2.8754363,4.343082,9.576807,15635
-2.9257145,4.309563,9.52174,20640
-2.9017725,4.283227,9.363723,25614
-2.7724855,4.3239284,9.14585,30619
-2.5139117,4.297592,8.853758,35624
-2.3511062,4.297592,8.6813755,40629
-2.0518308,4.1635165,8.298303,45634
-1.9512744,4.177882,8.013393,50639
-2.0374656,4.3287168,8.1163435,55613
-2.15957,4.5801077,8.166622,60618
-2.3798366,4.6351743,7.920019,65623
-2.4420857,4.7884035,7.85777,70628
-2.5689783,4.8578353,7.7308774,75632
-2.6431987,4.865018,7.654263,80637
-2.6360161,4.84347,7.61835,85642
-2.6312277,4.8841715,7.654263,90617
-2.6120741,4.9296613,7.7548194,95622
-2.5953147,5.0014873,7.9128366,100626
-2.6408045,5.046977,8.12592,105631
-2.9520507,4.8745947,8.219295,110636
-3.1914709,4.7141833,8.252813,115641
-3.3662477,4.7165775,8.293514,120615
-3.4835634,4.867412,8.425196,125620
-3.5170822,5.097255,8.585608,130625
-3.466804,5.269638,8.724471,135630
-3.2393548,5.291186,8.734048,140635
-2.8778305,5.2600613,8.643068,145640
-2.4995465,5.2026005,8.3821,150614
-2.111686,5.2361193,8.034941,155619
-1.9057846,5.291186,7.723695,160624
-1.8195933,5.422867,7.419631,165629
-1.8531121,5.556942,7.1754227,170634
-1.8746599,5.681441,7.117962,175639
-1.8387469,5.729325,7.055712,180613
-1.7860745,5.6886234,6.8929067,185618
-1.7860745,5.5497594,6.811504,190623
-1.8483237,5.449203,6.658275,195628
-2.006341,5.4539914,6.4523735,200632
-2.327164,5.509058,6.315904,205637
-2.6192567,5.5497594,6.38773,210642
-2.7269957,5.547365,6.591237,215617
-2.8179753,5.5138464,6.6271505,220622
-2.8514943,5.509058,6.766014,225626
-2.837129,5.5377884,6.8330517,230631
-2.7365725,5.619191,6.9479733,235636
-2.6288335,5.6790466,7.1131735,240641
-2.5737667,5.7029886,7.345411,245615
-2.5306711,5.6886234,7.501034,250620
-2.3989902,5.746084,7.347805,255625
-2.432509,5.683835,6.5601125,260630
-2.2577322,6.045359,6.825869,265635
-2.2146366,6.2967505,7.216124,270640
-2.3008277,6.5625067,7.321469,275614
-2.2505496,6.667852,7.21373,280619
-2.0470424,6.5816603,6.9743094,285624
-1.7238252,6.3446345,6.7372837,290629
-1.5562311,6.078878,6.813898,295634
-1.460463,5.887342,7.017405,300639
-1.42455,5.841852,7.21373,305613
-1.4915876,5.8801594,7.398083,310618
-1.5969325,5.9759274,7.575254,315623
-1.7166426,6.0046577,7.7572136,320628
-1.8914193,5.947197,7.869741,325633
-2.0015526,5.741296,7.809886,330637
-2.1763294,5.659893,8.09719,335642
-2.2505496,5.568913,8.276755,340617
-2.2960393,5.60722,8.109161,345622
-2.4588451,5.7724204,7.9248075,350626
-2.6168625,5.9519854,7.759608,355631
-2.717419,6.105214,7.565677,360636
-2.7485435,6.241684,7.1945763,365641
-2.7461493,6.31351,6.8545995,370615
-2.7748797,6.3063273,6.4667387,375620
-2.8323407,6.2608376,6.069301,380625
-2.8060043,6.1985884,5.707777,385630
-2.7868507,6.160281,5.4444146,390635
-2.7700913,6.181829,5.2887917,395640
-2.765303,6.203377,5.2121773,400614
-2.7509377,6.244078,5.374983,405619
-2.777274,6.2991447,5.7269306,410624
-2.858677,6.2345014,6.196194,415629
-2.9257145,6.136339,6.4882865,420634
-2.9520507,6.045359,6.777985,425639
-2.9592333,6.007052,6.9862804,430613
-2.9783869,5.973533,7.1514807,435618
-3.083732,6.0118403,7.4148426,440623
-3.335123,6.1004257,7.5704656,445628
-3.6056678,6.157887,7.5848308,450633
-3.8498764,6.253655,7.501034,455637
-4.0773253,6.339846,7.357382,460642
-4.2042184,6.4380083,7.177817,465617
-4.232949,6.5601125,6.9599442,470622
-4.249708,6.634333,6.823475,475626
-4.211401,6.739678,6.7564373,480631
-4.1491513,6.799533,6.694188,485636
-3.809175,6.8785415,6.7684083,490641
-3.9815574,6.6606693,6.9288197,495615
-4.0581717,6.5720835,6.8569937,500620
-4.000711,6.5026517,6.9407907,505625
-4.060566,6.4739213,7.017405,510630
-4.060566,6.517017,6.8809357,515635
-4.086902,6.679823,6.823475,520640
-4.3598413,6.8402343,6.8091097,525614
-4.6160207,6.945579,6.6846113,530619
-4.6710877,6.9527617,6.564901,535624
-4.6519337,6.8665705,6.4380083,540629
-4.5920787,6.775591,6.2823853,545634
-4.4556093,6.8450227,6.155493,550639
-4.3526587,6.9623384,6.090849,555613
-4.3478703,7.026982,6.0262055,560618
-4.345476,7.0581064,5.925649,565623
-4.280833,7.041347,5.755661,570628
-4.2042184,7.00304,5.57849,575632
-4.1156325,6.8929067,5.410896,580637
-4.0557775,6.823475,5.2049947,585642
-4.048595,6.7947445,5.104438,590617
-4.015076,6.7947445,5.046977,595622
-4.0653543,6.8569937,4.9559975,600626
-4.1276035,6.9144545,4.8722005,605631
-4.24492,6.8785415,4.8506527,610636
-4.3957543,6.8522053,4.915296,615641
-4.546589,6.909666,5.104438,620615
-4.606444,6.993463,5.2169657,625620
-4.5801077,7.043741,5.3462524,630625
-4.4843397,7.043741,5.463568,635630
-4.249708,7.3310456,5.542577,640635
-4.0892963,7.1945763,5.6239796,645640
-3.8953662,7.1059904,5.707777,650614
-3.727772,7.007828,5.592855,655619
-3.7301662,7.050924,5.3678,660624
-3.9624038,7.156269,5.08289,665629
-4.144363,7.2687964,4.6160207,670634
-4.1635165,7.2592196,4.3478703,675639
-4.1299977,7.261614,4.225766,680613
-4.1515455,7.326257,4.1036615,685618
-4.1132383,7.381324,4.0222588,690623
-4.1060557,7.441179,4.0414124,695628
-4.2760444,7.642292,4.086902,700632
-4.414908,7.8793178,4.144363,705637
-4.745308,8.039729,3.359065,710642
-5.2409077,8.408437,1.3814543,715617
-5.595249,8.643068,-0.18674773,720622
-5.717354,8.48984,-0.6464345,725626
-5.554548,8.26239,-0.2777274,730631
-5.3007627,7.979874,0.79966336,735636
-5.0062757,7.6734166,2.2266076,740641
-4.7046065,7.441179,3.5290532,745615
-4.2281604,7.2951326,4.4819455,750620
-3.928885,7.357382,4.687847,755625
-3.6966474,7.4124484,4.548983,760630
-3.5170822,7.455544,4.1395745,765635
-3.5051112,7.4483614,3.6008794,770640
-3.6248214,7.4746976,2.9472623,775614
-3.833117,7.5225816,2.4875755,780619
-4.1180267,7.587225,2.0350714,785624
-4.4340615,7.5944076,1.5921441,790629
-4.7524905,7.489063,1.1827357,795634
-5.0254292,7.4603324,0.81163436,800639
-5.1642933,7.4866686,0.6823475,805613
-5.3318872,7.493851,0.6775591,810618
-5.427655,7.479486,0.79966336,815623
-5.470751,7.469909,0.9840169,820628
-5.521029,7.40766,1.3599066,825633
-5.5282116,7.3645644,1.6903064,830637
-5.3821654,7.40766,2.1212628,835642
-5.1906295,7.3549876,2.5258827,840617
-5.0302176,7.249643,2.9616275,845622
-4.8865657,7.132327,3.3758245,850626
-4.7979803,7.0605006,3.6391866,855631
-4.6926355,7.0341644,3.7349546,860636
-4.6399627,7.0341644,3.8762126,865641
-4.572925,7.0221934,4.1683054,870615
-4.4244847,7.03177,4.656722,875620
-4.271256,7.101202,5.12838,880625
-4.098873,7.1275387,5.7005944,885630
-3.775656,7.0964136,6.2009826,890635
-3.3806129,6.9982514,6.4739213,895640
-2.9640217,6.8689647,6.579266,900614
-2.956839,6.7253127,6.5026517,905619
-3.2848446,6.4068837,6.289568,910624
-3.3518825,6.0956373,5.705383,915629
-3.371036,5.913678,5.197812,920634
-3.5865142,5.9783216,5.0038815,925639
-4.0222588,6.2823853,5.0541596,930613
-4.474763,6.591237,5.2840033,935618
-4.771644,6.8402343,5.5401826,940623
-4.8458643,6.955156,5.7724204,945628
-4.6471453,6.8641763,5.9448028,950633
-4.4196963,6.6079965,6.093243,955637
-4.177882,6.3566055,6.0980315,960642
-3.9073372,6.155493,6.105214,965617
-3.6846764,5.9639564,6.208165,970622
-3.442862,5.8466406,6.2991447,975626
-3.2106245,5.6551046,6.445191,980631
-3.0454245,5.518635,6.591237,985636
-2.822764,5.363012,6.7923503,990641
-2.5833437,5.161899,7.0245876,995615
-2.3535004,4.948815,7.2927384,1000620
-2.1164744,4.807557,7.8793178,1005625
-1.9800048,4.747702,8.439561,1010630
-1.8507179,4.735731,8.844181,1015635
-1.7166426,4.663905,9.138668,1020640
-1.6352397,4.6016555,9.270349,1025614
-1.5729905,4.462792,9.229648,1030619
-1.6041151,4.357447,9.160215,1035624
-1.8219875,4.24492,9.212888,1040629
-2.087744,4.1802764,9.296685,1045634
-2.3630772,4.1706996,9.385271,1050639
-2.6886885,4.2066126,9.301474,1055613
-3.3327289,4.417302,9.184157,1060618
-3.6990416,4.3526587,9.114726,1065623
-3.7684734,4.261679,8.810662,1070628
-3.6750996,4.1802764,8.5473,1075632
-3.4093432,4.015076,8.377312,1080637
-3.217807,3.928885,8.449138,1085642
-3.0573955,3.9145198,8.554482,1090617
-2.7844565,3.9480386,8.626308,1095622
-2.432509,4.0294414,8.65025,1100626
-1.9919758,4.1539397,8.571242,1105631
-1.7932571,4.211401,8.564059,1110636
-1.7525556,4.1802764,8.602366,1115641
-1.8579005,4.1611223,8.707711,1120615
-2.0231004,4.1371803,8.815451,1125620
-2.2697031,4.1371803,8.836999,1130625
-2.408567,4.1299977,8.930372,1135630
-2.4516625,4.0916905,9.093178,1140635
-2.5187001,4.0438066,9.289502,1145640
-2.542642,3.9959226,9.555259,1150614
-2.5210943,3.9839516,9.816227,1155619
-2.4995465,4.0222588,9.902418,1160624
-2.4612393,4.000711,9.97185,1165629
-2.3056161,3.7948096,10.038888,1170634
-2.2266076,3.6032736,10.113108,1175639
-2.3750482,3.5458126,10.208876,1180613
-2.621651,3.5242648,10.177752,1185618
-2.9352913,3.4955344,10.086772,1190623
-3.2202013,3.4261026,10.022128,1195628
-3.4739866,3.335123,9.904813,1200632
-3.5290532,3.265691,9.730036,1205637
-3.4021606,3.2321723,9.461885,1210642
-3.1387985,3.2489316,9.188946,1215617
-2.8898015,3.2752678,8.942344,1220622
-2.765303,3.3279405,8.765172,1225626
-2.669535,3.454833,9.313444,1230631
-2.15957,3.383007,10.907983,1235636
-2.018312,3.4332852,9.85214,1240641
-2.3080103,3.5242648,9.260772,1245615
-2.60968,3.6128504,8.576031,1250620
-2.2960393,4.0414124,8.0445175,1255625
-2.1787236,4.0557775,7.386112,1260630
-2.0159178,3.9695864,6.9120603,1265635
-1.7190368,4.0294414,6.6774287,1270640
-1.496376,4.0916905,6.469133,1275614
-1.3479356,4.1826706,6.3542113,1280619
-1.2210429,4.197036,6.445191,1285624
-1.2689269,4.1012673,6.655881,1290629
-1.3910311,4.039018,7.065289,1295634
-1.5921441,4.0414124,7.489063,1300639
-1.8842367,4.0414124,7.9511437,1305613
-2.2290018,4.0414124,8.659827,1310618
-2.456451,3.9815574,9.215282,1315623
-2.5809495,3.940856,9.746795,1320628
-2.6719291,3.904943,10.206482,1325633
-2.7485435,3.8402996,10.565612,1330637
-2.7844565,3.8187518,10.898406,1335642
