x,y,z,timestamp
-1.685518,5.6790466,8.944737,3455
-1.7310078,5.6096144,8.583213,8429
-1.697489,5.5737014,8.358158,13434
-1.6519991,5.547365,8.106767,18439
-1.6089035,5.5497594,7.953538,23444
-1.5658079,5.57849,7.929596,28449
-1.4341269,5.6215854,7.7572136,33453
-1.3311762,5.6335564,7.6135616,38458
-1.2090719,5.6790466,7.469909,43433
-1.1252748,5.710171,7.3190746,48438
-1.1372458,5.707777,7.1826053,53442
-1.1707647,5.777209,7.120356,58447
-1.2258313,5.839458,7.120356,63452
-1.2401965,5.8466406,7.132327,68457
-1.1851299,5.8562174,7.132327,73432
-1.1755531,5.8681884,7.1945763,78436
-1.2330139,5.8705826,7.40766,83441
-1.3096284,5.911284,7.654263,88446
-1.400608,5.949591,7.93199,93451
-1.4748282,5.9902925,8.281544,98456
-1.4939818,5.9759274,8.564059,103430
-1.532289,5.9759274,8.834604,108435
-1.5466543,5.9783216,8.949526,113440
-1.6208745,5.9687448,9.038112,118445
-1.6783354,5.9424086,9.083601,123450
-1.70946,5.9280434,9.093178,128455
-1.7621324,5.884948,9.011775,133429
-1.8052281,5.861006,8.865729,138434
-1.8028339,5.827487,8.690952,143439
-1.8483237,5.8562174,8.418014,148444
-1.8794483,5.8705826,8.11395,153449
-1.982399,5.9041014,7.654263,158453
-2.1428106,5.9759274,7.4627266,163458
-2.1978772,6.0262055,7.2711906,168433
-2.1404164,5.995081,7.0126166,173438
-2.0518308,5.9400144,6.703765,178442
-1.8555063,5.9160724,6.43322,183447
-1.745373,5.9160724,6.277597,188452
-1.70946,5.949591,6.1650696,193457
-1.7046716,5.9926867,5.9687448,198432
-1.757344,6.05733,5.935226,203436
-1.7788919,6.1746464,6.0716953,208441
-1.7429788,6.1004257,5.8322754,213446
-1.8363527,5.949591,5.451597,218451
-2.231396,5.959168,5.7843914,223456
-2.56419,6.114791,5.9902925,228430
-2.4708161,6.256049,6.042965,233435
-2.0638018,6.3589997,5.741296,238440
-1.7645266,6.5002575,5.45878,243445
-1.7142484,6.682217,5.8083334,248450
-1.7405846,6.813898,6.4882865,253455
-1.6496049,6.8761473,6.8665705,258429
-1.3383588,6.751649,6.8043213,263434
-1.1683705,6.5385647,6.6870055,268439
-1.1803415,6.301539,6.703765,273444
-1.3670892,6.1626754,6.7564373,278449
-1.5897499,6.2009826,6.6391215,283453
-1.7525556,6.4260373,6.4284315,288458
-1.7238252,6.576872,6.2728086,293433
