x,y,z,timestamp
-2.5091233,5.0996494,9.947908,659
-2.552219,5.058948,10.184934,5664
-2.5617957,4.9799395,10.340557,10668
-2.5091233,4.8961425,10.354922,15673
-2.44448,4.8362875,10.362105,20648
-2.327164,4.781221,10.400413,25653
-2.255338,4.7524905,10.366894,30657
-2.1787236,4.735731,10.290278,35662
-2.1691468,4.76925,10.204087,40667
-2.0949266,4.7860093,9.986216,45672
-2.0207062,4.783615,9.643845,50677
-1.9728222,4.805163,9.351752,55651
-1.9177556,4.793192,9.136273,60656
-1.9273324,4.8745947,8.832211,65661
-1.8962077,4.9679685,8.542512,70666
-1.8674773,5.0493712,8.243237,75671
-1.7836803,5.1547165,7.9224133,80676
-1.6496049,5.269638,7.5848308,85650
-1.5849615,5.3438582,7.2089415,90655
-1.673547,5.427655,7.062895,95660
-1.8507179,5.451597,7.038953,100665
-2.1068976,5.449203,7.264008,105670
-2.3630772,5.4324436,7.61835,110675
-2.2984335,5.341464,7.563283,115649
-2.492364,5.2840033,7.9367785,120654
-2.60968,5.171476,8.238448,125659
-2.755726,5.1259856,8.415619,130664
-2.9520507,5.1355624,8.523358,135668
-3.2489316,5.1547165,8.853758,140673
-3.5529952,5.2600613,9.284714,145648
-3.5434184,5.305551,9.165004,150653
-3.4332852,5.2768207,8.9998045,155657
-3.323152,5.1906295,8.853758,160662
-3.3183637,5.035006,8.619126,165667
-3.3494883,4.999093,8.425196,170672
-3.4691982,5.0014873,8.118738,175677
-3.5936968,5.068525,7.764396,180651
-3.6607344,5.183447,7.3047094,185656
-3.667917,5.2983685,6.823475,190661
-3.620033,5.57849,6.2345014,195666
-3.550601,5.8634,5.813122,200671
-3.4332852,6.105214,5.4659624,205676
-3.2609026,6.279991,5.2624555,210650
-3.0142999,6.4164605,5.118803,215655
-2.755726,6.493075,5.171476,220660
-2.6024973,6.5385647,5.3606176,225665
-2.5019407,6.5936313,5.5018754,230670
-2.4349031,6.679823,5.6239796,235675
-2.3439236,6.7229185,5.631162,240649
-2.837129,7.33344,5.1547165,245654
-3.5817258,7.4148426,5.1355624,250659
-3.7972038,7.4268136,5.5401826,255664
-3.490746,7.297527,5.523423,260668
-3.2034419,6.9000893,5.073313,265673
-3.0142999,6.945579,4.879383,270648
-3.0023289,7.0365586,5.023035,275653
-2.956839,6.861782,5.3199162,280657
-2.705448,6.6103907,5.671864,285662
-2.3391352,6.483498,5.9304376,290667
-2.1188686,6.5936313,6.0956373,295672
-2.1140802,6.777985,6.0884547,300677
-2.1643584,6.9144545,6.0285997,305651
-2.2457612,7.015011,5.997475,310656
-2.4301147,7.074866,5.971139,315661
-2.7365725,7.1466923,5.98311,320666
-3.040636,7.1586633,5.9878983,325671
-3.2944214,7.120356,6.0716953,330676
-3.4739866,7.086837,6.078878,335650
-3.5745432,7.007828,6.0477533,340655
-3.6056678,6.9599442,5.985504,345660
-3.572149,6.835446,5.947197,350665
-3.4931402,6.7444663,5.9519854,355670
-3.3973722,6.6534867,6.0381765,360675
-3.3327289,6.5744777,6.2129536,365649
-3.4739866,6.495469,6.6415157,370654
-3.2609026,6.289568,6.8186865,375659
-3.016694,6.2345014,6.6870055,380664
-2.9759927,6.2512608,6.5960255,385668
-3.1052797,6.2392898,6.7708025,390673
-3.1986535,6.169858,6.9360023,395648
-3.1435869,6.0477533,6.83784,400653
-3.1890767,5.995081,6.64391,405657
-3.265691,5.9878983,6.4547677,410662
-3.3542767,6.007052,6.3326635,415667
-3.4093432,6.030994,6.337452,420672
-3.5075054,6.0525417,6.435614,425677
-3.5003228,6.030994,6.435614,430651
-3.4524388,6.021417,6.4404025,435656
-3.3877954,6.045359,6.4978633,440661
-3.3063924,6.093243,6.579266,445666
-3.2369606,6.1219735,6.6989765,450671
-3.181894,6.1746464,6.6750345,455676
-3.1866825,6.227319,6.658275,460650
-3.2034419,6.2368956,6.6295447,465655
-3.2992098,6.2368956,6.727707,470660
-3.3854012,6.215348,6.9288197,475665
-3.3877954,6.208165,7.1059904,480670
-3.2968156,6.2512608,7.2089415,485675
-3.1842883,6.2847795,7.2089415,490649
-3.1651347,6.2943563,7.381324,495654
-3.2225955,6.2847795,7.680599,500659
-3.2489316,6.1985884,7.8888946,505664
-3.2585084,6.0645127,7.8649526,510668
-3.3207579,5.9184666,7.833828,515673
-3.3997664,5.841852,7.8529816,520648
-3.5122938,5.8346696,7.833828,525653
-3.5889084,5.8681884,7.6614456,530657
-3.6248214,5.947197,7.4244194,535662
-3.6152446,6.0118403,7.1849995,540667
-3.5170822,6.069301,6.981492,545672
-3.3877954,6.1387334,6.6965823,550677
-3.1124623,6.2105594,5.8825536,555651
-2.956839,6.3326635,4.721366,560656
-3.3159695,6.6079965,4.984728,565661
-3.5865142,6.64391,5.4204726,570666
-3.7660792,6.7013707,5.533,575671
-3.7588966,6.7229185,5.765238,580676
-3.5290532,6.5984197,6.14831,585650
-3.2680852,6.411672,6.646304,590655
-3.083732,6.2249246,7.120356,595660
-3.004723,6.1100025,7.441179,600665
-3.086126,6.1123967,7.467515,605670
-3.323152,6.1507044,7.347805,610675
-3.2872388,6.179435,6.9862804,615649
-3.1411927,6.126762,6.469133,620654
-3.145981,6.155493,6.007052,625659
-3.1866825,6.2225304,5.4899044,630664
-3.2010477,6.2392898,5.243302,635668
-3.1435869,6.227319,5.011064,640673
-3.0262709,6.1890116,4.8961425,645648
-2.8921957,6.126762,4.8698063,650653
-2.7964275,6.0381765,5.0278234,655657
-2.7988217,5.899313,5.305551,660662
-2.645593,5.777209,5.509058,665667
-2.5761611,5.7245364,5.6335564,670672
-2.6408045,5.755661,5.765238,675677
-2.6288335,5.74369,5.9878983,680651
-2.5258827,5.7005944,6.172252,685656
-2.4061728,5.6335564,6.3901243,690661
-2.3319526,5.5737014,6.706159,695666
-2.2888567,5.518635,6.9982514,700671
-2.303222,5.463568,7.3047094,705676
-2.3630772,5.3941364,7.5321584,710650
-2.4229321,5.3558292,7.716512,715655
-2.480393,5.243302,7.884106,720660
-2.5234885,5.1547165,7.9726915,725665
-2.6024973,5.094861,8.049306,730670
-2.7006595,5.0278234,8.073248,735675
-2.789245,5.0014873,8.073248,740649
-2.858677,5.097255,8.161834,745654
-2.8491,5.1355624,8.281544,750659
-2.8682537,5.0637364,8.508993,755664
-2.8682537,4.9775453,8.7053175,760668
-2.7964275,4.915296,8.992621,765673
-2.791639,4.8362875,9.205706,770648
-2.7868507,4.7524905,9.392453,775653
-2.7964275,4.6662993,9.5385,780657
-2.8874073,4.6399627,9.55047,785662
-3.0382419,4.6232033,9.500193,790667
-3.169923,4.5777135,9.351752,795672
-3.301604,4.548983,9.155427,800677
-3.4284968,4.4795513,8.784326,805651
-3.4356794,4.4556093,8.537724,810656
-3.4165258,4.4364557,8.511387,815661
-3.3566709,4.4316673,8.6813755,820666
-3.311181,4.453215,8.971074,825671
-3.1507695,4.5274353,9.301474,830676
-2.9951463,4.606444,9.442732,835650
-2.834735,4.6806645,9.490616,840655
-2.6192567,4.7165775,9.476251,845660
-2.456451,4.7141833,9.512163,850665
-2.3678656,4.6950297,9.643845,855670
-2.4037786,4.7046065,9.82341,860675
-2.5187001,4.6926355,9.988609,865649
-2.6791117,4.6686935,10.070012,870654
-2.7605145,4.630386,10.070012,875659
-2.7940333,4.5657425,10.010158,880664
-2.72939,4.5082817,9.904813,885668
-2.6384103,4.4556093,9.758766,890673
-2.566584,4.4340615,9.636662,895648
-2.5498247,4.4077253,9.476251,900653
-2.5594015,4.4436383,9.296685,905657
-2.5785553,4.4675803,8.990228,910662
-2.6024973,4.4723687,8.781932,915667
-2.7222073,4.2066126,11.556811,920672
-2.3535004,4.1706996,10.939108,925677
-2.7030537,4.280833,9.765948,930651
-3.169923,4.6040497,8.825027,935656
-3.2106245,4.936844,7.40766,940661
-3.0669725,5.0062757,6.658275,945666
-2.755726,4.8578353,6.3182983,950671
-2.4732103,4.685453,6.289568,955676
-2.2122424,4.6016555,6.1866174,960650
-2.042254,4.733337,6.054936,965655
-1.8291701,4.912902,5.8634,970660
-1.4939818,4.975151,5.6551046,975665
-1.1420342,4.999093,5.4803276,980670
-0.89303726,5.0254292,5.386954,985675
-0.91937345,5.094861,5.461174,990649
-1.0462662,5.1642933,5.66947,995654
-1.2593501,5.1475334,6.0716953,1000659
-1.388637,5.080496,6.682217,1005664
-1.3958195,5.073313,7.6351094,1010668
-1.3958195,5.121197,8.408437,1015673
-1.5107412,5.106832,9.062054,1020648
-1.7022774,5.0661306,9.5385,1025653
-1.8770541,5.020641,9.794679,1030657
-2.078167,5.0781016,9.952697,1035662
-2.1308396,5.1355624,10.125079,1040667
