x,y,z,timestamp
-1.8387469,3.4356794,9.967062,519
-1.70946,3.4284968,10.120291,5493
-1.532289,3.4045548,10.242394,10498
-1.4437037,3.4093432,10.445902,15503
-1.484405,3.4715924,10.907983,20508
-1.5394717,3.58412,11.212047,25513
-1.484405,3.5697548,11.240777,30518
-1.3790601,3.4859576,11.238382,35492
-1.2808979,3.3854012,11.061212,40497
-1.2282255,3.3494883,10.82658,45502
-1.2904748,3.3542767,10.508151,50507
-1.3503298,3.4213142,10.220847,55512
-1.4700398,3.4596214,10.158598,60517
-1.5801731,3.5362358,10.314221,65491
-1.5466543,3.596091,10.366894,70496
-1.2904748,3.6631286,10.3453455,75501
-0.93134445,3.7541082,10.204087,80505
-0.51714754,3.799598,9.904813,85510
-0.19153613,3.8953662,9.689334,90515
0.050278235,3.9863458,9.323022,95490
0.11731588,4.122815,8.971074,100494
0.023942016,4.3023806,8.734048,105499
-0.04309563,4.43885,8.664616,110504
-0.06464344,4.5801077,8.432379,115509
-0.10534488,4.7022123,8.178593,120514
-0.22744916,4.805163,8.046912,125519
-0.50517654,4.88896,7.9750857,130493
-0.6368576,4.9224787,7.630321,135498
-0.8738836,4.369418,7.1347213,140503
-1.1324574,4.144363,6.789956,145508
-1.2497733,4.235343,6.3111157,150513
-1.4149733,4.173094,6.4284315,155518
-1.472434,4.1659107,6.579266,160492
-1.6711528,3.952827,6.5265937,165497
-1.8411411,3.8498764,6.8330517,170502
-1.9728222,3.7134068,7.1514807,175507
-1.8411411,3.8426938,7.541735,180512
-1.3551182,4.3023806,8.180987,185517
-2.0757728,4.3766007,8.628703,190491
-3.442862,4.498705,9.260772,195496
-4.213795,4.795586,9.519346,200501
-4.1826706,5.133168,9.301474,205505
-4.441244,5.3007627,9.109938,210510
-4.7620673,5.391742,8.746018,215515
-5.020641,5.3582234,8.300697,220490
-5.195418,5.267244,7.704541,225494
-5.267244,5.17387,6.9647326,230499
-5.351041,5.068525,6.5696893,235504
-5.4563856,5.0014873,6.375759,240509
-5.619191,5.056554,6.2464724,245514
-5.81791,5.1523223,6.1770406,250519
-6.081272,5.3678,6.1100025,255493
-6.3087215,5.523423,6.05733,260498
-6.4380083,5.6646814,5.973533,265503
-6.5601125,5.7748146,5.9519854,270508
-6.6247563,5.865794,6.0405707,275513
-6.6510925,6.0597243,6.0597243,280518
-6.6846113,6.289568,6.0285997,285492
-6.7708025,6.4858923,6.0285997,290497
-6.7708025,6.5720835,6.1195793,295502
-6.6391215,6.528988,6.0357823,300507
-6.2871737,6.3925185,5.9304376,305512
-6.0597243,6.279991,5.971139,310517
-5.971139,6.2129536,6.0166287,315491
-5.899313,6.265626,5.9926867,320496
-5.803545,6.3470287,5.9448028,325501
-5.6910176,6.397307,5.78918,330505
-5.499481,6.5122285,5.547365,335510
-5.2385135,6.6367273,5.257667,340515
-5.0134583,6.730101,5.056554,345490
-4.855441,6.847417,4.8003745,350494
-4.560954,6.943185,4.4580035,355499
-4.3047748,6.9838862,4.050989,360504
-4.132392,6.9383965,3.7780502,365509
-3.7612908,6.9647326,2.336741,370514
-3.6966474,7.36217,-0.50517654,375519
-3.9432502,7.608773,-1.2018893,380493
-4.0222588,7.40766,-0.035913024,385498
-4.1419687,7.3286514,0.50757074,390503
-4.201824,7.357382,1.3000516,395508
-4.1371803,7.2783732,2.4995465,400513
-3.9480386,7.1275387,3.70383,405518
-3.8953662,7.026982,4.8482585,410492
-4.0294414,7.065289,5.1140146,415497
-4.24492,7.101202,4.8817773,420502
-4.3766007,7.026982,4.355053,425507
-4.4580035,6.8785415,3.7804444,430512
-4.596867,6.6870055,3.0933087,435517
-4.7285485,6.6510925,2.6623523,440491
-4.8841715,6.7085533,2.3774424,445496
-4.9919105,6.8282633,2.2122424,450501
-5.0781016,7.0006456,2.2122424,455505
-5.056554,7.1490865,2.3247697,460510
-4.9919105,7.21373,2.5115175,465515
-4.8865657,7.249643,2.789245,470490
-4.7285485,7.21373,3.1890767,475494
-4.5274353,7.144298,3.5793316,480499
-4.3287168,6.955156,4.156334,485504
-4.1922474,6.7923503,4.7261543,490509
-4.1036615,6.615179,5.5042696,495514
-3.9959226,6.4906807,6.217742,500519
-3.9097314,6.3901243,6.7468605,505493
-3.9959226,6.3111157,7.2424603,510498
-4.1252093,6.2943563,7.4723034,515503
-4.173094,6.232107,7.4627266,520508
-4.213795,6.181829,7.273585,525513
-4.2760444,6.1004257,7.050924,530518
-4.345476,5.9663506,6.777985,535492
-4.3957543,5.9184666,6.64391,540497
-4.4316673,5.923255,6.615179,545502
-4.4244847,5.9567738,6.7348895,550507
-4.3382936,6.0022635,7.026982,555512
-4.132392,6.0022635,7.410054,560517
-3.9863458,5.9687448,7.6829934,565491
-3.9145198,5.9519854,7.9272017,570496
-3.8786068,5.896919,8.042124,575501
-3.9432502,5.825093,7.9272017,580505
-4.1371803,5.7365074,7.465121,585510
-4.331111,5.6910176,7.038953,590515
-4.5896845,5.7269306,6.5816603,595490
-4.8362875,5.7748146,6.1770406,600494
-4.999093,5.887342,5.872977,605499
-5.1259856,6.10282,5.693412,610504
-4.9799395,6.3302693,4.903325,615509
-4.9344497,6.6295447,4.584896,620514
-5.0781016,6.9024835,5.106832,625519
-5.221754,7.1059904,5.707777,630493
-5.161899,7.1969705,6.1387334,635498
-4.9943047,7.0964136,6.483498,640503
-4.76925,6.9360023,6.5816603,645508
-4.5418005,6.7085533,6.588843,650513
-4.357447,6.5337763,6.505046,655518
-4.249708,6.4380083,6.2728086,660492
-4.271256,6.4044895,5.911284,665497
-4.367024,6.459556,5.758055,670502
-4.4915223,6.5241995,5.6982,675507
-4.5633483,6.5601125,5.535394,680512
-4.594473,6.5625067,5.449203,685517
-4.6662993,6.64391,5.386954,690491
