x,y,z,timestamp
-1.4053963,4.8602295,9.471462,3322
-1.2617443,4.7788267,9.478644,8327
-1.13964,4.675876,9.533711,13332
-1.1707647,4.620809,9.64145,18337
-1.2330139,4.6112323,9.548077,23341
-1.2186487,4.5872903,9.433155,28346
-1.115698,4.5633483,9.303867,33321
-1.0319009,4.5681367,9.258378,38326
-1.0127473,4.608838,9.263166,43330
-1.0510546,4.6495395,9.23683,48335
-1.0606314,4.6926355,9.315839,53340
-1.0486604,4.72376,9.378088,58345
-0.9983821,4.7500963,9.332599,63319
-0.9816227,4.7884035,9.306262,68324
-1.0199299,4.8482585,9.174581,73329
-1.0893618,4.9224787,8.980651,78334
-1.1611878,4.960786,8.7532015,83339
-1.2689269,4.996699,8.5473,88344
-1.376666,4.9775453,8.389283,93349
-1.4867992,5.0014873,8.293514,98323
-1.6400281,5.011064,8.1881695,103328
-1.8363527,5.0038815,8.212111,108333
-2.0231004,4.960786,8.379706,113338
-2.15957,4.8745947,8.583213,118343
-2.1212628,4.795586,8.719683,123348
-2.0949266,4.5657425,8.810662,128322
-1.9680338,4.63278,8.7053175,133327
-1.8674773,4.757279,8.834604,138332
-1.5969325,4.88896,8.815451,143337
-1.2306197,5.0134583,8.7053175,148341
-0.8858546,5.0421886,8.422802,153346
-0.5793968,5.0517654,8.137892,158321
-0.45729253,5.116409,7.953538,163326
-0.50757074,5.245696,7.7667904,168330
-0.62488663,5.3318872,7.5704656,173335
-1.1731589,5.1786585,7.393295,178340
-1.4772224,5.1547165,7.177817,183345
-1.7118542,5.185841,7.2233067,188320
-1.9440918,5.2840033,7.374141,193325
-2.0494366,5.389348,7.4028716,198329
-2.042254,5.403713,7.429208,203334
-2.0207062,5.33907,7.4148426,208339
-2.042254,5.243302,7.321469,213344
-2.1619642,5.140351,7.1706343,218349
-2.3056161,5.1235914,7.1059904,223323
-2.4827871,5.12838,7.103596,228328
-2.3798366,5.3845596,7.5082164,233333
-2.360683,5.092467,7.3406224,238338
-2.5115175,4.9224787,6.9647326,243343
-3.0597897,5.231331,8.291121,248348
-3.3183637,5.5401826,8.734048,253322
-3.406949,5.5497594,8.674192,258327
-3.4165258,5.363012,8.6095495,263332
-3.4284968,5.1810527,8.698134,268337
-3.5338416,5.1235914,8.48984,273341
-3.7086184,5.17387,8.063671,278346
-3.9791632,5.2887917,7.6470804,283321
-4.220978,5.386954,7.345411,288326
-4.4244847,5.4899044,6.981492,293330
-4.333505,5.729325,5.9184666,298335
-4.3598413,6.289568,3.5362358,303340
-5.035006,6.7588315,4.098873,308345
-4.7405195,6.495469,6.117185,313320
-4.158728,6.289568,6.5337763,318324
-3.739743,6.277597,6.691794,323329
-3.4500446,6.327875,7.2592196,328334
-3.2249897,6.3949127,7.4627266,333339
-3.2034419,6.4020953,7.505822,338344
-3.3063924,6.361394,7.750031,343349
-3.5242648,6.184223,7.821857,348323
-3.6367924,6.0238113,7.639898,353328
-3.643975,5.865794,7.240066,358333
-3.7612908,5.8083334,6.691794,363338
-4.0462008,5.81791,6.3470287,368343
-4.307169,5.8945246,6.2392898,373348
-4.429273,5.813122,6.220136,378322
-4.4436383,5.949591,6.399701,383327
-4.5441947,5.985504,6.6750345,388332
-4.685453,5.829881,6.981492,393337
-4.4484267,5.626374,7.357382,398341
-3.9624038,5.094861,7.5561004,403346
-3.964798,5.1020436,7.603985,408321
-4.120421,5.2983685,7.5584946,413326
-4.1132383,5.3486466,7.477092,418330
-4.1395745,5.4539914,7.393295,423335
-4.1036615,5.542577,7.290344,428340
-4.086902,5.6215854,7.117962,433345
-4.0916905,5.7508726,6.8426285,438320
-4.0438066,5.896919,6.567295,443324
-3.9671922,6.054936,6.4164605,448329
-3.9839516,6.2584434,6.31351,453334
-4.086902,6.43322,6.2608376,458339
-4.0821137,6.4619503,6.327875,463344
-3.9576154,6.4906807,6.244078,468349
-3.8235402,6.469133,6.0956373,473323
-3.7325604,6.447585,5.93762,478328
-3.632004,6.469133,5.9064956,483333
-3.5529952,6.469133,5.872977,488338
-3.4596214,6.4308257,5.801151,493343
-3.3423057,6.5122285,5.583278,498348
-3.2321723,6.615179,5.398925,503322
-3.2130187,6.6965823,5.2145715,508327
-3.2465374,6.8186865,5.080496,513332
-3.2752678,6.931214,4.9344497,518337
-3.383007,7.005434,4.6806645,523341
-3.5051112,6.9503675,4.4484267,528346
-3.6511576,6.897695,4.369418,533321
-3.8355112,6.8665705,4.331111,538326
-4.06296,6.9024835,4.3622355,543330
-4.280833,6.9288197,4.4675803,548335
-4.606444,6.9838862,4.6926355,553340
-4.8386817,7.062895,4.9344497,558345
-5.0637364,7.132327,5.2169657,563319
-5.2744265,7.2592196,5.5377884,568324
-5.544971,7.419631,5.78918,573329
-5.746084,7.5584946,6.0621185,578334
-5.767632,7.5201874,6.1866174,583339
-5.659893,7.422025,6.0262055,588344
-5.4683566,7.2711906,5.6766524,593349
-5.33907,7.089231,5.2361193,598323
-5.269638,6.9240313,4.735731,603328
-5.29358,6.8641763,4.4915223,608333
-5.3486466,6.8210807,4.1276035,613338
-5.305551,6.7971387,3.7253778,618343
-4.999093,6.742072,2.8443117,623348
-4.307169,7.101202,-2.231396,628322
-5.0014873,7.752425,-4.3957543,633327
-5.1930237,7.477092,-1.4628572,638332
-4.7309427,7.0006456,1.4820108,643337
-4.27365,6.825869,3.5051112,648342
-4.0078936,6.9527617,5.3438582,653346
-4.084508,7.1107793,6.5002575,658321
-4.295198,7.204153,7.3406224,663326
-4.462792,7.2233067,7.711724,668330
-4.6040497,7.275979,7.5321584,673335
-4.663905,7.469909,6.670246,678340
-4.43885,7.410054,5.770026,683345
-4.1491513,7.165846,4.8602295,688319
-4.024653,7.007828,4.0462008,693324
-4.110844,7.007828,3.3399115,698329
-4.417302,7.089231,2.4971523,703334
-4.6806645,7.249643,1.8148049,708339
-4.948815,7.386112,1.5011644,713344
-5.1259856,7.4603324,1.2545617,718349
-5.267244,7.4723034,0.9888053,723323
-5.497087,7.455544,0.7422025,728328
-5.7005944,7.410054,0.6440403,733333
-5.9041014,7.3430166,0.7613561,738338
