x,y,z,timestamp
-2.0159178,3.4691982,9.054871,602
-1.9871874,3.490746,9.244013,5607
-1.9632454,3.5075054,9.423578,10581
-1.9129672,3.53863,9.560047,15586
-1.8602947,3.5577838,9.672575,20591
-1.8698715,3.5482068,9.773131,25596
-1.9608512,3.5673606,9.847352,30601
-2.0135236,3.5673606,9.923966,35606
-2.0614076,3.5769374,10.000581,40611
-2.1260512,3.550601,10.134656,45585
-2.1763294,3.5362358,10.206482,50590
-2.2290018,3.5338416,10.261548,55595
-2.2649148,3.572149,10.304645,60600
-2.2481554,3.6176388,10.283096,65604
-2.2505496,3.6391866,10.251971,70609
-1.9871874,3.3734303,10.149021,75584
-1.5466543,3.004723,10.395624,80589
-1.7788919,3.359065,10.263943,85593
-1.8626889,3.5745432,9.414001,90598
-2.2026656,3.122039,8.760384,95603
-2.2984335,3.1004913,8.616732,100608
-2.6527755,3.4739866,8.815451,105583
-2.621651,3.6655228,9.016563,110588
-2.4756045,3.7349546,9.196129,115592
-2.3104045,3.6727054,9.088389,120597
-2.195483,3.5889084,8.918402,125602
-2.0973208,3.5075054,8.834604,130607
-1.934515,3.4715924,8.860941,135581
-1.8243817,3.4261026,8.911219,140586
-1.7286136,3.3662477,8.985439,145591
-1.673547,3.335123,9.093178,150596
-1.6424223,3.3566709,9.299079,155601
-1.685518,3.4237084,9.572019,160606
-1.6232687,3.4620156,9.617508,165611
-1.553837,3.4931402,9.610326,170585
-1.5370775,3.5577838,9.595961,175590
-1.5562311,3.6152446,9.672575,180595
-1.5298948,3.727772,9.667787,185600
-1.472434,3.7660792,9.6845455,190604
-1.376666,3.7660792,9.667787,195609
-1.2976574,3.8187518,9.600749,200584
-1.2330139,3.9504328,9.512163,205589
-1.1324574,4.072537,9.361329,210593
-1.0630256,4.187459,9.138668,215598
-0.9864111,4.2784386,8.89446,220603
-0.8858546,4.309563,8.829816,225608
-0.7350199,4.31914,8.949526,230583
-0.7110779,4.2161894,9.258378,235588
-0.866701,3.7110126,9.586384,240592
-0.7517793,3.5553896,9.598354,245597
-0.6584055,3.739743,9.617508,250602
-0.533907,3.9600096,9.785102,255607
-0.47644615,4.086902,9.861717,260581
-0.5746084,4.0916905,9.619903,265586
-0.92895025,3.9959226,9.119514,270591
-1.3335704,3.8977604,8.389283,275596
-1.5658079,3.892972,7.8027034,280601
-1.6927006,4.0078936,7.0844426,285606
-1.6591818,4.0653543,6.2488666,290611
-1.6519991,4.225766,5.9041014,295585
-1.6807296,4.3646297,5.935226,300590
-1.7070658,4.381389,6.007052,305595
-1.6998832,4.4101195,6.0501475,310600
-1.6663644,4.525041,6.1530986,315604
-1.5921441,4.584896,6.4044895,320609
-1.520318,4.618415,6.895301,325584
-1.4293385,4.5082817,7.314286,330589
-1.316811,4.2999864,7.7069354,335593
-1.2497733,4.1395745,8.02297,340598
-1.2665327,4.122815,8.267179,345603
-1.352724,4.232949,8.59279,350608
-1.4053963,4.3502645,8.89446,355583
-1.4820108,4.441244,9.258378,360588
-1.6328455,4.4723687,9.713276,365592
-1.7980455,4.4819455,10.3214035,370597
-1.8794483,4.486734,10.745177,375602
-1.8722657,4.4723687,10.828975,380607
-1.8459295,4.453215,10.718841,385581
-1.8004397,4.4460325,10.551247,390586
-1.721431,4.4244847,10.242394,395591
-1.6950948,4.4436383,9.768343,400596
-1.6950948,4.4675803,9.3182335,405601
-1.7070658,4.548983,8.889671,410606
-1.7741034,4.6495395,8.556877,415611
-1.9632454,4.7740383,8.446744,420585
-2.372654,4.996699,8.319851,425590
-2.695871,5.1762643,8.101978,430595
-3.086126,5.3366756,7.8386164,435600
-3.4237084,5.3965306,7.608773,440604
-3.6367924,5.41329,7.489063,445609
-3.6343982,5.3079453,7.5968018,450584
-3.2632968,5.267244,7.687782,455589
-2.7269957,5.0661306,7.489063,460593
-2.5809495,4.9224787,7.019799,465598
-2.6001031,4.879383,7.091625,470603
-2.7724855,5.0493712,7.029376,475608
-2.8395233,5.183447,6.8067155,480583
-2.7724855,5.281609,6.349423,485588
-2.6839,5.341464,6.078878,490592
-2.6264393,5.379771,5.997475,495597
-2.4660277,5.391742,5.8226986,500602
-2.5570073,5.425261,5.884948,505607
-2.779668,5.4444146,6.1123967,510581
-2.89459,5.547365,6.5002575,515586
-2.7820623,5.722142,6.7564373,520591
-2.7246015,5.803545,6.943185,525596
-2.719813,5.145139,7.467515,530601
-3.667917,5.33907,7.785944,535606
-4.010288,5.7604494,7.675811,540611
-4.261679,5.827487,7.6853876,545585
-4.699818,5.6431336,8.0924015,550590
-4.9416323,5.6527104,8.166622,555595
-4.534618,5.8107276,7.7907324,560600
-4.4005427,5.7508726,7.2927384,565604
-4.6686935,5.315128,6.9719152,570609
-4.6160207,5.080496,6.670246,575584
-3.8977604,5.183447,6.1866174,580589
-3.5984852,5.3821654,6.131551,585593
-4.000711,5.329493,6.4284315,590598
-4.2784386,5.5856724,6.50744,595603
-4.3143516,5.7987566,6.4380083,600608
-4.036624,6.030994,6.2584434,605583
-3.7445314,6.3230867,6.2632318,610588
-3.9743748,6.1746464,6.3350577,615592
-4.2544966,6.14831,6.351817,620597
-4.3766007,6.215348,6.2512608,625602
-4.187459,6.619968,6.081272,630607
-4.378995,6.6391215,5.947197,635581
-4.8123455,6.457162,5.889736,640586
-5.0158525,6.399701,5.7867856,645591
-4.9464207,6.3805475,5.6670756,650596
-4.6806645,6.6175733,5.461174,655601
