x,y,z,timestamp
-0.93373865,3.8355112,9.495404,550
-1.0319009,3.8642416,9.406818,5555
-1.0989386,3.8905778,9.272743,10560
-1.0965444,3.8474822,9.093178,15564
-1.043872,3.8163576,8.90643,20569
-0.92655605,3.8163576,8.719683,25544
-0.8643068,3.8019924,8.556877,30549
-0.842759,3.833117,8.401254,35553
-0.92176765,3.8642416,8.305486,40558
-1.0007763,3.9193082,8.291121,45563
-1.115698,3.9504328,8.350976,50568
-1.2042835,3.9743748,8.403648,55542
-1.3024458,4.015076,8.516175,60547
-1.42455,4.0174704,8.700529,65552
-1.4700398,3.9959226,8.916007,70557
-1.4437037,3.9480386,9.179369,75562
-1.400608,3.8857894,9.471462,80567
-1.3383588,3.7924154,9.739613,85541
-1.2545617,3.7205894,10.0341,90546
-1.3120226,3.8259344,10.374076,95551
-1.3479356,3.9097314,10.560823,100556
-1.3575124,3.9863458,10.7356,105561
-1.3239936,3.9743748,10.905589,110565
-1.3383588,3.9025488,10.970232,115570
-1.4293385,3.7493198,10.94629,120545
-1.5801731,3.6248214,10.924743,125550
-1.8938135,3.4739866,10.8624935,130555
-2.1452048,3.4715924,10.888829,135560
-2.2768857,3.6128504,10.807426,140564
-2.2266076,3.8857894,10.524911,145569
-2.0566192,4.0701427,10.15381,150544
-1.934515,4.10845,9.775525,155549
-1.7884687,4.1635165,9.31105,160553
-1.6041151,4.247314,8.746018,165558
-1.3431472,4.4244847,7.867347,170563
-1.1468226,4.5753193,7.2113357,175568
-1.1372458,4.685453,6.5601125,180542
-1.1061212,4.8817773,6.172252,185547
-1.2425907,5.0158525,6.030994,190552
-1.5227122,5.1762643,6.2512608,195557
-1.745373,5.2361193,6.567295,200562
-1.8531121,5.2600613,6.8665705,205567
-1.9297266,5.2049947,7.165846,210541
-1.9991584,5.0254292,7.369353,215546
-1.9776106,4.745308,7.563283,220551
-2.0733786,4.5872903,7.929596,225556
-2.4420857,4.781221,8.274361,230561
-2.791639,4.8985367,8.549694,235566
-3.0142999,4.8961425,8.652645,240570
-3.2848446,4.9081135,8.918402,245545
-3.4380736,4.9057193,9.069236,250550
-3.5410242,4.9344497,9.11712,255555
-3.6774938,4.987122,9.0716305,260560
-3.799598,5.171476,8.882488,265564
-4.0892963,5.327099,8.62152,270569
-4.2185836,5.427655,8.497022,275544
-4.237737,5.5018754,8.228871,280549
-4.237737,5.497087,7.8888946,285553
-4.220978,5.473145,7.4986396,290558
-4.1539397,5.4539914,7.0102224,295563
-4.096479,5.4420204,6.691794,300568
-4.1683054,5.5258174,6.4858923,305542
-4.1683054,5.662287,6.38773,310547
-4.098873,5.805939,6.3829417,315552
-4.0438066,6.081272,6.4140663,320557
-4.0701427,6.43322,6.4882865,325562
-4.220978,6.658275,6.5361705,330567
-4.4364557,6.751649,6.5601125,335541
-4.6519337,6.6391215,6.4547677,340546
-4.8506527,6.397307,6.2967505,345551
-5.020641,6.019023,6.126762,350556
-5.032612,5.755661,5.9902925,355561
-5.056554,5.583278,5.889736,360566
-5.085284,5.523423,5.839458,365570
-5.106832,5.518635,5.7245364,370545
-4.951209,5.4899044,5.535394,375550
-4.8362875,5.5138464,5.3103395,380555
-4.912902,5.7724204,5.1140146,385560
-5.0254292,6.105214,5.0014873,390564
-5.0996494,6.38773,4.8745947,395569
-5.1786585,6.631939,4.642357,400544
-5.2409077,6.679823,4.3502645,405549
-4.9105077,6.215348,3.9983168,410553
-4.9296613,6.0956373,3.596091,415558
-5.446809,6.435614,3.3039982,420563
-5.518635,6.483498,3.1052797,425568
-5.8945246,6.9958572,3.0119057,430542
-6.129156,7.469909,2.4349031,435547
-5.9424086,7.7069354,-0.19153613,440552
-6.2584434,8.240842,-2.873042,445557
-6.4380083,8.118738,-2.2409728,450562
-6.1387334,7.723695,-1.3862427,455567
-5.74369,7.4363904,-0.076614454,460541
-5.48751,7.201759,1.5849615,465546
-5.3103395,6.921637,3.1483753,470551
-5.073313,6.615179,4.7884035,475556
-4.912902,6.4858923,5.722142,480561
-4.7261543,6.38773,6.229713,485565
-4.548983,6.3350577,6.3446345,490570
-4.4460325,6.3709707,6.1626754,495545
-4.4843397,6.555324,5.7604494,500550
-4.673482,6.8091097,5.379771,505555
-4.9416323,7.038953,4.9799395,510560
-5.2720323,7.2544312,4.620809,515564
-5.5617304,7.3669586,4.345476,520569
-5.734113,7.3406224,4.110844,525544
-5.7867856,7.21373,3.976769,530549
-5.753267,7.03177,3.940856,535553
-5.731719,6.9647326,3.9193082,540558
-5.741296,7.026982,4.146757,545563
-5.6790466,7.21373,4.4556093,550568
-5.5880666,7.4004774,4.687847,555542
-5.463568,7.4986396,4.8626237,560547
-5.3462524,7.5704656,5.011064,565552
-5.221754,7.5441294,5.1259856,570557
-5.1259856,7.431602,5.1116204,575562
