x,y,z,timestamp
-1.5179238,4.343082,10.18254,3754
-1.4867992,4.3382936,10.093954,8759
-1.4508862,4.31914,9.959879,13764
-1.4437037,4.31914,9.8042555,18769
-1.4389153,4.3167458,9.557653,23774
-1.3551182,4.3167458,9.215282,28779
-1.352724,4.345476,8.983045,33753
-1.328782,4.3598413,8.78672,38758
-1.316811,4.3981485,8.561666,43763
-1.3455414,4.4125137,8.374918,48768
-1.3838485,4.429273,8.259995,53772
-1.4149733,4.4484267,8.130709,58777
-1.460463,4.4580035,8.032547,63752
-1.5035586,4.4675803,8.066066,68757
-1.5346833,4.462792,8.171411,73762
-1.5155296,4.4675803,8.331821,78766
-1.520318,4.4580035,8.446744,83771
-1.4987702,4.4675803,8.50181,88776
-1.4460979,4.489128,8.532935,93781
-1.364695,4.5202527,8.559271,98755
-1.3479356,4.5202527,8.6574335,103760
-1.3718776,4.5178585,8.781932,108765
-1.4317327,4.525041,8.889671,113770
-1.496376,4.51307,8.995016,118775
-1.5346833,4.489128,9.074024,123780
-1.5179238,4.4484267,9.126697,128754
-1.4437037,4.3742065,9.138668,133759
-1.3694834,4.357447,9.112331,138764
-1.3455414,4.3622355,8.987833,143769
-1.3551182,4.4077253,8.808268,148774
-1.3910311,4.4436383,8.604761,153779
-1.4915876,4.486734,8.264784,158753
-1.5801731,4.5058875,8.061277,163758
-1.6496049,4.5753193,8.307879,168763
-1.532289,4.510676,8.389283,173768
-1.5298948,4.525041,8.111555,178772
-1.6879122,4.5274353,8.001422,183777
-1.7286136,4.534618,7.702147,188752
-1.7310078,4.5896845,7.457938,193757
-1.6400281,4.654328,7.3645644,198762
-1.5394717,4.6686935,7.489063,203766
-1.2761095,4.6495395,7.759608,208771
-1.115698,4.5992613,7.9702973,213776
-1.0007763,4.5513773,8.123527,218781
-1.0295067,4.5681367,8.252813,223755
-1.1899183,4.6040497,8.456321,228760
-1.4413095,4.711789,8.813056,233765
-1.661576,4.7907977,9.112331,238770
-1.8028339,4.84347,9.339781,243775
-1.8770541,4.865018,9.483433,248780
-1.9249382,4.8817773,9.627085,253754
-1.9680338,4.8745947,9.701305,258759
-1.922544,4.8937483,9.713276,263764
-1.8507179,4.9105077,9.763555,268769
-1.7764976,4.927267,9.706094,273774
-1.7166426,4.9176903,9.689334,278779
-1.6256629,4.9200845,9.655815,283753
-1.5777789,4.867412,9.615114,288758
-1.541866,4.865018,9.483433,293763
-1.5179238,4.853047,9.349358,298768
-1.5131354,4.865018,9.19134,303772
-1.5729905,4.8243165,8.908825,308777
-1.6807296,4.8458643,8.683769,313752
-1.7884687,4.876989,8.461109,318757
-1.8986019,4.924873,8.281544,323762
-2.0111294,4.9105077,8.137892,328766
