x,y,z,timestamp
-1.2665327,4.783615,10.283096,556
-1.2737153,4.831499,10.081984,5531
-1.3670892,4.9200845,9.763555,10536
-1.541866,4.9583917,9.512163,15540
-1.6879122,4.9703627,9.299079,20545
-1.7549498,4.9679685,8.971074,25550
-1.7812861,4.975151,8.662222,30555
-1.8100165,4.999093,8.286332,35560
-1.8483237,5.0517654,8.109161,40534
-1.8243817,5.094861,7.93199,45539
-1.7669208,5.1571107,7.7667904,50544
-1.7070658,5.2121773,7.603985,55549
-1.6543933,5.267244,7.429208,60554
-1.6400281,5.3678,7.3190746,65559
-1.6567876,5.4683566,7.2951326,70533
-1.6328455,5.5377884,7.132327,75538
-1.6304513,5.571307,6.9168487,80543
-1.6998832,5.6239796,6.6965823,85548
-1.7645266,5.6527104,6.655881,90553
-1.8435353,5.657499,6.682217,95558
-1.946486,5.671864,6.9407907,100532
-1.9800048,5.6335564,7.2185183,105537
-2.0614076,5.6215854,7.800309,110542
-2.066196,5.5880666,8.271967,115546
-2.0278888,5.542577,8.604761,120551
-2.0566192,5.4803276,8.736442,125556
-2.123657,5.422867,8.669404,130531
-2.3582888,5.391742,8.504205,135536
-2.5354595,5.386954,8.350976,140541
-2.6791117,5.4085016,8.212111,145545
-2.8275523,5.449203,8.027759,150550
-2.873042,5.461174,7.824251,155555
-2.908955,5.499481,7.5441294,160560
-2.8083985,5.568913,7.314286,165534
-2.695871,5.645528,6.9862804,170539
-2.621651,5.693412,6.6654577,175544
-2.4756045,5.7149596,6.435614,180549
-2.360683,5.638345,6.131551,185554
-2.9017725,5.3582234,5.544971,190559
-3.2345665,5.315128,5.521029,195533
-3.3087866,5.494693,5.2049947,200538
-3.0573955,5.8226986,4.9296613,205543
-2.6288335,6.021417,5.3199162,210548
-2.456451,6.0405707,5.9160724,215553
-2.420538,6.1100025,6.1938,220558
-2.336741,6.172252,6.220136,225532
-2.1164744,6.1507044,6.2823853,230537
-1.7549498,6.066907,6.6391215,235542
-1.6376339,5.949591,6.871359,240546
-1.6472107,5.949591,6.955156,245551
-1.7836803,6.0645127,6.9264255,250556
-1.99437,6.229713,6.823475,255531
-2.087744,6.3542113,6.64391,260536
-2.1643584,6.3829417,6.4404025,265541
-2.2385786,6.3446345,6.2823853,270545
-2.3582888,6.3111157,6.14831,275550
-2.504335,6.208165,5.959168,280555
-2.6551697,6.093243,5.746084,285560
-2.7724855,5.9639564,5.4683566,290534
-2.7868507,5.8945246,5.3462524,295539
-2.6671407,5.829881,5.2600613,300544
-2.468422,5.753267,5.2959743,305549
-2.3391352,5.66947,5.4420204,310554
-2.207454,5.583278,5.7748146,315559
-2.066196,5.556942,6.0238113,320533
-1.9608512,5.5521536,6.4619503,325538
-1.8722657,5.6359506,7.132327,330543
-1.7788919,5.741296,7.9607205,335548
-1.5729905,5.827487,8.896853,340553
-1.3024458,5.770026,9.339781,345558
-1.163582,5.6335564,9.710882,350532
-1.2162545,5.4779334,10.101137,355537
-1.3790601,5.482722,10.414778,360542
-1.6519991,5.619191,10.5680065,365546
-1.8746599,5.758055,10.407595,370551
-1.970428,5.851429,10.096349,375556
-1.9991584,5.8921304,9.797073,380531
-1.9752164,5.947197,9.545682,385536
-1.9416976,5.9543796,9.284714,390540
-1.8938135,5.947197,8.961497,395545
-1.8100165,5.973533,8.571242,400550
-1.7669208,5.947197,8.192958,405555
-1.7429788,5.8681884,7.8888946,410560
-1.7477672,5.753267,7.6710224,415534
-1.7238252,5.6982,7.5824366,420539
-1.7477672,5.6670756,7.501034,425544
-1.8267759,5.671864,7.410054,430549
-1.946486,5.6790466,7.350199,435554
-1.8746599,5.5880666,7.8146744,440559
-1.8770541,5.693412,7.5106106,445533
-2.2864625,5.755661,7.6375036,450538
-2.6360161,5.803545,7.6111674,455543
-2.695871,5.865794,7.2113357,460548
-2.4109612,5.8466406,6.9862804,465553
-2.0326772,5.7125654,7.0102224,470558
-1.6927006,5.5401826,7.156269,475532
-1.484405,5.4683566,7.347805,480537
-1.3479356,5.5521536,7.4603324,485542
-1.4077905,5.6910176,7.589619,490546
-1.4460979,5.8083334,7.726089,495551
-1.4532804,5.758055,7.9152308,500556
-1.5131354,5.650316,8.085219,505531
-1.6831238,5.638345,8.226477,510536
-1.8794483,5.683835,8.3390045,515541
-2.1188686,5.695806,8.3821,520545
-2.2026656,5.657499,8.322245,525550
-2.2529438,5.60722,8.135497,530555
-2.291251,5.511452,7.836222,535560
-2.3295584,5.4563856,7.539341,540534
-2.3750482,5.4204726,7.16824,545539
-2.4109612,5.3678,6.9024835,550544
-2.4109612,5.3342814,6.655881,555549
-2.3439236,5.303157,6.5098343,560554
-2.3223755,5.3342814,6.3470287,565559
-2.207454,5.33907,6.2488666,570533
-2.1092918,5.353435,6.169858,575538
-1.9800048,5.3821654,6.184223,580543
-1.8195933,5.401319,6.2105594,585548
-1.673547,5.446809,6.301539,590553
-1.4915876,5.4779334,6.5361705,595558
-1.3575124,5.494693,6.7612257,600532
-1.2401965,5.506664,7.00304,605537
-1.1540052,5.533,7.299921,610542
-1.115698,5.523423,7.5800424,615546
-1.0941502,5.5162406,7.8649526,620551
-1.1013328,5.5018754,8.013393,625556
-1.1707647,5.482722,8.101978,630531
-1.2521675,5.511452,8.094796,635536
-1.3742718,5.506664,8.133103,640541
-1.4820108,5.475539,8.224083,645545
-1.5825673,5.439626,8.331821,650550
-1.6376339,5.3725886,8.556877,655555
-1.673547,5.3558292,8.808268,660560
-1.6759412,5.327099,9.059659,665534
-1.6352397,5.269638,9.351752,670539
-1.5825673,5.2121773,9.615114,675544
-1.5466543,5.1906295,9.878476,680549
-1.5777789,5.171476,10.103531,685554
-1.5945383,5.0996494,10.177752,690559
-1.6496049,5.023035,10.21127,695533
-1.7980455,4.9919105,10.19451,700538
-1.9321208,5.0014873,10.115502,705543
-2.0039468,4.999093,9.935937,710548
-1.9728222,5.00867,9.715671,715553
-1.8387469,5.0278234,9.334992,720558
-1.7046716,5.0397944,10.3453455,725532
-1.1468226,4.900931,10.582372,730537
-1.2521675,5.106832,9.267955,735542
-1.6400281,5.171476,8.614338,740546
-1.6927006,5.207389,7.3430166,745551
-1.6663644,5.3701944,6.967127,750556
-1.553837,5.3247046,7.098808,755531
-1.3431472,5.142745,7.2687964,760536
-1.1827357,5.0062757,7.335834,765541
-1.1204864,5.0397944,7.3071036,770545
-1.2306197,5.1930237,7.3190746,775550
-1.4437037,5.2768207,7.5106106,780555
-1.6807296,5.3007627,7.81228,785560
-1.8052281,5.2648497,8.123527,790534
-1.8483237,5.255273,8.418014,795539
-1.8243817,5.2049947,8.645462,800544
-1.8124107,5.161899,8.738836,805549
-1.8195933,5.142745,8.743625,810554
-1.8124107,5.149928,8.659827,815559
-1.7525556,5.12838,8.504205,820533
