x,y,z,timestamp
-1.5634137,5.1810527,9.9790325,3226
-1.5825673,5.207389,9.967062,8231
-1.4580688,5.2145715,9.959879,13236
-1.2689269,5.159505,9.895236,18241
-1.1659763,5.130774,9.832987,23215
-1.1875241,5.1523223,9.674969,28220
-1.2545617,5.171476,9.461885,33225
-1.30484,5.1666875,9.246407,38230
-1.2641385,5.0374002,8.7532015,43234
-1.484405,5.106832,8.62152,48239
-1.7621324,5.209783,8.377312,53214
-1.9752164,5.3103395,8.190564,58219
-2.0973208,5.33907,7.8912888,63224
-2.078167,5.353435,7.6351094,68228
-1.9919758,5.279215,7.383718,73233
-1.9488802,5.1475334,7.0820484,78238
-1.9416976,5.032612,6.6846113,83213
-2.0566192,5.085284,6.6175733,88217
-2.2960393,5.142745,6.579266,93222
-2.7030537,5.353435,6.5457473,98227
-2.7868507,5.257667,6.5960255,103232
-2.9496565,5.1379566,6.801927,108237
-3.1268275,5.0517654,7.1059904,113211
-3.3135753,5.056554,7.431602,118216
-3.514688,5.0541596,7.800309,123221
-3.6487634,5.0996494,8.207323,128226
-3.7205894,5.035006,8.48984,133231
-3.6822822,5.0254292,8.62152,138236
-3.5553896,5.0134583,8.76996,143241
-3.4237084,5.0134583,8.901642,148215
-3.335123,5.0517654,8.63828,153220
-3.4524388,5.12838,8.429984,158225
-3.6727054,5.207389,8.063671,163230
-3.8857894,5.2480903,7.620744,168234
-4.0940847,5.2648497,7.314286,173239
-4.211401,5.2887917,6.9838862,178214
-4.3119574,5.33907,6.943185,183219
-4.283227,5.377377,6.9527617,188224
-4.144363,5.4300494,6.909666,193228
-3.9839516,5.4779334,6.9407907,198233
-3.8379054,5.568913,7.0844426,203238
-3.7445314,5.5976434,7.2304893,208213
-3.7421372,5.6551046,7.2711906,213217
-3.751714,5.710171,7.2687964,218222
-3.8187518,5.767632,7.2185183,223227
-3.928885,5.815516,7.153875,228232
-4.0940847,5.901707,6.8162923,233237
-3.7972038,6.622362,7.00304,238211
-4.1299977,6.7085533,6.3087215,243216
-4.6495395,6.3302693,5.9400144,248221
-4.474763,5.8466406,5.6120086,253226
-4.197036,5.628768,5.3199162,258231
-4.197036,5.8442464,5.0637364,263236
-4.268862,6.114791,5.1523223,268241
-4.1012673,6.1530986,5.327099,273215
-3.6224272,5.9519854,5.4444146,278220
-3.359065,5.710171,5.6239796,283225
-3.301604,5.791574,6.1219735,288230
-3.311181,6.033388,6.361394,293235
-3.3039982,6.1938,6.3781533,298240
-3.2632968,6.2991447,6.423643,303214
-3.335123,6.4404025,6.411672,308219
-3.4356794,6.5481415,6.375759,313224
-3.5122938,6.6415157,6.3661823,318228
-3.5745432,6.7013707,6.3302693,323233
-3.596091,6.71813,6.256049,328238
-3.5936968,6.6893997,6.0621185,333213
-3.5338416,6.658275,5.9304376,338217
-3.4452562,6.6271505,5.8107276,343222
-3.3901896,6.5361705,5.746084,348227
-3.3303347,6.447585,5.7628436,353232
-3.1914709,6.2991447,5.875371,358237
-3.1148565,6.215348,6.078878,363211
-3.028665,6.1770406,6.3206925,368216
-2.9712043,6.10282,6.576872,373221
-2.9592333,6.0645127,6.83784,378226
-2.954445,6.0381765,7.07726,383231
-2.9712043,6.0357823,7.1969705,388236
-3.0095115,6.021417,7.311892,393241
-2.9855695,5.985504,7.374141,398215
-2.9735985,5.9902925,7.4148426,403220
-2.9759927,5.971139,7.4842744,408225
-3.0071173,5.98311,7.5106106,413230
-3.0358477,5.9280434,7.553706,418235
-2.980781,5.935226,7.513005,423239
-2.918532,5.913678,7.477092,428214
-2.7700913,5.925649,7.441179,433219
-2.6312277,5.9448028,7.3645644,438224
-2.4971523,5.935226,7.3047094,443228
-2.384625,5.9400144,7.204153,448233
-2.336741,5.9424086,7.1371155,453238
-2.4013844,5.9567738,7.1395097,458213
-2.528277,5.932832,7.2209125,463217
-2.6264393,5.925649,7.4866686,468222
-2.6001031,5.9663506,7.656657,473227
-2.6240451,6.0022635,7.740454,478232
-2.6408045,6.0166287,7.6710224,483237
-2.5833437,5.959168,7.656657,488211
-2.4995465,5.884948,7.6973586,493216
-2.3894134,5.825093,7.836222,498221
-2.3582888,5.781997,8.305486,503226
-2.3918076,5.7365074,8.882488,508231
-2.4253263,5.695806,9.220071,513236
-2.396596,5.7125654,9.452309,518241
-2.207454,5.6886234,9.229648,523215
-2.0015526,5.647922,9.064447,528220
-1.7908629,5.614403,8.913613,533225
-1.541866,5.5976434,8.511387,538230
-1.3623008,5.6527104,8.070854,543234
-1.151611,5.470751,6.399701,548239
-1.0654198,5.5856724,6.0118403,553214
-1.4053963,5.8442464,6.033388,558219
-2.0709844,6.1123967,6.600814,563224
-2.5570073,6.754043,6.7229185,568228
-2.7222073,7.275979,6.2967505,573233
-2.6001031,7.371747,5.9998693,578238
-2.303222,7.041347,6.0166287,583213
-1.7717092,6.4499793,6.351817,588217
-1.4413095,6.157887,6.6056023,593222
-1.283292,6.090849,6.7947445,598227
-1.328782,6.14831,6.9000893,603232
-1.4652514,6.256049,6.9288197,608237
-1.6232687,6.301539,6.8330517,613211
-1.6759412,6.205771,6.6774287,618216
-1.70946,6.007052,6.5577183,623221
-1.8124107,5.815516,6.588843,628226
-1.946486,5.74369,6.7803793,633231
-2.1691468,5.781997,6.981492,638236
-2.2050598,5.9543796,7.0581064,643241
-2.3199813,5.9998693,7.1251445,648215
-2.3511062,5.9687448,7.1347213,653220
-2.348712,5.920861,7.1371155,658225
-2.3822308,5.851429,7.1107793,663230
-2.1811178,5.657499,7.055712,668234
-2.1164744,5.707777,7.156269,673239
-1.8986019,5.681441,7.0221934,678214
-1.9656396,5.705383,6.88333,683219
-2.0709844,5.753267,6.6870055,688224
-2.0326772,5.7269306,6.5744777,693228
-1.9416976,5.645528,6.4643445,698233
-1.8698715,5.5641246,6.3709707,703238
-1.8770541,5.530606,6.385336,708213
-1.8842367,5.5162406,6.4858923,713217
-1.8626889,5.506664,6.6415157,718222
-1.8387469,5.4779334,6.8402343,723227
-1.8626889,5.463568,7.0365586,728232
-1.8579005,5.4539914,7.216124,733237
-1.8914193,5.410896,7.381324,738211
-1.9129672,5.3725886,7.505822,743216
-1.9297266,5.3247046,7.6351094,748221
-1.9081788,5.303157,7.7428484,753226
-1.8746599,5.2744265,7.8410106,758231
-1.7525556,5.1523223,7.8745294,763236
-1.6017209,5.1642933,7.9511437,768241
-1.7262194,5.2528787,7.8027034,773215
-1.8507179,5.3199162,7.8050976,778220
-1.8890251,5.386954,7.726089,783225
-1.8531121,5.427655,7.642292,788230
-1.6998832,5.427655,7.5441294,793235
-1.5705963,5.389348,7.5704656,798239
-1.436521,5.3223104,7.666234,803214
-1.3958195,5.2409077,7.881712,808219
-1.4053963,5.142745,8.094796,813224
-1.4077905,5.068525,8.429984,818228
-1.42455,4.9943047,8.815451,823233
-1.4867992,4.924873,9.260772,828238
-1.5586253,4.8338933,9.586384,833213
-1.733402,4.7668557,9.933543,838217
-1.958457,4.656722,10.395624,843222
-2.0494366,4.6040497,10.716447,848227
-2.1428106,4.5801077,11.015722,853232
-2.243367,4.5657425,11.281479,858237
-2.3223755,4.5274353,11.437101,863211
-2.4229321,4.441244,11.398794,868216
-2.44448,4.405331,11.224017,873221
-2.4636335,4.3837833,10.941502,878226
-2.4420857,4.3598413,10.608707,883231
-2.4827871,4.237737,11.963826,888236
-2.2840683,4.223372,11.6430025,893241
-2.7006595,4.4675803,10.304645,898215
-3.098097,4.6950297,9.375694,903220
-3.169923,4.972757,7.8050976,908225
-3.074155,5.1547165,6.969521,913230
-2.4253263,5.044583,6.7444663,918235
