x,y,z,timestamp
-3.406949,4.829105,9.78989,484
-3.2393548,4.6806645,9.64145,5489
-3.4213142,4.343082,9.349358,10493
-3.347094,4.3957543,8.930372,15498
-3.2992098,4.4244847,8.62152,20473
-3.1914709,4.498705,8.477868,25478
-3.086126,4.5633483,8.209718,30483
-2.9735985,4.6926355,8.046912,35487
-2.8299465,4.8219223,8.058883,40492
-2.707842,4.9464207,8.161834,45497
-2.7341783,4.8219223,8.1881695,50472
-2.6168625,4.7524905,8.195353,55476
-2.4756045,4.6519337,8.202535,60481
-2.3774424,4.5777135,8.274361,65486
-2.3774424,4.6136265,8.367735,70491
-2.4756045,4.6830587,8.401254,75496
-2.566584,4.76925,8.453926,80501
-2.717419,4.8267107,8.513782,85475
-2.8203697,4.853047,8.528147,90480
-2.9137435,4.8338933,8.5473,95485
-3.3279405,4.525041,8.444349,100490
-3.4284968,4.453215,8.236053,105495
-3.5553896,4.3646297,8.09719,110500
-3.6822822,4.4077253,7.917625,115474
-3.9121256,4.378995,7.776367,120479
-3.9504328,4.4819455,7.8386164,125484
-3.857059,4.5872903,7.8027034,130489
-3.7014358,4.76925,7.7213006,135493
-3.4093432,4.996699,7.6351094,140498
-2.9640217,5.2959743,7.501034,145473
-2.3894134,5.451597,7.4148426,150478
-2.1452048,5.9759274,7.441179,155483
-2.0254946,6.3326635,7.28795,160487
-2.0350714,6.603208,7.1610575,165492
-2.0973208,6.8186865,6.9647326,170497
-2.1188686,6.83784,6.71813,175472
-2.2409728,6.76362,6.4978633,180476
-2.384625,6.670246,6.2752028,185481
-2.4947581,6.5960255,6.078878,190486
-2.6527755,6.634333,5.74369,195491
-2.753332,6.670246,5.544971,200496
-2.767697,6.7013707,5.4204726,205501
-2.6072857,7.141904,5.4204726,210475
-2.6479871,7.015011,5.7987566,215480
-2.9161377,6.9862804,5.681441,220485
-2.837129,7.228095,5.8346696,225490
-2.8323407,7.21373,6.215348,230495
-2.920926,7.36217,6.241684,235500
-2.9520507,7.4124484,6.4020953,240474
-3.145981,7.3765354,6.519411,245479
-3.2728736,7.371747,6.4978633,250484
-3.3686419,7.2711906,6.5385647,255489
-3.478775,7.16824,6.4380083,260493
-3.58412,7.117962,6.2249246,265498
-3.691859,7.0724716,6.081272,270473
-3.940856,7.055712,5.8107276,275478
-4.036624,7.0485296,5.6646814,280482
-4.120421,7.038953,5.566519,285487
-4.1946416,7.0581064,5.463568,290492
-4.256891,7.062895,5.4563856,295497
-4.4077253,6.9647326,5.5401826,300472
-4.560954,7.019799,5.473145,305476
-4.6591167,7.055712,5.3366756,310481
-4.759673,7.086837,5.094861,315486
-4.8123455,7.1826053,4.8003745,320491
-4.8506527,7.2352777,4.584896,325496
-4.7860093,7.2328835,4.4005427,330501
-4.733337,7.2304893,4.1635165,335475
-4.709395,7.2544312,3.9456444,340480
-4.6830587,7.290344,3.7253778,345485
-4.8937483,7.3765354,2.27928,350490
-5.3247046,7.7093296,0.79248077,355495
-5.499481,7.843405,0.36631286,360500
-5.279215,7.824251,0.49559975,365474
-4.936844,7.809886,0.7134721,370479
-4.522647,7.6949644,1.4820108,375484
-4.2664676,7.5441294,2.327164,380489
-4.000711,7.383718,3.1387985,385493
-3.6966474,7.16824,3.8474822,390498
-3.4596214,6.955156,4.249708,395473
-3.5529952,6.7109475,4.39336,400478
-3.8283286,6.7109475,4.3239284,405483
-4.132392,6.8162923,4.2281604,410487
-4.4364557,7.03177,4.211401,415492
-4.7165775,7.1969705,4.235343,420497
-4.9943047,7.3286514,4.3478703,425472
-5.1547165,7.374141,4.489128,430476
-5.2026005,7.345411,4.6710877,435481
-5.2169657,7.302315,4.855441,440486
-5.207389,7.2209125,5.023035,445491
-5.2480903,7.165846,5.145139,450496
-5.365406,7.1395097,5.329493,455501
-5.3845596,7.117962,5.521029,460475
-5.386954,7.1107793,5.7484784,465480
-5.363012,7.053318,5.9184666,470485
-5.3199162,7.0485296,6.0836663,475490
-5.279215,7.067683,6.157887,480495
-5.257667,7.091625,6.167464,485500
-5.243302,7.091625,6.129156,490474
-5.3103395,7.153875,6.1100025,495479
-5.379771,7.2807674,6.179435,500484
-5.281609,7.469909,6.179435,505489
-5.2265425,7.5561004,6.5265937,510493
-5.207389,7.6255326,6.0357823,515498
-5.068525,8.010999,5.7005944,520473
-4.9679685,7.785944,5.583278,525478
-4.891354,7.687782,4.88896,530482
-5.058948,7.7308774,4.1515455,535487
-4.6926355,7.422025,3.9791632,540492
-4.3502645,7.252037,3.7804444,545497
-4.209007,7.2424603,3.6750996,550472
-4.209007,7.4244194,3.6535518,555476
-4.268862,7.6255326,3.6535518,560481
-4.3047748,7.642292,3.5625722,565486
-4.2521024,7.491457,3.5458126,570491
