x,y,z,timestamp
-2.087744,3.6894648,10.733206,3664
-1.9656396,3.5458126,10.986992,8639
-1.8076223,3.2632968,10.948685,13644
-1.9321208,3.3638535,10.721235,18648
-2.0470424,3.526659,10.42196,23653
-2.1667526,3.6774938,10.295067,28658
-2.0805612,3.7972038,10.129868,33663
-1.9416976,3.8259344,9.967062,38637
-1.70946,3.9264908,9.469068,43642
-1.3742718,4.012682,9.018958,48647
-1.0606314,4.156334,8.669404,53652
-0.6464345,4.309563,8.420407,58657
-0.39264908,4.3885717,8.269572,63662
-0.18195933,4.39336,8.121132,68636
0.02633622,4.3143516,8.003817,73641
0.22026655,4.225766,8.020576,78646
0.36870706,4.1659107,8.145074,83651
0.4237737,4.134786,8.271967,88656
0.48602295,4.132392,8.331821,93660
0.45968673,4.098873,8.403648,98665
0.40940848,4.0677485,8.444349,103640
0.21308395,4.0294414,8.532935,108645
0.02633622,4.0653543,8.607155,113649
-0.15083471,4.1060557,8.719683,118654
-0.33518824,4.158728,8.829816,123659
-0.49799395,4.187459,8.918402,128664
-0.6799533,4.189853,8.995016,133639
-0.8475474,4.209007,9.150639,138644
-0.94092125,4.213795,9.275137,143648
-1.0151415,4.235343,9.346964,148653
-1.0749966,4.285621,9.390059,153658
-1.1085154,4.3239284,9.425972,158663
-1.0869676,4.3406878,9.361329,163637
-1.1061212,4.3742065,9.442732,168642
-1.091756,4.3837833,9.586384,173647
-1.0055647,4.357447,9.615114,178652
-0.94810385,4.292804,9.581595,183657
-0.94810385,4.259285,9.591172,188662
-0.9528923,4.27365,9.572019,193636
-1.2761095,3.86903,9.354146,198641
-1.4413095,3.7852328,8.987833,203646
-1.4389153,4.256891,8.568848,208651
-1.2042835,4.7141833,8.647857,213656
-0.9600749,4.912902,8.944737,218660
-0.770933,4.927267,9.196129,223665
-0.557849,4.8267107,9.121908,228640
-0.3184288,4.7620673,8.990228,233645
-0.12210429,4.7070007,8.865729,238649
0.016759412,4.5992613,8.693346,243654
0.04070143,4.510676,8.542512,248659
-0.038307227,4.4101195,8.377312,253664
-0.15801731,4.3143516,8.176199,258639
-0.3878607,4.295198,7.953538,263644
-0.5626374,4.31914,7.762002,268648
-0.7062895,4.3957543,7.041347,273653
-0.8331822,4.3861775,6.5696893,278658
-0.9911995,4.596867,6.715736,283663
-1.3120226,4.6471453,6.727707,288637
-1.6256629,4.6950297,6.5936313,293642
-1.8674773,4.831499,6.397307,298647
-1.9967642,4.9799395,6.303933,303652
-1.9895816,5.0254292,6.519411,308657
-1.8794483,4.9416323,7.0724716,313662
-1.7525556,4.8362875,7.5680714,318636
-1.6208745,4.7381253,7.9966335,323641
-1.5251064,4.644751,8.372523,328646
-1.4269443,4.537012,8.700529,333651
-1.283292,4.232949,8.949526,338656
-1.2737153,4.0294414,9.040505,343660
-1.5275006,3.9935284,9.045294,348665
-1.8507179,3.9815574,9.078813,353640
-2.2050598,3.964798,9.153033,358645
-2.6288335,3.9432502,9.26556,363649
-2.9281087,3.9504328,9.500193,368654
-3.0909145,3.9552212,9.672575,373659
-3.1603463,4.0054994,9.907207,378664
-3.1124623,4.0701427,10.1226845,383639
-2.956839,4.2042184,10.247183,388644
-2.80361,4.3382936,10.304645,393648
-2.6743233,4.4484267,10.340557,398653
-2.5594015,4.5418005,10.395624,403658
-2.4277205,4.642357,10.572795,408663
-2.2697031,4.757279,10.9103775,413637
-2.1260512,4.841076,11.039664,418642
-2.006341,4.924873,10.984597,423647
-1.9512744,4.9895163,10.721235,428652
-1.910573,5.0134583,10.419566,433657
-1.8794483,5.0182467,9.876082,438662
-1.8914193,5.011064,9.409213,443636
-1.970428,5.046977,8.896853,448641
-2.0398598,5.068525,8.23366,453646
-2.1068976,5.085284,7.3789296,458651
-2.0709844,5.133168,6.3206925,463656
-2.0733786,5.243302,5.5377884,468660
-2.1045034,5.427655,4.9057193,473665
-2.1739352,5.6359506,4.537012,478640
-2.1691468,5.813122,4.381389,483645
-2.0638018,5.875371,4.209007,488649
-1.9488802,5.9160724,4.2401314,493654
-1.8555063,5.973533,4.450821,498659
-1.7525556,6.0477533,4.7381253,503664
-1.721431,6.093243,5.1930237,508639
-1.7190368,6.136339,5.9160724,513644
-1.7022774,6.1219735,6.5146227,518648
-1.6112977,6.0477533,7.029376,523653
-1.5514427,5.887342,7.6614456,528658
-1.9201498,5.803545,7.517793,533663
-2.4899697,5.8681884,7.943961,538637
-3.1244333,6.1243677,8.540117,543642
-3.4261026,6.196194,8.671799,548647
-3.58412,6.117185,8.717288,553652
-3.6894648,5.8921304,8.552089,558657
-3.739743,5.6790466,8.396465,563662
-3.7804444,5.482722,8.066066,568636
-3.8115692,5.41329,7.764396,573641
-3.5290532,5.638345,7.7931266,578646
-3.6248214,5.707777,7.7691846,583651
-4.110844,5.604826,7.61835,588656
-4.2185836,5.5162406,6.9982514,593660
-3.7110126,5.671864,6.3350577,598665
-3.6367924,5.6551046,5.779603,603640
-3.9001546,5.566519,5.365406,608645
-3.9384618,5.6910176,4.8602295,613649
-3.8115692,5.9687448,4.268862,618654
-3.6415808,6.469133,2.873042,623659
-4.546589,6.8761473,1.3120226,628664
-5.379771,7.098808,1.7788919,633639
-5.4324436,6.9360023,3.1244333,638644
-5.3366756,6.682217,3.8977604,643648
-5.2480903,6.6510925,4.584896,648653
-5.3725886,6.3087215,5.6407394,653658
-5.377377,5.985504,6.6486983,658663
-5.1355624,5.7628436,7.309498,663637
-4.805163,5.6982,7.6135616,668642
-4.546589,5.8203044,7.5441294,673647
-4.5872903,6.030994,7.177817,678652
-4.7644615,6.1985884,6.655881,683657
-4.9679685,6.2847795,6.1195793,688662
-5.080496,6.2225304,5.494693,693636
-5.035006,6.129156,5.133168,698641
-4.9296613,6.0980315,4.9344497,703646
-4.8626237,6.133945,4.924873,708651
-4.865018,6.2249246,4.996699,713656
-4.8937483,6.3805475,5.3606176,718660
-4.793192,6.447585,5.8586116,723665
-4.673482,6.495469,6.2871737,728640
-4.4723687,6.5098343,6.5720835,733645
-4.268862,6.4882865,6.777985,738649
-4.0318356,6.4523735,6.8210807,743654
-3.9360676,6.4523735,6.8282633,748659
-3.86903,6.4164605,6.7947445,753664
-3.7660792,6.3781533,6.670246,758639
-3.6727054,6.363788,6.4404025,763644
-3.6846764,6.3781533,6.2345014,768648
-3.7541082,6.327875,5.7724204,773653
-3.8307228,6.2823853,5.351041,778658
-3.9480386,6.217742,5.2289367,783663
-4.0557775,6.1387334,5.245696,788637
-4.06296,6.0980315,5.195418,793642
-3.9743748,6.0884547,5.2409077,798647
-3.928885,6.105214,5.2863975,803652
-3.8498764,6.129156,5.317522,808657
-3.7181952,6.1387334,5.3366756,813662
-3.5314474,6.1650696,5.2887917,818636
-3.2824504,6.215348,5.2049947,823641
-3.1866825,6.14831,5.118803,828646
-3.110068,6.1530986,5.1140146,833651
-3.0262709,6.105214,5.1762643,838656
-2.918532,5.9448028,5.197812,843660
-2.858677,5.765238,5.3701944,848665
-2.8802247,5.57849,5.554548,853640
-2.906561,5.4085016,5.851429,858645
-2.9352913,5.2504845,6.315904,863649
-2.9831753,5.1235914,6.9886746,868654
-2.8083985,4.900931,7.285556,873659
-2.5809495,4.7309427,7.5704656,878664
-2.5234885,4.584896,8.154651,883639
-2.516306,4.429273,8.540117,888644
-2.5067291,4.259285,8.7053175,893648
-2.3702598,4.1371803,8.942344,898653
-2.267309,4.0462008,9.126697,903658
-2.15957,4.0342298,9.217676,908663
-2.1260512,4.036624,9.193734,913637
-2.1883004,4.0653543,9.124303,918642
-2.1571758,4.0078936,9.186552,923647
-2.219425,4.0078936,9.454702,928652
-2.2960393,4.048595,9.727641,933657
-2.27928,4.1012673,9.976639,938662
-2.1883004,4.1683054,10.151415,943636
