x,y,z,timestamp
-0.10445796,0.059864793,0.106901415,846
-0.059864793,0.009773844,0.1142318,5851
-0.008552114,-0.030543262,0.1160644,10856
0.04337143,-0.053145275,0.10995574,15881
0.095294975,-0.06658431,0.103847094,20865
0.14355333,-0.0720821,0.099571034,25840
0.19058995,-0.064751714,0.09896017,30845
0.2657264,-0.032986723,0.10934488,35869
0.31337386,0.004886922,0.12461651,40854
0.36102137,0.05009095,0.1386664,45859
0.4025602,0.095294975,0.15332718,50864
0.4428773,0.13194689,0.16554448,55859
0.47708577,0.15882497,0.17470746,60843
0.5002986,0.17959438,0.18325958,65848
0.5174029,0.19547687,0.18753563,70853
0.5290093,0.21502456,0.18936823,75878
0.5314528,0.24617869,0.18325958,80863
0.52778757,0.28955013,0.17837265,85837
0.5021312,0.3567453,0.16371189,90842
0.47708577,0.3915646,0.14721853,95867
0.44348818,0.41355577,0.124005646,100852
0.40561453,0.42088616,0.09101892,105857
0.36896262,0.4092797,0.062308256,110862
0.33536503,0.38545597,0.03176499,115887
0.31031954,0.35246924,0.007330383,120841
0.2932153,0.32620203,-0.015882496,125846
0.2828306,0.31703907,-0.029932396,130851
0.2724459,0.32436943,-0.034208454,135875
0.26389378,0.34269542,-0.017715093,140860
0.25900686,0.3481932,0.0018325958,145865
0.25473082,0.3494149,0.02443461,150840
0.25350907,0.3481932,0.047647487,155864
0.25473082,0.34391713,0.06352998,160849
0.25473082,0.3408628,0.076358154,165854
0.25167647,0.3359759,0.08124508,170859
0.25289822,0.3213151,0.07941248,175883
0.2938262,0.31398472,0.08246681,180838
0.35246924,0.2828306,0.06780604,185844
0.36774087,0.1301143,0.03726278,190848
0.36346483,0.0061086523,0.022602014,195873
0.36346483,-0.064751714,0.013439035,200887
0.36102137,-0.0580322,0.013439035,205863
0.35185838,0.0036651916,0.020158553,210837
0.3371976,0.08735373,0.032375857,215861
0.31520647,0.16920967,0.047036625,220847
0.29443705,0.24251351,0.05497787,225852
0.2724459,0.30787608,0.06352998,230857
0.25778514,0.36713,0.073303826,235881
0.24801129,0.42394048,0.09773844,240867
0.25045475,0.43310347,0.12339478,245841
0.26206118,0.43676865,0.1459968,250846
0.2828306,0.42943826,0.16432275,255870
0.30726522,0.41722095,0.17898351,260856
0.32742378,0.38240165,0.18325958,265861
0.34880406,0.33414328,0.18448131,270865
0.36835176,0.28527406,0.18570304,275859
0.38545597,0.22968534,0.19975294,280845
0.39400807,0.16065755,0.25289822,285850
0.41355577,0.1600467,0.28955013,290854
0.43493605,0.19975294,0.28588495,295878
0.45814893,0.24862215,0.2742785,300864
0.48075095,0.29565877,0.26511553,305839
0.50518554,0.3359759,0.26328292,310843
0.5290093,0.3622431,0.2669481,315868
0.5571091,0.37873647,0.28771752,320853
0.5888741,0.39950588,0.31948254,325858
0.6267477,0.43799037,0.35185838,330863
0.6646214,0.48991394,0.37323865,335856
0.698219,0.5552765,0.3830125,340842
0.7324274,0.6780604,0.38056904,345847
0.73914695,0.7703011,0.3726278,350852
0.7293731,0.8509353,0.36285394,355878
0.70005155,0.91629785,0.35430184,360862
0.6603453,0.9615019,0.3549127,365867
0.61391956,0.98715824,0.36163223,370841
0.56321776,0.9957104,0.376293,375867
0.52290064,0.98899084,0.39645153,380851
0.48563787,0.9914343,0.41905355,385856
0.44715336,1.0189233,0.43371433,390860
0.39400807,1.0940597,0.43676865,395887
0.34513888,1.1930199,0.4184427,400840
0.28344148,1.3335189,0.41233405,405845
0.2284636,1.4379768,0.42943826,410849
0.18997909,1.4874569,0.4728097,415876
0.15210545,1.5076154,0.52290064,420859
0.112399206,1.5216653,0.55955255,425864
0.080634214,1.5296066,0.5687156,430838
0.07086037,1.5326608,0.548557,435865
0.08857546,1.5442673,0.5186246,440848
0.1563815,1.5949692,0.4801401,445853
0.20647246,1.6187929,0.45875978,450858
0.25045475,1.6291776,0.43310347,455884
0.27977628,1.6279559,0.40317106,460837
0.29565877,1.6285667,0.37751472,465842
0.30176744,1.6224581,0.3555236,470847
0.30115658,1.6029104,0.33658674,475873
0.28710666,1.5748106,0.31887165,480857
0.2602286,1.559539,0.29749137,485862
0.2302962,1.5656476,0.27672195,490867
0.26939157,1.0036516,0.21930063,495862
0.27000242,0.42943826,0.14172074,500846
0.22052236,0.029321533,0.07513642,505851
0.17531833,-0.3200934,0.017715093,510856
0.10934488,-0.5357288,-0.043982297,515882
0.0421497,-0.643852,-0.092240654,520865
-0.02321288,-0.64568454,-0.12217305,525840
-0.08674286,-0.5748242,-0.13316862,530845
-0.13744467,-0.47708577,-0.13316862,535871
-0.1777618,-0.34880406,-0.14294247,540854
-0.22540927,-0.10934488,-0.2003638,545860
-0.25595254,0.03726278,-0.25717425,550864
-0.29260445,0.13683382,-0.31581733,555860
-0.3378085,0.1881465,-0.37690386,560843
-0.3903429,0.20525073,-0.43004912,565848
-0.44532076,0.18753563,-0.45265114,570853
-0.49296826,0.12339478,-0.46181414,575880
-0.5320636,-6.1086525E-4,-0.4605924,580863
-0.5681047,-0.15821409,-0.45814893,585837
-0.59681535,-0.344528,-0.4550946,590842
-0.6133087,-0.5681047,-0.4428773,595868
-0.6377433,-0.9651671,-0.4098906,600852
-0.6750061,-1.2247849,-0.40133846,605857
-0.72509706,-1.4489723,-0.40622538,610862
-0.77946407,-1.6285667,-0.41905355,615888
-0.8258898,-1.7647897,-0.4343252,620841
-0.86193085,-1.8729129,-0.45142943,625846
-0.87781334,-1.9468275,-0.46853364,630851
-0.8741482,-1.9816469,-0.48624873,635875
-0.852157,-1.9877555,-0.50335294,640860
-0.8063421,-1.9920316,-0.5137377,645865
-0.6927212,-1.9743165,-0.5143485,650840
-0.59437186,-1.9327776,-0.51251596,655864
-0.4813618,-1.8723019,-0.5112942,660849
-0.3640757,-1.7476854,-0.516792,665855
-0.25350907,-1.6022996,-0.5204572,670859
-0.15027285,-1.4886786,-0.5180137,675884
-0.065973446,-1.4049901,-0.516792,680839
6.1086525E-4,-1.3487904,-0.51251596,685844
0.043982297,-1.3078625,-0.5131268,690848
0.062308256,-1.2858714,-0.52290064,695872
0.0580322,-1.2864822,-0.54305923,700858
0.030543262,-1.2950343,-0.5589417,705863
-0.009773844,-1.2980887,-0.571159,710837
-0.062308256,-1.2852604,-0.59131753,715864
-0.12522738,-1.2541064,-0.6084218,720847
-0.19853121,-1.2034045,-0.6273586,725852
-0.27672195,-1.1484267,-0.64568454,730857
-0.36896262,-1.097114,-0.66156703,735883
-0.47403142,-1.0512991,-0.6768387,740867
-0.5876524,-0.9932669,-0.6951646,745841
-0.7648033,-0.87598073,-0.7122689,750846
-0.87781334,-0.77396625,-0.71837753,755872
-0.9828822,-0.64996064,-0.7147123,760856
-1.0751228,-0.5216789,-0.6994407,765861
-1.1557571,-0.39645153,-0.6731735,770865
-1.2162327,-0.27366763,-0.63529986,775859
-1.2534955,-0.15577064,-0.5852089,780845
-1.2596041,-0.04642576,-0.52412236,785850
-1.2400564,0.04153884,-0.45814893,790854
-1.1936307,0.09712757,-0.38912117,795879
-1.0671816,0.13988814,-0.28771752,800864
-0.9431759,0.16920967,-0.21930063,805839
-0.79412484,0.18448131,-0.1563815,810843
-0.6236934,0.18753563,-0.09712757,815868
-0.4392121,0.17531833,-0.03848451,820853
-0.24862215,0.13927728,0.01160644,825858
-0.064751714,0.07147124,0.05375614,830863
0.115453534,-0.018936822,0.077579886,835857
0.4373795,-0.13072516,0.08307768,840842
0.66706485,-0.31215215,0.047647487,845847
0.7367035,-0.59803706,0.03604105,850852
0.75441855,-0.874759,0.050701816,855876
0.69027776,-0.8943067,0.058643065,860862
0.5882632,-0.8417723,0.06536258,865867
