x,y,z,timestamp
0.18509217,0.35979962,0.031154128,258
0.30298916,0.27000242,0.07880162,5212
0.44043383,0.18448131,0.12583824,10217
0.5858198,0.1142318,0.17165314,15222
0.7458665,0.06719518,0.21746802,20247
0.9053023,0.055588737,0.26328292,25260
1.061073,0.07880162,0.3036,30237
1.2070698,0.14721853,0.34330627,35241
1.3408492,0.24984388,0.37507126,40236
1.5021176,0.44409904,0.41905355,45221
1.5906931,0.6383542,0.44593164,50226
1.6737708,0.956615,0.46181414,55230
1.740966,1.278541,0.46670106,60255
1.7739527,1.6126842,0.4538729,65240
1.7910569,1.9144517,0.45875978,70215
1.7953329,2.1856759,0.48808134,75219
1.790446,2.4061983,0.548557,80244
1.772731,2.610227,0.63407815,85229
1.7379116,2.770274,0.74036866,90234
1.627345,2.905886,0.9315695,95239
1.5143349,2.9321532,1.0720685,100233
1.3775011,2.91566,1.2162327,105218
1.2278391,2.886949,1.3579534,110223
1.0928379,2.8417451,1.4740179,115228
0.97433007,2.7293458,1.541213,120254
0.8894198,2.6426032,1.5662584,125238
0.8393288,2.6316075,1.5528195,130212
0.82711154,2.6572638,1.5088371,135217
0.8356637,2.706744,1.4306464,140243
0.8741482,2.6719246,1.2638801,145227
0.91813046,2.5082128,1.1349876,150232
0.9804387,2.3096814,1.0128145,155236
1.0555751,2.1508565,0.8943067,160264
1.1282681,1.9437732,0.79901177,165216
1.1765264,1.690875,0.7348709,170221
1.1979067,1.455081,0.6963864,175225
1.1997393,1.2498302,0.66889745,180252
1.1893547,1.0922271,0.6377433,185235
1.1691961,1.0256428,0.6059783,190240
1.1496484,1.0134255,0.5687156,195214
1.1123856,1.024421,0.5119051,200241
1.0781772,1.0372492,0.48624873,205224
1.029308,1.070236,0.46975538,210229
0.96944314,1.1294898,0.44165558,215234
0.9016371,1.1948525,0.4007276,220260
0.8374963,1.2669345,0.35124752,225213
0.7861836,1.3610078,0.3023783,230218
0.7440339,1.4703526,0.25900686,235223
0.6988298,1.5632042,0.21930063,240249
0.65057147,1.6346754,0.18081611,245233
0.5992588,1.6975945,0.1459968,250238
0.5907067,1.7928895,0.14110987,255212
0.57726765,1.8191566,0.15210545,260238
0.5558874,1.7440202,0.17104226,265222
0.54367006,1.6450601,0.18325958,270227
0.5564982,1.5515977,0.19181168,275232
0.5833763,1.496009,0.1826487,280258
0.6230826,1.4453071,0.16676621,285241
0.66889745,1.3652838,0.15454891,290216
0.7165449,1.255328,0.14782938,295221
0.7825184,1.0519099,0.14660765,300247
0.81489426,0.93279123,0.15149458,305230
0.8405506,0.84299403,0.15821409,310236
0.8552113,0.77946407,0.15760323,315240
0.8594874,0.73914695,0.15760323,320236
0.8527679,0.7330383,0.16310102,325219
0.8368854,0.7501425,0.17592919,330224
0.8142834,0.79534656,0.1881465,335229
0.78801614,0.8552113,0.19853121,340258
0.76052725,0.9370673,0.21624629,345239
0.71959925,1.0751228,0.25045475,350213
0.6933321,1.1520919,0.25717425,355218
0.6719518,1.2082914,0.2706133,360247
0.6560693,1.2400564,0.29993483,365228
0.64996064,1.2577715,0.34025195,370233
0.64568454,1.237613,0.36041048,375238
0.63713247,1.2174544,0.3640757,380233
0.5821546,1.2559389,0.37568212,385217
0.45875978,1.2815952,0.4025602,390222
0.3109304,1.1911873,0.42210788,395227
0.1459968,0.88208944,0.40622538,400253
0.09285152,0.68661255,0.37812558,405236
0.0842994,0.5222898,0.34147367,410241
0.118507855,0.34574974,0.29871312,415216
0.17837265,0.15882497,0.25595254,420242
0.2602286,-0.02076942,0.21746802,425225
0.3475823,-0.17654006,0.1863139,430231
0.42943826,-0.30115658,0.16982053,435235
0.4886922,-0.38423425,0.15943582,440261
0.5137377,-0.42821655,0.15943582,445215
0.48075095,-0.43860126,0.18936823,450220
0.42271876,-0.42577308,0.22113322,455224
0.34208453,-0.39706242,0.25045475,460251
0.2510656,-0.35308012,0.27305678,465234
0.15149458,-0.30482176,0.2938262,470239
0.042760566,-0.25534168,0.31581733,475213
-0.06719518,-0.21624629,0.3304781,480238
-0.17348573,-0.17898351,0.33414328,485223
-0.2687807,-0.14966199,0.32070425,490228
-0.34574974,-0.13927728,0.2950479,495233
-0.4196644,-0.12644911,0.23884831,500257
-0.44409904,-0.099571034,0.19608775,505212
-0.44776422,-0.062308256,0.14966199,510217
-0.43188173,-0.014049901,0.106901415,515222
-0.40133846,0.035430185,0.06352998,520248
-0.35979962,0.08124508,0.028710667,525232
-0.3115413,0.11911872,0.002443461,530237
-0.25534168,0.15027285,-0.012217305,535241
-0.1966986,0.1826487,-0.018325957,540237
