x,y,z,timestamp
0.023823744,0.33658674,0.13072516,13
0.14966199,0.28771752,0.16310102,4998
0.30176744,0.24923302,0.19486602,10003
0.46303585,0.22235495,0.21624629,14977
0.6236934,0.20769419,0.22357668,20002
0.7788532,0.20708331,0.22052236,24987
0.9297369,0.22785273,0.21624629,29992
1.0635164,0.26328292,0.20830505,34997
1.2284501,0.37018433,0.19608775,40022
1.3109168,0.48808134,0.18142697,44976
1.3701707,0.59864795,0.1685988,49981
1.4031575,0.68966687,0.15027285,54986
1.400714,0.8222246,0.09896017,60011
1.3817772,0.9437868,0.058643065,64996
1.3622295,1.0403035,0.03176499,70001
1.3390167,1.1221595,0.022602014,75004
1.3109168,1.1808025,0.028099801,80002
1.2730432,1.2302825,0.04642576,84985
1.2095132,1.282817,0.093462385,89990
1.1630874,1.3096951,0.13316862,94994
1.1160508,1.3420709,0.17715092,100021
1.0677924,1.3787229,0.21991149,104974
1.0183123,1.4104879,0.2602286,109979
0.9633345,1.4288138,0.2968805,114984
0.90469146,1.4214834,0.32925636,120010
0.8552113,1.4013249,0.3622431,124993
0.80878556,1.3982705,0.39278635,129998
0.77518797,1.4104879,0.4202753,135003
0.7489208,1.4556919,0.453262,139999
0.7452556,1.5039502,0.4642576,144982
0.75441855,1.5625933,0.47219884,149987
0.77396625,1.6334536,0.47342056,154992
0.7996226,1.7012597,0.47219884,160016
0.8362745,1.7482964,0.47036624,165002
0.8717047,1.8038851,0.46731192,169976
0.9120218,1.8698585,0.4636467,174981
0.95111716,1.9407189,0.453262,180008
0.98837996,2.0164661,0.43860126,184991
1.0256428,2.1087067,0.40866885,189996
1.042747,2.1343632,0.39095375,195001
1.0586295,2.1142046,0.3830125,199996
1.0763446,2.058005,0.3866777,204980
1.0952814,1.994475,0.398895,209985
1.110553,1.9394971,0.42149702,214990
1.1239921,1.8771889,0.44409904,220016
1.1301007,1.8075503,0.46609017,224999
1.133155,1.717753,0.4783075,229974
1.133155,1.6181821,0.48624873,234979
1.1294898,1.4789047,0.47952923,240005
1.133155,1.3640621,0.46853364,244988
1.1404854,1.2632693,0.45204028,249993
1.1557571,1.1869112,0.4288274,254998
1.1795808,1.1227703,0.40744713,260025
1.2076806,1.0714576,0.39828414,264977
1.2388347,1.0390818,0.39950588,269982
1.2663237,1.0323622,0.4147775,274987
1.2803736,1.0500773,0.44165558,280013
1.2852604,1.070236,0.47708577,284997
1.273654,1.0897835,0.5186246,290002
1.2290609,1.1129965,0.57726765,294976
1.1838568,1.1160508,0.6041457,300002
1.1374311,1.1099422,0.6291912,304986
1.0910053,1.1111639,0.6420194,309991
1.0476339,1.1233811,0.64996064,314996
1.0097603,1.138042,0.64996064,320022
0.979217,1.1527027,0.64996064,324975
0.9596693,1.1600331,0.6450737,329980
0.9468411,1.1612549,0.6432411,334985
0.9462303,1.1624765,0.6444628,340011
0.9633345,1.16492,0.6640105,344994
0.9816604,1.174083,0.68111473,349999
1.0012082,1.1863003,0.7110472,354974
1.0146471,1.1948525,0.75136423,360000
1.0219775,1.201572,0.79412484,364984
1.0213667,1.2046263,0.8374963,369988
1.0140363,1.201572,0.8729264,374993
1.0024298,1.1887437,0.90224797,380017
0.9755518,1.1979067,0.91874135,385003
0.88331115,1.2895365,0.91813046,389977
0.61941737,1.4025466,0.915687,394982
0.41355577,1.3408492,0.89858276,400007
0.21930063,1.1979067,0.86070913,404992
0.069027774,1.0354166,0.7984009,409997
-0.02443461,0.8668178,0.7153232,415002
-0.053145275,0.6646214,0.6249151,419996
-0.030543262,0.4550946,0.5271767,424981
0.03176499,0.24495697,0.42577308,429986
0.11362094,0.06352998,0.3390302,434991
0.18997909,-0.09712757,0.26267207,440015
0.26389378,-0.34147367,0.17898351,445001
0.27305678,-0.5009095,0.14782938,449975
0.24984388,-0.6536258,0.13500121,454980
0.20219639,-0.78801614,0.13805555,460004
0.13622294,-0.89736104,0.14049901,464989
0.0580322,-0.9615019,0.13805555,469994
-0.03359759,-0.9914343,0.13561209,474999
